Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 51.00, 0.00, 1.00, 0.00, 0.00,  2
2,"Node 2", 50.00, 0.00, 2.00, 0.00, 0.00,  2
3,"Node 3", 52.00, 0.00, 0.00, 0.00, 0.00,  2
4,"Node 4", 49.00, 0.00, 3.00, 0.00, 0.00,  2
5,"Node 5", 50.00, 0.00, 2.00, 0.00, 0.00,  1
6,"Node 6", 50.00, 0.00, 2.00, 0.00, 0.00,  2
7,"Node 7", 51.00, 0.00, 1.00, 0.00, 0.00,  2
8,"Node 8", 52.00, 0.00, 0.00, 0.00, 0.00,  2
9,"Node 9", 51.00, 0.00, 1.00, 0.00, 0.00,  2
10,"Node 10", 50.00, 0.00, 2.00, 0.00, 0.00,  1
11,"Node 11", 51.00, 0.00, 1.00, 0.00, 0.00,  2
12,"Node 12", 52.00, 0.00, 0.00, 0.00, 0.00,  2
13,"Node 13", 50.00, 0.00, 2.00, 0.00, 0.00,  2
14,"Node 14", 50.00, 0.00, 2.00, 0.00, 0.00,  1
15,"Node 15", 51.00, 0.00, 1.00, 0.00, 0.00,  2
16,"Node 16", 50.00, 0.00, 2.00, 0.00, 0.00,  2
17,"Node 17", 43.00, 0.00, 9.00, 0.00, 0.00,  1
18,"Node 18", 51.00, 0.00, 1.00, 0.00, 0.00,  2
19,"Node 19", 51.00, 0.00, 1.00, 0.00, 0.00,  2
20,"Node 20", 50.00, 0.00, 2.00, 0.00, 0.00,  2
21,"Node 21", 0.00, 0.00, 0.00, 0.00, 0.00,  0
22,"Node 22", 50.00, 0.00, 2.00, 0.00, 0.00,  1
23,"Node 23", 50.00, 0.00, 2.00, 0.00, 0.00,  2
24,"Node 24", 52.00, 0.00, 0.00, 0.00, 0.00,  2
25,"Node 25", 51.00, 0.00, 1.00, 0.00, 0.00,  1
26,"Node 26", 51.00, 0.00, 1.00, 0.00, 0.00,  2
27,"Node 27", 50.00, 0.00, 2.00, 0.00, 0.00,  2
28,"Node 28", 52.00, 0.00, 0.00, 0.00, 0.00,  2
29,"Node 29", 50.00, 0.00, 2.00, 0.00, 0.00,  1
30,"Node 30", 51.00, 0.00, 1.00, 0.00, 0.00,  1
31,"Node 31", 51.00, 0.00, 1.00, 0.00, 0.00,  2
32,"Node 32", 52.00, 0.00, 0.00, 0.00, 0.00,  2
33,"Node 33", 52.00, 0.00, 0.00, 0.00, 0.00,  2
34,"Node 34", 49.00, 0.00, 3.00, 0.00, 0.00,  2
35,"Node 35", 52.00, 0.00, 0.00, 0.00, 0.00,  2
36,"Node 36", 51.00, 0.00, 1.00, 0.00, 0.00,  1
37,"Node 37", 51.00, 0.00, 1.00, 0.00, 0.00,  1
38,"Node 38", 50.00, 0.00, 2.00, 0.00, 0.00,  2
39,"Node 39", 51.00, 0.00, 1.00, 0.00, 0.00,  1
40,"Node 40", 50.00, 0.00, 2.00, 0.00, 0.00,  2
41,"Node 41", 51.00, 0.00, 1.00, 0.00, 0.00,  2
42,"Node 42", 51.00, 0.00, 1.00, 0.00, 0.00,  2
43,"Node 43", 51.00, 0.00, 1.00, 0.00, 0.00,  1
44,"Node 44", 50.00, 0.00, 2.00, 0.00, 0.00,  1
45,"Node 45", 52.00, 0.00, 0.00, 0.00, 0.00,  2
46,"Node 46", 51.00, 0.00, 1.00, 0.00, 0.00,  2
47,"Node 47", 0.00, 0.00, 0.00, 0.00, 0.00,  0
48,"Node 48", 51.00, 0.00, 1.00, 0.00, 0.00,  1
49,"Node 49", 52.00, 0.00, 0.00, 0.00, 0.00,  1
50,"Node 50", 51.00, 0.00, 1.00, 0.00, 0.00,  2
51,"Node 51", 51.00, 0.00, 1.00, 0.00, 0.00,  1
52,"Node 52", 50.00, 0.00, 2.00, 0.00, 0.00,  1
53,"Node 53", 51.00, 0.00, 1.00, 0.00, 0.00,  1
54,"Node 54", 52.00, 0.00, 0.00, 0.00, 0.00,  2
55,"Node 55", 49.00, 0.00, 3.00, 0.00, 0.00,  2
