Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 24.00, 2.00, 26.00, 0.00, 0.00,  2
2,"Node 2", 16.00, 0.00, 36.00, 0.00, 0.00,  1
3,"Node 3", 19.00, 3.00, 30.00, 0.00, 0.00,  1
4,"Node 4", 20.00, 3.00, 29.00, 0.00, 0.00,  2
5,"Node 5", 19.00, 0.00, 33.00, 0.00, 0.00,  1
6,"Node 6", 25.00, 3.00, 24.00, 0.00, 0.00,  2
7,"Node 7", 25.00, 1.00, 26.00, 0.00, 0.00,  2
8,"Node 8", 19.00, 2.00, 31.00, 0.00, 0.00,  1
9,"Node 9", 21.00, 5.00, 26.00, 0.00, 0.00,  2
10,"Node 10", 28.00, 4.00, 20.00, 0.00, 0.00,  2
11,"Node 11", 24.00, 3.00, 25.00, 0.00, 0.00,  2
12,"Node 12", 26.00, 5.00, 21.00, 0.00, 0.00,  2
13,"Node 13", 16.00, 13.00, 23.00, 0.00, 0.00,  2
14,"Node 14", 22.00, 0.00, 30.00, 0.00, 0.00,  2
15,"Node 15", 17.00, 8.00, 27.00, 0.00, 0.00,  2
16,"Node 16", 25.00, 3.00, 24.00, 0.00, 0.00,  2
17,"Node 17", 17.00, 2.00, 33.00, 0.00, 0.00,  2
18,"Node 18", 15.00, 16.00, 21.00, 0.00, 0.00,  2
19,"Node 19", 19.00, 2.00, 31.00, 0.00, 0.00,  2
20,"Node 20", 19.00, 15.00, 18.00, 0.00, 0.00,  2
21,"Node 21", 20.00, 9.00, 23.00, 0.00, 0.00,  2
22,"Node 22", 13.00, 6.00, 33.00, 0.00, 0.00,  2
23,"Node 23", 23.00, 10.00, 19.00, 0.00, 0.00,  2
24,"Node 24", 0.00, 0.00, 0.00, 0.00, 0.00,  0
25,"Node 25", 27.00, 4.00, 21.00, 0.00, 0.00,  2
26,"Node 26", 22.00, 14.00, 16.00, 0.00, 0.00,  2
27,"Node 27", 25.00, 1.00, 26.00, 0.00, 0.00,  2
28,"Node 28", 13.00, 13.00, 26.00, 0.00, 0.00,  1
29,"Node 29", 17.00, 4.00, 31.00, 0.00, 0.00,  2
30,"Node 30", 0.00, 0.00, 0.00, 0.00, 0.00,  0
31,"Node 31", 15.00, 18.00, 19.00, 0.00, 0.00,  2
32,"Node 32", 21.00, 2.00, 29.00, 0.00, 0.00,  2
33,"Node 33", 10.00, 33.00, 9.00, 0.00, 0.00,  2
34,"Node 34", 16.00, 3.00, 33.00, 0.00, 0.00,  1
35,"Node 35", 32.00, 3.00, 17.00, 0.00, 0.00,  1
36,"Node 36", 21.00, 9.00, 22.00, 0.00, 0.00,  2
37,"Node 37", 23.00, 6.00, 23.00, 0.00, 0.00,  2
38,"Node 38", 15.00, 23.00, 14.00, 0.00, 0.00,  1
39,"Node 39", 0.00, 0.00, 0.00, 0.00, 0.00,  0
40,"Node 40", 25.00, 5.00, 22.00, 0.00, 0.00,  2
41,"Node 41", 23.00, 3.00, 26.00, 0.00, 0.00,  2
42,"Node 42", 19.00, 0.00, 33.00, 0.00, 0.00,  1
43,"Node 43", 15.00, 9.00, 28.00, 0.00, 0.00,  1
44,"Node 44", 22.00, 5.00, 25.00, 0.00, 0.00,  2
45,"Node 45", 19.00, 4.00, 29.00, 0.00, 0.00,  2
46,"Node 46", 16.00, 14.00, 22.00, 0.00, 0.00,  2
47,"Node 47", 19.00, 2.00, 31.00, 0.00, 0.00,  1
48,"Node 48", 18.00, 23.00, 11.00, 0.00, 0.00,  2
49,"Node 49", 17.00, 3.00, 32.00, 0.00, 0.00,  2
50,"Node 50", 8.00, 43.00, 1.00, 0.00, 0.00,  2
51,"Node 51", 25.00, 3.00, 24.00, 0.00, 0.00,  2
52,"Node 52", 9.00, 39.00, 4.00, 0.00, 0.00,  2
53,"Node 53", 19.00, 20.00, 13.00, 0.00, 0.00,  2
54,"Node 54", 22.00, 5.00, 25.00, 0.00, 0.00,  2
55,"Node 55", 21.00, 1.00, 30.00, 0.00, 0.00,  2
56,"Node 56", 13.00, 17.00, 22.00, 0.00, 0.00,  2
57,"Node 57", 16.00, 0.00, 36.00, 0.00, 0.00,  2
58,"Node 58", 17.00, 21.00, 14.00, 0.00, 0.00,  1
59,"Node 59", 21.00, 9.00, 22.00, 0.00, 0.00,  1
60,"Node 60", 16.00, 16.00, 20.00, 0.00, 0.00,  2
61,"Node 61", 18.00, 4.00, 30.00, 0.00, 0.00,  2
62,"Node 62", 27.00, 4.00, 21.00, 0.00, 0.00,  1
63,"Node 63", 25.00, 1.00, 26.00, 0.00, 0.00,  1
64,"Node 64", 8.00, 44.00, 0.00, 0.00, 0.00,  2
65,"Node 65", 14.00, 31.00, 7.00, 0.00, 0.00,  2
66,"Node 66", 20.00, 6.00, 26.00, 0.00, 0.00,  2
67,"Node 67", 28.00, 10.00, 14.00, 0.00, 0.00,  2
68,"Node 68", 20.00, 17.00, 15.00, 0.00, 0.00,  2
69,"Node 69", 19.00, 0.00, 33.00, 0.00, 0.00,  1
70,"Node 70", 19.00, 5.00, 28.00, 0.00, 0.00,  2
71,"Node 71", 0.00, 0.00, 0.00, 0.00, 0.00,  0
72,"Node 72", 30.00, 2.00, 20.00, 0.00, 0.00,  1
73,"Node 73", 12.00, 27.00, 13.00, 0.00, 0.00,  2
74,"Node 74", 15.00, 1.00, 36.00, 0.00, 0.00,  1
75,"Node 75", 15.00, 11.00, 26.00, 0.00, 0.00,  2
76,"Node 76", 22.00, 5.00, 25.00, 0.00, 0.00,  2
77,"Node 77", 16.00, 9.00, 27.00, 0.00, 0.00,  2
78,"Node 78", 19.00, 9.00, 24.00, 0.00, 0.00,  1
79,"Node 79", 23.00, 13.00, 16.00, 0.00, 0.00,  2
80,"Node 80", 15.00, 8.00, 29.00, 0.00, 0.00,  2
81,"Node 81", 26.00, 1.00, 25.00, 0.00, 0.00,  2
82,"Node 82", 21.00, 6.00, 25.00, 0.00, 0.00,  2
83,"Node 83", 17.00, 15.00, 20.00, 0.00, 0.00,  2
84,"Node 84", 21.00, 12.00, 19.00, 0.00, 0.00,  2
85,"Node 85", 6.00, 46.00, 0.00, 0.00, 0.00,  1
86,"Node 86", 16.00, 21.00, 15.00, 0.00, 0.00,  1
