Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 26.00, 0.00, 26.00, 0.00, 0.00,  2
2,"Node 2", 28.00, 0.00, 24.00, 0.00, 0.00,  2
3,"Node 3", 12.00, 1.00, 39.00, 0.00, 0.00,  1
4,"Node 4", 17.00, 0.00, 35.00, 0.00, 0.00,  1
5,"Node 5", 28.00, 0.00, 24.00, 0.00, 0.00,  2
6,"Node 6", 28.00, 0.00, 24.00, 0.00, 0.00,  2
7,"Node 7", 30.00, 0.00, 22.00, 0.00, 0.00,  1
8,"Node 8", 34.00, 0.00, 18.00, 0.00, 0.00,  2
9,"Node 9", 19.00, 2.00, 31.00, 0.00, 0.00,  2
10,"Node 10", 32.00, 1.00, 19.00, 0.00, 0.00,  2
11,"Node 11", 31.00, 0.00, 21.00, 0.00, 0.00,  2
12,"Node 12", 32.00, 1.00, 19.00, 0.00, 0.00,  2
13,"Node 13", 14.00, 2.00, 36.00, 0.00, 0.00,  1
14,"Node 14", 37.00, 0.00, 15.00, 0.00, 0.00,  2
15,"Node 15", 0.00, 0.00, 0.00, 0.00, 0.00,  0
16,"Node 16", 28.00, 0.00, 24.00, 0.00, 0.00,  2
17,"Node 17", 31.00, 0.00, 21.00, 0.00, 0.00,  1
18,"Node 18", 28.00, 0.00, 24.00, 0.00, 0.00,  2
19,"Node 19", 38.00, 0.00, 14.00, 0.00, 0.00,  2
20,"Node 20", 23.00, 0.00, 29.00, 0.00, 0.00,  1
21,"Node 21", 27.00, 1.00, 24.00, 0.00, 0.00,  2
22,"Node 22", 22.00, 0.00, 30.00, 0.00, 0.00,  1
23,"Node 23", 11.00, 2.00, 39.00, 0.00, 0.00,  2
24,"Node 24", 30.00, 4.00, 18.00, 0.00, 0.00,  1
25,"Node 25", 27.00, 1.00, 24.00, 0.00, 0.00,  2
26,"Node 26", 30.00, 2.00, 20.00, 0.00, 0.00,  2
27,"Node 27", 22.00, 1.00, 29.00, 0.00, 0.00,  2
28,"Node 28", 31.00, 1.00, 20.00, 0.00, 0.00,  2
29,"Node 29", 9.00, 3.00, 40.00, 0.00, 0.00,  1
30,"Node 30", 26.00, 3.00, 23.00, 0.00, 0.00,  2
31,"Node 31", 31.00, 0.00, 21.00, 0.00, 0.00,  1
32,"Node 32", 28.00, 0.00, 24.00, 0.00, 0.00,  2
33,"Node 33", 0.00, 0.00, 0.00, 0.00, 0.00,  0
34,"Node 34", 12.00, 3.00, 37.00, 0.00, 0.00,  1
35,"Node 35", 28.00, 1.00, 23.00, 0.00, 0.00,  2
36,"Node 36", 15.00, 4.00, 33.00, 0.00, 0.00,  2
37,"Node 37", 20.00, 5.00, 27.00, 0.00, 0.00,  2
38,"Node 38", 29.00, 3.00, 20.00, 0.00, 0.00,  2
39,"Node 39", 32.00, 0.00, 20.00, 0.00, 0.00,  2
40,"Node 40", 26.00, 2.00, 24.00, 0.00, 0.00,  2
41,"Node 41", 27.00, 3.00, 22.00, 0.00, 0.00,  2
42,"Node 42", 27.00, 0.00, 25.00, 0.00, 0.00,  2
43,"Node 43", 13.00, 1.00, 38.00, 0.00, 0.00,  2
44,"Node 44", 29.00, 0.00, 23.00, 0.00, 0.00,  2
45,"Node 45", 32.00, 0.00, 20.00, 0.00, 0.00,  2
46,"Node 46", 25.00, 3.00, 24.00, 0.00, 0.00,  2
47,"Node 47", 34.00, 0.00, 18.00, 0.00, 0.00,  2
48,"Node 48", 15.00, 8.00, 29.00, 0.00, 0.00,  2
49,"Node 49", 31.00, 0.00, 21.00, 0.00, 0.00,  1
50,"Node 50", 26.00, 16.00, 10.00, 0.00, 0.00,  2
51,"Node 51", 25.00, 5.00, 22.00, 0.00, 0.00,  2
52,"Node 52", 27.00, 14.00, 11.00, 0.00, 0.00,  1
53,"Node 53", 25.00, 4.00, 23.00, 0.00, 0.00,  2
54,"Node 54", 35.00, 1.00, 16.00, 0.00, 0.00,  2
55,"Node 55", 32.00, 0.00, 20.00, 0.00, 0.00,  2
56,"Node 56", 15.00, 4.00, 33.00, 0.00, 0.00,  1
57,"Node 57", 32.00, 0.00, 20.00, 0.00, 0.00,  2
58,"Node 58", 9.00, 2.00, 41.00, 0.00, 0.00,  2
59,"Node 59", 26.00, 0.00, 26.00, 0.00, 0.00,  2
60,"Node 60", 24.00, 0.00, 28.00, 0.00, 0.00,  2
61,"Node 61", 14.00, 3.00, 35.00, 0.00, 0.00,  1
62,"Node 62", 29.00, 2.00, 21.00, 0.00, 0.00,  2
63,"Node 63", 29.00, 2.00, 21.00, 0.00, 0.00,  2
64,"Node 64", 16.00, 29.00, 7.00, 0.00, 0.00,  2
65,"Node 65", 0.00, 0.00, 0.00, 0.00, 0.00,  0
66,"Node 66", 0.00, 0.00, 0.00, 0.00, 0.00,  0
67,"Node 67", 0.00, 0.00, 0.00, 0.00, 0.00,  0
68,"Node 68", 18.00, 3.00, 31.00, 0.00, 0.00,  1
69,"Node 69", 40.00, 0.00, 12.00, 0.00, 0.00,  2
70,"Node 70", 34.00, 0.00, 18.00, 0.00, 0.00,  2
71,"Node 71", 29.00, 10.00, 13.00, 0.00, 0.00,  2
72,"Node 72", 29.00, 1.00, 22.00, 0.00, 0.00,  1
73,"Node 73", 22.00, 3.00, 27.00, 0.00, 0.00,  1
74,"Node 74", 28.00, 0.00, 24.00, 0.00, 0.00,  2
75,"Node 75", 22.00, 0.00, 30.00, 0.00, 0.00,  2
76,"Node 76", 8.00, 3.00, 41.00, 0.00, 0.00,  2
77,"Node 77", 26.00, 0.00, 26.00, 0.00, 0.00,  2
78,"Node 78", 33.00, 0.00, 19.00, 0.00, 0.00,  2
79,"Node 79", 25.00, 0.00, 27.00, 0.00, 0.00,  2
80,"Node 80", 24.00, 0.00, 28.00, 0.00, 0.00,  2
81,"Node 81", 22.00, 2.00, 28.00, 0.00, 0.00,  2
82,"Node 82", 40.00, 0.00, 12.00, 0.00, 0.00,  2
83,"Node 83", 32.00, 0.00, 20.00, 0.00, 0.00,  2
84,"Node 84", 25.00, 2.00, 25.00, 0.00, 0.00,  2
85,"Node 85", 13.00, 31.00, 8.00, 0.00, 0.00,  2
86,"Node 86", 31.00, 6.00, 15.00, 0.00, 0.00,  1
87,"Node 87", 16.00, 4.00, 32.00, 0.00, 0.00,  1
88,"Node 88", 15.00, 4.00, 33.00, 0.00, 0.00,  2
89,"Node 89", 30.00, 0.00, 22.00, 0.00, 0.00,  1
90,"Node 90", 17.00, 1.00, 34.00, 0.00, 0.00,  2
91,"Node 91", 27.00, 2.00, 23.00, 0.00, 0.00,  2
92,"Node 92", 9.00, 5.00, 38.00, 0.00, 0.00,  2
93,"Node 93", 29.00, 1.00, 22.00, 0.00, 0.00,  1
94,"Node 94", 15.00, 3.00, 34.00, 0.00, 0.00,  2
95,"Node 95", 12.00, 1.00, 39.00, 0.00, 0.00,  2
96,"Node 96", 31.00, 0.00, 21.00, 0.00, 0.00,  2
97,"Node 97", 13.00, 1.00, 38.00, 0.00, 0.00,  1
98,"Node 98", 9.00, 5.00, 38.00, 0.00, 0.00,  2
99,"Node 99", 31.00, 0.00, 21.00, 0.00, 0.00,  2
100,"Node 100", 9.00, 4.00, 39.00, 0.00, 0.00,  1
101,"Node 101", 11.00, 4.00, 37.00, 0.00, 0.00,  2
