Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 24.00, 0.00, 28.00, 0.00, 0.00,  2
2,"Node 2", 15.00, 0.00, 37.00, 0.00, 0.00,  1
3,"Node 3", 23.00, 0.00, 29.00, 0.00, 0.00,  2
4,"Node 4", 31.00, 0.00, 21.00, 0.00, 0.00,  2
5,"Node 5", 18.00, 0.00, 34.00, 0.00, 0.00,  1
6,"Node 6", 15.00, 0.00, 37.00, 0.00, 0.00,  2
7,"Node 7", 24.00, 0.00, 28.00, 0.00, 0.00,  1
8,"Node 8", 24.00, 0.00, 28.00, 0.00, 0.00,  1
9,"Node 9", 24.00, 0.00, 28.00, 0.00, 0.00,  2
10,"Node 10", 24.00, 0.00, 28.00, 0.00, 0.00,  1
11,"Node 11", 22.00, 0.00, 30.00, 0.00, 0.00,  2
12,"Node 12", 23.00, 0.00, 29.00, 0.00, 0.00,  2
13,"Node 13", 30.00, 0.00, 22.00, 0.00, 0.00,  2
14,"Node 14", 18.00, 0.00, 34.00, 0.00, 0.00,  2
15,"Node 15", 24.00, 0.00, 28.00, 0.00, 0.00,  1
16,"Node 16", 19.00, 0.00, 33.00, 0.00, 0.00,  1
17,"Node 17", 18.00, 0.00, 34.00, 0.00, 0.00,  2
18,"Node 18", 22.00, 0.00, 30.00, 0.00, 0.00,  1
19,"Node 19", 19.00, 0.00, 33.00, 0.00, 0.00,  1
20,"Node 20", 21.00, 0.00, 31.00, 0.00, 0.00,  1
21,"Node 21", 22.00, 0.00, 30.00, 0.00, 0.00,  1
22,"Node 22", 29.00, 0.00, 23.00, 0.00, 0.00,  2
23,"Node 23", 31.00, 0.00, 21.00, 0.00, 0.00,  2
24,"Node 24", 16.00, 0.00, 36.00, 0.00, 0.00,  2
25,"Node 25", 24.00, 0.00, 28.00, 0.00, 0.00,  1
26,"Node 26", 20.00, 0.00, 32.00, 0.00, 0.00,  2
27,"Node 27", 0.00, 0.00, 0.00, 0.00, 0.00,  0
28,"Node 28", 24.00, 0.00, 28.00, 0.00, 0.00,  2
29,"Node 29", 26.00, 0.00, 26.00, 0.00, 0.00,  2
30,"Node 30", 0.00, 0.00, 0.00, 0.00, 0.00,  0
31,"Node 31", 16.00, 0.00, 36.00, 0.00, 0.00,  2
32,"Node 32", 19.00, 0.00, 33.00, 0.00, 0.00,  2
33,"Node 33", 17.00, 0.00, 35.00, 0.00, 0.00,  2
34,"Node 34", 0.00, 0.00, 0.00, 0.00, 0.00,  0
