Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 44.00, 0.00, 8.00, 0.00, 0.00,  2
2,"Node 2", 48.00, 0.00, 4.00, 0.00, 0.00,  2
3,"Node 3", 39.00, 0.00, 13.00, 0.00, 0.00,  1
4,"Node 4", 41.00, 0.00, 11.00, 0.00, 0.00,  1
5,"Node 5", 43.00, 0.00, 9.00, 0.00, 0.00,  2
6,"Node 6", 44.00, 0.00, 8.00, 0.00, 0.00,  2
7,"Node 7", 38.00, 0.00, 14.00, 0.00, 0.00,  1
8,"Node 8", 46.00, 0.00, 6.00, 0.00, 0.00,  2
9,"Node 9", 45.00, 0.00, 7.00, 0.00, 0.00,  2
10,"Node 10", 48.00, 0.00, 4.00, 0.00, 0.00,  2
11,"Node 11", 46.00, 0.00, 6.00, 0.00, 0.00,  2
12,"Node 12", 46.00, 0.00, 6.00, 0.00, 0.00,  2
13,"Node 13", 40.00, 0.00, 12.00, 0.00, 0.00,  1
14,"Node 14", 44.00, 0.00, 8.00, 0.00, 0.00,  2
15,"Node 15", 0.00, 0.00, 0.00, 0.00, 0.00,  0
16,"Node 16", 43.00, 0.00, 9.00, 0.00, 0.00,  2
17,"Node 17", 44.00, 3.00, 5.00, 0.00, 0.00,  1
18,"Node 18", 49.00, 0.00, 3.00, 0.00, 0.00,  2
19,"Node 19", 38.00, 0.00, 14.00, 0.00, 0.00,  2
20,"Node 20", 42.00, 0.00, 10.00, 0.00, 0.00,  1
21,"Node 21", 49.00, 0.00, 3.00, 0.00, 0.00,  2
22,"Node 22", 45.00, 0.00, 7.00, 0.00, 0.00,  1
23,"Node 23", 43.00, 0.00, 9.00, 0.00, 0.00,  2
24,"Node 24", 44.00, 0.00, 8.00, 0.00, 0.00,  1
25,"Node 25", 45.00, 1.00, 6.00, 0.00, 0.00,  2
26,"Node 26", 41.00, 0.00, 11.00, 0.00, 0.00,  2
27,"Node 27", 46.00, 0.00, 6.00, 0.00, 0.00,  2
28,"Node 28", 45.00, 0.00, 7.00, 0.00, 0.00,  2
29,"Node 29", 42.00, 0.00, 10.00, 0.00, 0.00,  1
30,"Node 30", 46.00, 0.00, 6.00, 0.00, 0.00,  2
31,"Node 31", 46.00, 1.00, 5.00, 0.00, 0.00,  1
32,"Node 32", 44.00, 0.00, 8.00, 0.00, 0.00,  2
33,"Node 33", 0.00, 0.00, 0.00, 0.00, 0.00,  0
34,"Node 34", 44.00, 0.00, 8.00, 0.00, 0.00,  1
35,"Node 35", 41.00, 2.00, 9.00, 0.00, 0.00,  2
36,"Node 36", 33.00, 0.00, 19.00, 0.00, 0.00,  2
37,"Node 37", 40.00, 0.00, 12.00, 0.00, 0.00,  2
38,"Node 38", 37.00, 4.00, 11.00, 0.00, 0.00,  2
39,"Node 39", 43.00, 0.00, 9.00, 0.00, 0.00,  2
40,"Node 40", 38.00, 0.00, 14.00, 0.00, 0.00,  2
41,"Node 41", 43.00, 0.00, 9.00, 0.00, 0.00,  2
42,"Node 42", 42.00, 0.00, 10.00, 0.00, 0.00,  2
43,"Node 43", 42.00, 2.00, 8.00, 0.00, 0.00,  2
44,"Node 44", 45.00, 0.00, 7.00, 0.00, 0.00,  2
45,"Node 45", 44.00, 1.00, 7.00, 0.00, 0.00,  2
46,"Node 46", 42.00, 0.00, 10.00, 0.00, 0.00,  2
47,"Node 47", 30.00, 0.00, 22.00, 0.00, 0.00,  2
48,"Node 48", 38.00, 1.00, 13.00, 0.00, 0.00,  2
49,"Node 49", 42.00, 0.00, 10.00, 0.00, 0.00,  1
50,"Node 50", 35.00, 6.00, 11.00, 0.00, 0.00,  2
51,"Node 51", 41.00, 1.00, 10.00, 0.00, 0.00,  2
52,"Node 52", 41.00, 0.00, 11.00, 0.00, 0.00,  1
53,"Node 53", 42.00, 0.00, 10.00, 0.00, 0.00,  2
54,"Node 54", 36.00, 2.00, 14.00, 0.00, 0.00,  2
55,"Node 55", 37.00, 0.00, 15.00, 0.00, 0.00,  2
56,"Node 56", 36.00, 3.00, 13.00, 0.00, 0.00,  1
57,"Node 57", 36.00, 5.00, 11.00, 0.00, 0.00,  2
58,"Node 58", 35.00, 7.00, 10.00, 0.00, 0.00,  2
59,"Node 59", 32.00, 5.00, 15.00, 0.00, 0.00,  2
60,"Node 60", 35.00, 0.00, 17.00, 0.00, 0.00,  2
61,"Node 61", 40.00, 0.00, 12.00, 0.00, 0.00,  1
62,"Node 62", 37.00, 0.00, 15.00, 0.00, 0.00,  2
63,"Node 63", 46.00, 0.00, 6.00, 0.00, 0.00,  2
64,"Node 64", 0.00, 0.00, 0.00, 0.00, 0.00,  0
65,"Node 65", 0.00, 0.00, 0.00, 0.00, 0.00,  0
66,"Node 66", 40.00, 0.00, 12.00, 0.00, 0.00,  2
67,"Node 67", 0.00, 0.00, 0.00, 0.00, 0.00,  0
68,"Node 68", 40.00, 0.00, 12.00, 0.00, 0.00,  1
69,"Node 69", 37.00, 0.00, 15.00, 0.00, 0.00,  2
70,"Node 70", 45.00, 1.00, 6.00, 0.00, 0.00,  1
71,"Node 71", 38.00, 5.00, 9.00, 0.00, 0.00,  2
72,"Node 72", 43.00, 0.00, 9.00, 0.00, 0.00,  2
73,"Node 73", 47.00, 0.00, 5.00, 0.00, 0.00,  1
