Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 40.00, 0.00, 11.00, 0.00, 1.00,  2
2,"Node 2", 49.00, 0.00, 2.00, 0.00, 1.00,  2
3,"Node 3", 34.00, 0.00, 17.00, 0.00, 1.00,  2
4,"Node 4", 44.00, 0.00, 7.00, 0.00, 1.00,  2
5,"Node 5", 28.00, 0.00, 13.00, 0.00, 11.00,  1
6,"Node 6", 41.00, 0.00, 10.00, 0.00, 1.00,  2
7,"Node 7", 36.00, 0.00, 15.00, 0.00, 1.00,  2
8,"Node 8", 37.00, 0.00, 14.00, 0.00, 1.00,  2
9,"Node 9", 42.00, 0.00, 9.00, 0.00, 1.00,  2
10,"Node 10", 43.00, 0.00, 8.00, 0.00, 1.00,  2
11,"Node 11", 45.00, 0.00, 6.00, 0.00, 1.00,  2
12,"Node 12", 27.00, 0.00, 22.00, 0.00, 3.00,  1
13,"Node 13", 34.00, 0.00, 17.00, 0.00, 1.00,  2
14,"Node 14", 34.00, 0.00, 17.00, 0.00, 1.00,  2
15,"Node 15", 35.00, 0.00, 16.00, 0.00, 1.00,  2
16,"Node 16", 41.00, 0.00, 10.00, 0.00, 1.00,  2
17,"Node 17", 35.00, 1.00, 14.00, 0.00, 2.00,  2
18,"Node 18", 33.00, 0.00, 18.00, 0.00, 1.00,  2
19,"Node 19", 41.00, 0.00, 10.00, 0.00, 1.00,  2
20,"Node 20", 37.00, 0.00, 14.00, 0.00, 1.00,  2
21,"Node 21", 27.00, 0.00, 13.00, 0.00, 12.00,  1
22,"Node 22", 28.00, 0.00, 5.00, 0.00, 19.00,  1
23,"Node 23", 38.00, 1.00, 12.00, 0.00, 1.00,  2
24,"Node 24", 28.00, 0.00, 13.00, 0.00, 11.00,  1
25,"Node 25", 37.00, 0.00, 14.00, 0.00, 1.00,  2
26,"Node 26", 28.00, 0.00, 12.00, 0.00, 12.00,  1
27,"Node 27", 39.00, 0.00, 12.00, 0.00, 1.00,  2
28,"Node 28", 36.00, 0.00, 15.00, 0.00, 1.00,  2
29,"Node 29", 28.00, 0.00, 8.00, 0.00, 16.00,  1
30,"Node 30", 37.00, 0.00, 14.00, 0.00, 1.00,  2
31,"Node 31", 39.00, 0.00, 12.00, 0.00, 1.00,  2
32,"Node 32", 45.00, 0.00, 6.00, 0.00, 1.00,  2
33,"Node 33", 26.00, 0.00, 25.00, 0.00, 1.00,  1
34,"Node 34", 40.00, 0.00, 11.00, 0.00, 1.00,  2
35,"Node 35", 26.00, 3.00, 18.00, 0.00, 5.00,  1
36,"Node 36", 35.00, 0.00, 16.00, 0.00, 1.00,  2
37,"Node 37", 36.00, 0.00, 15.00, 0.00, 1.00,  2
38,"Node 38", 33.00, 2.00, 16.00, 0.00, 1.00,  2
39,"Node 39", 39.00, 0.00, 12.00, 0.00, 1.00,  2
40,"Node 40", 40.00, 0.00, 11.00, 0.00, 1.00,  2
41,"Node 41", 33.00, 0.00, 17.00, 0.00, 2.00,  2
42,"Node 42", 28.00, 0.00, 8.00, 0.00, 16.00,  1
43,"Node 43", 33.00, 3.00, 15.00, 0.00, 1.00,  2
44,"Node 44", 37.00, 1.00, 13.00, 0.00, 1.00,  2
45,"Node 45", 0.00, 0.00, 0.00, 0.00, 0.00,  0
46,"Node 46", 31.00, 0.00, 20.00, 0.00, 1.00,  2
47,"Node 47", 27.00, 0.00, 24.00, 0.00, 1.00,  2
48,"Node 48", 36.00, 0.00, 15.00, 0.00, 1.00,  2
49,"Node 49", 28.00, 0.00, 9.00, 0.00, 15.00,  1
50,"Node 50", 26.00, 1.00, 24.00, 0.00, 1.00,  2
51,"Node 51", 27.00, 2.00, 22.00, 0.00, 1.00,  1
52,"Node 52", 39.00, 0.00, 12.00, 0.00, 1.00,  2
53,"Node 53", 26.00, 0.00, 25.00, 0.00, 1.00,  1
54,"Node 54", 28.00, 1.00, 10.00, 0.00, 13.00,  1
55,"Node 55", 41.00, 1.00, 9.00, 0.00, 1.00,  2
56,"Node 56", 37.00, 3.00, 11.00, 0.00, 1.00,  2
57,"Node 57", 27.00, 1.00, 17.00, 0.00, 7.00,  1
58,"Node 58", 23.00, 4.00, 23.00, 0.00, 2.00,  2
59,"Node 59", 34.00, 5.00, 12.00, 0.00, 1.00,  2
60,"Node 60", 0.00, 0.00, 0.00, 0.00, 0.00,  0
61,"Node 61", 40.00, 0.00, 11.00, 0.00, 1.00,  2
62,"Node 62", 35.00, 0.00, 16.00, 0.00, 1.00,  2
63,"Node 63", 37.00, 0.00, 13.00, 0.00, 2.00,  2
64,"Node 64", 33.00, 0.00, 18.00, 0.00, 1.00,  2
65,"Node 65", 33.00, 3.00, 15.00, 0.00, 1.00,  2
66,"Node 66", 0.00, 0.00, 0.00, 0.00, 0.00,  0
67,"Node 67", 21.00, 11.00, 19.00, 0.00, 1.00,  2
68,"Node 68", 0.00, 0.00, 0.00, 0.00, 0.00,  0
69,"Node 69", 35.00, 0.00, 16.00, 0.00, 1.00,  2
70,"Node 70", 34.00, 0.00, 17.00, 0.00, 1.00,  2
71,"Node 71", 18.00, 7.00, 26.00, 0.00, 1.00,  2
72,"Node 72", 28.00, 0.00, 10.00, 0.00, 14.00,  1
73,"Node 73", 44.00, 0.00, 7.00, 0.00, 1.00,  2
74,"Node 74", 17.00, 4.00, 30.00, 0.00, 1.00,  2
75,"Node 75", 32.00, 0.00, 19.00, 0.00, 1.00,  2
76,"Node 76", 33.00, 0.00, 18.00, 0.00, 1.00,  2
77,"Node 77", 27.00, 2.00, 14.00, 0.00, 9.00,  1
78,"Node 78", 27.00, 5.00, 10.00, 0.00, 10.00,  1
79,"Node 79", 28.00, 4.00, 19.00, 0.00, 1.00,  2
80,"Node 80", 28.00, 2.00, 10.00, 0.00, 12.00,  1
81,"Node 81", 39.00, 0.00, 12.00, 0.00, 1.00,  2
82,"Node 82", 27.00, 2.00, 18.00, 0.00, 5.00,  1
83,"Node 83", 20.00, 0.00, 31.00, 0.00, 1.00,  2
84,"Node 84", 31.00, 5.00, 15.00, 0.00, 1.00,  2
85,"Node 85", 27.00, 0.00, 15.00, 0.00, 10.00,  1
86,"Node 86", 27.00, 0.00, 24.00, 0.00, 1.00,  2
87,"Node 87", 32.00, 0.00, 19.00, 0.00, 1.00,  2
88,"Node 88", 22.00, 5.00, 24.00, 0.00, 1.00,  2
89,"Node 89", 41.00, 0.00, 10.00, 0.00, 1.00,  2
90,"Node 90", 29.00, 0.00, 22.00, 0.00, 1.00,  2
91,"Node 91", 33.00, 9.00, 9.00, 0.00, 1.00,  2
92,"Node 92", 21.00, 5.00, 25.00, 0.00, 1.00,  2
93,"Node 93", 28.00, 0.00, 16.00, 0.00, 8.00,  1
94,"Node 94", 0.00, 0.00, 0.00, 0.00, 0.00,  0
95,"Node 95", 32.00, 0.00, 18.00, 0.00, 2.00,  2
96,"Node 96", 30.00, 2.00, 17.00, 0.00, 3.00,  2
97,"Node 97", 23.00, 9.00, 19.00, 0.00, 1.00,  1
98,"Node 98", 33.00, 4.00, 14.00, 0.00, 1.00,  2
99,"Node 99", 23.00, 8.00, 20.00, 0.00, 1.00,  1
100,"Node 100", 41.00, 0.00, 10.00, 0.00, 1.00,  2
