Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 51.00, 0.00, 1.00, 0.00, 0.00,  2
2,"Node 2", 52.00, 0.00, 0.00, 0.00, 0.00,  1
3,"Node 3", 51.00, 0.00, 1.00, 0.00, 0.00,  2
4,"Node 4", 50.00, 0.00, 2.00, 0.00, 0.00,  1
5,"Node 5", 50.00, 0.00, 2.00, 0.00, 0.00,  2
6,"Node 6", 0.00, 0.00, 0.00, 0.00, 0.00,  0
7,"Node 7", 50.00, 0.00, 2.00, 0.00, 0.00,  2
8,"Node 8", 51.00, 0.00, 1.00, 0.00, 0.00,  1
9,"Node 9", 50.00, 0.00, 2.00, 0.00, 0.00,  2
10,"Node 10", 51.00, 0.00, 1.00, 0.00, 0.00,  2
11,"Node 11", 50.00, 0.00, 2.00, 0.00, 0.00,  2
12,"Node 12", 50.00, 0.00, 2.00, 0.00, 0.00,  2
13,"Node 13", 49.00, 0.00, 3.00, 0.00, 0.00,  2
14,"Node 14", 50.00, 0.00, 2.00, 0.00, 0.00,  2
15,"Node 15", 52.00, 0.00, 0.00, 0.00, 0.00,  2
16,"Node 16", 52.00, 0.00, 0.00, 0.00, 0.00,  2
17,"Node 17", 51.00, 1.00, 0.00, 0.00, 0.00,  1
18,"Node 18", 52.00, 0.00, 0.00, 0.00, 0.00,  2
19,"Node 19", 50.00, 0.00, 2.00, 0.00, 0.00,  2
20,"Node 20", 48.00, 0.00, 4.00, 0.00, 0.00,  2
21,"Node 21", 52.00, 0.00, 0.00, 0.00, 0.00,  2
22,"Node 22", 0.00, 0.00, 0.00, 0.00, 0.00,  0
23,"Node 23", 49.00, 1.00, 2.00, 0.00, 0.00,  2
24,"Node 24", 52.00, 0.00, 0.00, 0.00, 0.00,  2
25,"Node 25", 51.00, 0.00, 1.00, 0.00, 0.00,  1
26,"Node 26", 52.00, 0.00, 0.00, 0.00, 0.00,  2
27,"Node 27", 50.00, 0.00, 2.00, 0.00, 0.00,  2
28,"Node 28", 49.00, 0.00, 3.00, 0.00, 0.00,  2
29,"Node 29", 51.00, 0.00, 1.00, 0.00, 0.00,  2
30,"Node 30", 51.00, 0.00, 1.00, 0.00, 0.00,  2
31,"Node 31", 49.00, 1.00, 2.00, 0.00, 0.00,  2
32,"Node 32", 52.00, 0.00, 0.00, 0.00, 0.00,  2
33,"Node 33", 51.00, 0.00, 1.00, 0.00, 0.00,  2
34,"Node 34", 51.00, 0.00, 1.00, 0.00, 0.00,  1
35,"Node 35", 47.00, 2.00, 3.00, 0.00, 0.00,  2
36,"Node 36", 52.00, 0.00, 0.00, 0.00, 0.00,  2
37,"Node 37", 50.00, 0.00, 2.00, 0.00, 0.00,  2
38,"Node 38", 48.00, 2.00, 2.00, 0.00, 0.00,  2
39,"Node 39", 50.00, 0.00, 2.00, 0.00, 0.00,  1
40,"Node 40", 51.00, 0.00, 1.00, 0.00, 0.00,  1
41,"Node 41", 52.00, 0.00, 0.00, 0.00, 0.00,  2
42,"Node 42", 51.00, 0.00, 1.00, 0.00, 0.00,  2
43,"Node 43", 46.00, 5.00, 1.00, 0.00, 0.00,  2
44,"Node 44", 49.00, 1.00, 2.00, 0.00, 0.00,  2
45,"Node 45", 48.00, 2.00, 2.00, 0.00, 0.00,  2
46,"Node 46", 49.00, 0.00, 3.00, 0.00, 0.00,  1
47,"Node 47", 50.00, 0.00, 2.00, 0.00, 0.00,  1
48,"Node 48", 48.00, 1.00, 3.00, 0.00, 0.00,  1
49,"Node 49", 51.00, 0.00, 1.00, 0.00, 0.00,  2
50,"Node 50", 50.00, 1.00, 1.00, 0.00, 0.00,  2
51,"Node 51", 47.00, 2.00, 3.00, 0.00, 0.00,  2
52,"Node 52", 50.00, 1.00, 1.00, 0.00, 0.00,  1
53,"Node 53", 51.00, 1.00, 0.00, 0.00, 0.00,  2
54,"Node 54", 42.00, 4.00, 6.00, 0.00, 0.00,  1
55,"Node 55", 47.00, 2.00, 3.00, 0.00, 0.00,  2
56,"Node 56", 49.00, 2.00, 1.00, 0.00, 0.00,  1
57,"Node 57", 46.00, 3.00, 3.00, 0.00, 0.00,  1
58,"Node 58", 42.00, 10.00, 0.00, 0.00, 0.00,  2
59,"Node 59", 47.00, 3.00, 2.00, 0.00, 0.00,  2
60,"Node 60", 51.00, 0.00, 1.00, 0.00, 0.00,  2
61,"Node 61", 48.00, 0.00, 4.00, 0.00, 0.00,  2
62,"Node 62", 50.00, 0.00, 2.00, 0.00, 0.00,  2
63,"Node 63", 51.00, 0.00, 1.00, 0.00, 0.00,  1
64,"Node 64", 50.00, 0.00, 2.00, 0.00, 0.00,  2
