Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 0.00, 0.00, 0.00, 0.00, 0.00,  0
2,"Node 2", 39.00, 11.00, 2.00, 0.00, 0.00,  2
3,"Node 3", 33.00, 16.00, 3.00, 0.00, 0.00,  2
4,"Node 4", 38.00, 13.00, 1.00, 0.00, 0.00,  2
5,"Node 5", 25.00, 26.00, 1.00, 0.00, 0.00,  2
6,"Node 6", 17.00, 34.00, 1.00, 0.00, 0.00,  2
7,"Node 7", 0.00, 0.00, 0.00, 0.00, 0.00,  0
8,"Node 8", 23.00, 27.00, 2.00, 0.00, 0.00,  2
9,"Node 9", 18.00, 34.00, 0.00, 0.00, 0.00,  2
10,"Node 10", 21.00, 30.00, 1.00, 0.00, 0.00,  1
11,"Node 11", 14.00, 38.00, 0.00, 0.00, 0.00,  2
12,"Node 12", 19.00, 33.00, 0.00, 0.00, 0.00,  1
13,"Node 13", 22.00, 29.00, 1.00, 0.00, 0.00,  2
14,"Node 14", 18.00, 34.00, 0.00, 0.00, 0.00,  2
15,"Node 15", 13.00, 38.00, 1.00, 0.00, 0.00,  1
16,"Node 16", 16.00, 33.00, 3.00, 0.00, 0.00,  2
17,"Node 17", 6.00, 46.00, 0.00, 0.00, 0.00,  2
18,"Node 18", 25.00, 25.00, 2.00, 0.00, 0.00,  2
19,"Node 19", 7.00, 45.00, 0.00, 0.00, 0.00,  2
20,"Node 20", 11.00, 41.00, 0.00, 0.00, 0.00,  2
21,"Node 21", 24.00, 28.00, 0.00, 0.00, 0.00,  1
22,"Node 22", 15.00, 36.00, 1.00, 0.00, 0.00,  1
23,"Node 23", 9.00, 43.00, 0.00, 0.00, 0.00,  2
24,"Node 24", 13.00, 39.00, 0.00, 0.00, 0.00,  1
25,"Node 25", 8.00, 43.00, 1.00, 0.00, 0.00,  1
26,"Node 26", 23.00, 27.00, 2.00, 0.00, 0.00,  2
27,"Node 27", 12.00, 38.00, 2.00, 0.00, 0.00,  2
28,"Node 28", 24.00, 24.00, 4.00, 0.00, 0.00,  2
29,"Node 29", 14.00, 36.00, 2.00, 0.00, 0.00,  2
30,"Node 30", 16.00, 35.00, 1.00, 0.00, 0.00,  1
31,"Node 31", 6.00, 46.00, 0.00, 0.00, 0.00,  2
32,"Node 32", 15.00, 37.00, 0.00, 0.00, 0.00,  1
33,"Node 33", 9.00, 43.00, 0.00, 0.00, 0.00,  2
34,"Node 34", 22.00, 25.00, 5.00, 0.00, 0.00,  1
35,"Node 35", 8.00, 44.00, 0.00, 0.00, 0.00,  2
36,"Node 36", 10.00, 42.00, 0.00, 0.00, 0.00,  2
37,"Node 37", 0.00, 0.00, 0.00, 0.00, 0.00,  0
38,"Node 38", 4.00, 48.00, 0.00, 0.00, 0.00,  2
39,"Node 39", 14.00, 36.00, 2.00, 0.00, 0.00,  2
40,"Node 40", 20.00, 32.00, 0.00, 0.00, 0.00,  2
41,"Node 41", 10.00, 42.00, 0.00, 0.00, 0.00,  2
42,"Node 42", 17.00, 32.00, 3.00, 0.00, 0.00,  2
43,"Node 43", 3.00, 49.00, 0.00, 0.00, 0.00,  1
44,"Node 44", 11.00, 41.00, 0.00, 0.00, 0.00,  2
45,"Node 45", 11.00, 41.00, 0.00, 0.00, 0.00,  2
46,"Node 46", 11.00, 41.00, 0.00, 0.00, 0.00,  2
47,"Node 47", 13.00, 38.00, 1.00, 0.00, 0.00,  2
48,"Node 48", 14.00, 37.00, 1.00, 0.00, 0.00,  2
49,"Node 49", 12.00, 37.00, 3.00, 0.00, 0.00,  1
50,"Node 50", 3.00, 49.00, 0.00, 0.00, 0.00,  2
51,"Node 51", 7.00, 45.00, 0.00, 0.00, 0.00,  2
52,"Node 52", 11.00, 41.00, 0.00, 0.00, 0.00,  2
53,"Node 53", 5.00, 46.00, 1.00, 0.00, 0.00,  2
54,"Node 54", 3.00, 49.00, 0.00, 0.00, 0.00,  2
55,"Node 55", 13.00, 39.00, 0.00, 0.00, 0.00,  2
56,"Node 56", 4.00, 48.00, 0.00, 0.00, 0.00,  2
57,"Node 57", 5.00, 47.00, 0.00, 0.00, 0.00,  2
58,"Node 58", 4.00, 48.00, 0.00, 0.00, 0.00,  2
59,"Node 59", 7.00, 45.00, 0.00, 0.00, 0.00,  1
60,"Node 60", 16.00, 35.00, 1.00, 0.00, 0.00,  2
61,"Node 61", 7.00, 44.00, 1.00, 0.00, 0.00,  1
62,"Node 62", 10.00, 42.00, 0.00, 0.00, 0.00,  2
63,"Node 63", 16.00, 36.00, 0.00, 0.00, 0.00,  2
64,"Node 64", 13.00, 39.00, 0.00, 0.00, 0.00,  2
65,"Node 65", 12.00, 40.00, 0.00, 0.00, 0.00,  2
66,"Node 66", 13.00, 39.00, 0.00, 0.00, 0.00,  2
67,"Node 67", 2.00, 50.00, 0.00, 0.00, 0.00,  1
68,"Node 68", 22.00, 30.00, 0.00, 0.00, 0.00,  2
69,"Node 69", 21.00, 30.00, 1.00, 0.00, 0.00,  2
70,"Node 70", 14.00, 38.00, 0.00, 0.00, 0.00,  2
71,"Node 71", 4.00, 48.00, 0.00, 0.00, 0.00,  1
72,"Node 72", 19.00, 33.00, 0.00, 0.00, 0.00,  1
73,"Node 73", 12.00, 40.00, 0.00, 0.00, 0.00,  1
74,"Node 74", 4.00, 48.00, 0.00, 0.00, 0.00,  2
75,"Node 75", 11.00, 41.00, 0.00, 0.00, 0.00,  2
76,"Node 76", 6.00, 45.00, 1.00, 0.00, 0.00,  2
77,"Node 77", 1.00, 51.00, 0.00, 0.00, 0.00,  1
78,"Node 78", 0.00, 0.00, 0.00, 0.00, 0.00,  0
79,"Node 79", 7.00, 45.00, 0.00, 0.00, 0.00,  2
80,"Node 80", 4.00, 48.00, 0.00, 0.00, 0.00,  2
81,"Node 81", 7.00, 45.00, 0.00, 0.00, 0.00,  2
82,"Node 82", 4.00, 48.00, 0.00, 0.00, 0.00,  2
83,"Node 83", 7.00, 45.00, 0.00, 0.00, 0.00,  1
84,"Node 84", 0.00, 0.00, 0.00, 0.00, 0.00,  0
85,"Node 85", 6.00, 45.00, 1.00, 0.00, 0.00,  2
86,"Node 86", 5.00, 47.00, 0.00, 0.00, 0.00,  2
87,"Node 87", 13.00, 39.00, 0.00, 0.00, 0.00,  1
88,"Node 88", 1.00, 51.00, 0.00, 0.00, 0.00,  1
89,"Node 89", 12.00, 40.00, 0.00, 0.00, 0.00,  2
90,"Node 90", 9.00, 43.00, 0.00, 0.00, 0.00,  2
91,"Node 91", 5.00, 47.00, 0.00, 0.00, 0.00,  1
92,"Node 92", 3.00, 49.00, 0.00, 0.00, 0.00,  2
93,"Node 93", 6.00, 46.00, 0.00, 0.00, 0.00,  2
94,"Node 94", 5.00, 47.00, 0.00, 0.00, 0.00,  2
95,"Node 95", 10.00, 38.00, 4.00, 0.00, 0.00,  2
