Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 43.00, 0.00, 9.00, 0.00, 0.00,  2
2,"Node 2", 51.00, 0.00, 1.00, 0.00, 0.00,  2
3,"Node 3", 36.00, 0.00, 16.00, 0.00, 0.00,  1
4,"Node 4", 48.00, 0.00, 4.00, 0.00, 0.00,  1
5,"Node 5", 42.00, 0.00, 10.00, 0.00, 0.00,  2
6,"Node 6", 46.00, 0.00, 6.00, 0.00, 0.00,  2
7,"Node 7", 46.00, 0.00, 6.00, 0.00, 0.00,  2
8,"Node 8", 44.00, 0.00, 8.00, 0.00, 0.00,  2
9,"Node 9", 40.00, 0.00, 12.00, 0.00, 0.00,  1
10,"Node 10", 45.00, 0.00, 7.00, 0.00, 0.00,  2
11,"Node 11", 46.00, 0.00, 6.00, 0.00, 0.00,  2
12,"Node 12", 45.00, 0.00, 7.00, 0.00, 0.00,  2
13,"Node 13", 40.00, 0.00, 12.00, 0.00, 0.00,  1
14,"Node 14", 38.00, 0.00, 14.00, 0.00, 0.00,  2
15,"Node 15", 34.00, 0.00, 18.00, 0.00, 0.00,  2
16,"Node 16", 38.00, 0.00, 14.00, 0.00, 0.00,  1
17,"Node 17", 0.00, 0.00, 0.00, 0.00, 0.00,  0
18,"Node 18", 45.00, 0.00, 7.00, 0.00, 0.00,  1
19,"Node 19", 40.00, 0.00, 12.00, 0.00, 0.00,  2
20,"Node 20", 44.00, 0.00, 8.00, 0.00, 0.00,  1
21,"Node 21", 41.00, 0.00, 11.00, 0.00, 0.00,  2
22,"Node 22", 43.00, 0.00, 9.00, 0.00, 0.00,  1
23,"Node 23", 42.00, 5.00, 5.00, 0.00, 0.00,  1
24,"Node 24", 42.00, 0.00, 10.00, 0.00, 0.00,  1
25,"Node 25", 44.00, 0.00, 8.00, 0.00, 0.00,  2
26,"Node 26", 46.00, 0.00, 6.00, 0.00, 0.00,  2
27,"Node 27", 43.00, 0.00, 9.00, 0.00, 0.00,  2
28,"Node 28", 41.00, 0.00, 11.00, 0.00, 0.00,  2
29,"Node 29", 41.00, 0.00, 11.00, 0.00, 0.00,  2
30,"Node 30", 42.00, 0.00, 10.00, 0.00, 0.00,  2
31,"Node 31", 36.00, 0.00, 16.00, 0.00, 0.00,  1
32,"Node 32", 46.00, 0.00, 6.00, 0.00, 0.00,  1
33,"Node 33", 47.00, 0.00, 5.00, 0.00, 0.00,  2
34,"Node 34", 38.00, 0.00, 14.00, 0.00, 0.00,  2
35,"Node 35", 28.00, 4.00, 20.00, 0.00, 0.00,  2
36,"Node 36", 46.00, 0.00, 6.00, 0.00, 0.00,  2
37,"Node 37", 38.00, 0.00, 14.00, 0.00, 0.00,  2
38,"Node 38", 38.00, 5.00, 9.00, 0.00, 0.00,  2
39,"Node 39", 37.00, 0.00, 15.00, 0.00, 0.00,  2
40,"Node 40", 46.00, 0.00, 6.00, 0.00, 0.00,  2
41,"Node 41", 32.00, 0.00, 20.00, 0.00, 0.00,  1
42,"Node 42", 38.00, 0.00, 14.00, 0.00, 0.00,  2
43,"Node 43", 34.00, 3.00, 15.00, 0.00, 0.00,  2
44,"Node 44", 39.00, 0.00, 13.00, 0.00, 0.00,  1
45,"Node 45", 44.00, 1.00, 7.00, 0.00, 0.00,  2
46,"Node 46", 37.00, 0.00, 15.00, 0.00, 0.00,  1
47,"Node 47", 0.00, 0.00, 0.00, 0.00, 0.00,  0
48,"Node 48", 0.00, 0.00, 0.00, 0.00, 0.00,  0
49,"Node 49", 41.00, 0.00, 11.00, 0.00, 0.00,  1
50,"Node 50", 42.00, 2.00, 8.00, 0.00, 0.00,  2
51,"Node 51", 42.00, 1.00, 9.00, 0.00, 0.00,  2
52,"Node 52", 43.00, 1.00, 8.00, 0.00, 0.00,  2
53,"Node 53", 43.00, 1.00, 8.00, 0.00, 0.00,  2
54,"Node 54", 29.00, 7.00, 16.00, 0.00, 0.00,  2
55,"Node 55", 0.00, 0.00, 0.00, 0.00, 0.00,  0
56,"Node 56", 37.00, 2.00, 13.00, 0.00, 0.00,  2
57,"Node 57", 38.00, 2.00, 12.00, 0.00, 0.00,  2
58,"Node 58", 36.00, 10.00, 6.00, 0.00, 0.00,  2
59,"Node 59", 35.00, 7.00, 10.00, 0.00, 0.00,  2
60,"Node 60", 39.00, 0.00, 13.00, 0.00, 0.00,  2
61,"Node 61", 44.00, 0.00, 8.00, 0.00, 0.00,  2
62,"Node 62", 37.00, 0.00, 15.00, 0.00, 0.00,  2
63,"Node 63", 41.00, 0.00, 11.00, 0.00, 0.00,  2
64,"Node 64", 42.00, 0.00, 10.00, 0.00, 0.00,  1
65,"Node 65", 43.00, 2.00, 7.00, 0.00, 0.00,  2
66,"Node 66", 34.00, 0.00, 18.00, 0.00, 0.00,  2
67,"Node 67", 28.00, 19.00, 5.00, 0.00, 0.00,  2
68,"Node 68", 34.00, 0.00, 18.00, 0.00, 0.00,  1
69,"Node 69", 47.00, 0.00, 5.00, 0.00, 0.00,  2
70,"Node 70", 44.00, 1.00, 7.00, 0.00, 0.00,  2
71,"Node 71", 34.00, 7.00, 11.00, 0.00, 0.00,  2
72,"Node 72", 38.00, 0.00, 14.00, 0.00, 0.00,  1
73,"Node 73", 47.00, 1.00, 4.00, 0.00, 0.00,  2
74,"Node 74", 41.00, 4.00, 7.00, 0.00, 0.00,  2
75,"Node 75", 40.00, 0.00, 12.00, 0.00, 0.00,  2
76,"Node 76", 40.00, 0.00, 12.00, 0.00, 0.00,  2
77,"Node 77", 43.00, 4.00, 5.00, 0.00, 0.00,  2
78,"Node 78", 40.00, 2.00, 10.00, 0.00, 0.00,  2
79,"Node 79", 40.00, 3.00, 9.00, 0.00, 0.00,  2
80,"Node 80", 37.00, 5.00, 10.00, 0.00, 0.00,  2
81,"Node 81", 48.00, 0.00, 4.00, 0.00, 0.00,  1
82,"Node 82", 33.00, 1.00, 18.00, 0.00, 0.00,  1
83,"Node 83", 34.00, 3.00, 15.00, 0.00, 0.00,  1
84,"Node 84", 39.00, 1.00, 12.00, 0.00, 0.00,  2
85,"Node 85", 37.00, 0.00, 15.00, 0.00, 0.00,  2
86,"Node 86", 35.00, 3.00, 14.00, 0.00, 0.00,  2
87,"Node 87", 38.00, 0.00, 14.00, 0.00, 0.00,  2
88,"Node 88", 35.00, 11.00, 6.00, 0.00, 0.00,  2
89,"Node 89", 44.00, 0.00, 8.00, 0.00, 0.00,  2
90,"Node 90", 28.00, 0.00, 24.00, 0.00, 0.00,  1
91,"Node 91", 34.00, 5.00, 13.00, 0.00, 0.00,  2
92,"Node 92", 24.00, 10.00, 18.00, 0.00, 0.00,  1
93,"Node 93", 40.00, 2.00, 10.00, 0.00, 0.00,  2
94,"Node 94", 45.00, 3.00, 4.00, 0.00, 0.00,  2
95,"Node 95", 0.00, 0.00, 0.00, 0.00, 0.00,  0
96,"Node 96", 35.00, 4.00, 13.00, 0.00, 0.00,  2
97,"Node 97", 37.00, 10.00, 5.00, 0.00, 0.00,  2
98,"Node 98", 35.00, 8.00, 9.00, 0.00, 0.00,  2
99,"Node 99", 31.00, 11.00, 10.00, 0.00, 0.00,  2
100,"Node 100", 46.00, 0.00, 6.00, 0.00, 0.00,  2
