Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 45.00, 0.00, 7.00, 0.00, 0.00,  2
2,"Node 2", 0.00, 0.00, 0.00, 0.00, 0.00,  0
3,"Node 3", 44.00, 0.00, 8.00, 0.00, 0.00,  2
4,"Node 4", 47.00, 0.00, 5.00, 0.00, 0.00,  2
5,"Node 5", 40.00, 0.00, 12.00, 0.00, 0.00,  1
6,"Node 6", 48.00, 0.00, 4.00, 0.00, 0.00,  2
7,"Node 7", 41.00, 0.00, 11.00, 0.00, 0.00,  1
8,"Node 8", 46.00, 0.00, 6.00, 0.00, 0.00,  2
9,"Node 9", 44.00, 0.00, 8.00, 0.00, 0.00,  2
10,"Node 10", 45.00, 0.00, 7.00, 0.00, 0.00,  2
11,"Node 11", 42.00, 0.00, 10.00, 0.00, 0.00,  1
12,"Node 12", 50.00, 0.00, 2.00, 0.00, 0.00,  2
13,"Node 13", 45.00, 0.00, 7.00, 0.00, 0.00,  2
14,"Node 14", 44.00, 0.00, 8.00, 0.00, 0.00,  2
15,"Node 15", 44.00, 0.00, 8.00, 0.00, 0.00,  2
16,"Node 16", 46.00, 0.00, 6.00, 0.00, 0.00,  2
17,"Node 17", 35.00, 3.00, 14.00, 0.00, 0.00,  2
18,"Node 18", 45.00, 0.00, 7.00, 0.00, 0.00,  2
19,"Node 19", 40.00, 0.00, 12.00, 0.00, 0.00,  2
20,"Node 20", 43.00, 0.00, 9.00, 0.00, 0.00,  2
21,"Node 21", 47.00, 0.00, 5.00, 0.00, 0.00,  2
22,"Node 22", 46.00, 0.00, 6.00, 0.00, 0.00,  2
23,"Node 23", 49.00, 0.00, 3.00, 0.00, 0.00,  2
24,"Node 24", 44.00, 0.00, 8.00, 0.00, 0.00,  2
25,"Node 25", 47.00, 0.00, 5.00, 0.00, 0.00,  1
26,"Node 26", 42.00, 0.00, 10.00, 0.00, 0.00,  1
27,"Node 27", 46.00, 0.00, 6.00, 0.00, 0.00,  2
28,"Node 28", 0.00, 0.00, 0.00, 0.00, 0.00,  0
29,"Node 29", 50.00, 0.00, 2.00, 0.00, 0.00,  1
30,"Node 30", 42.00, 0.00, 10.00, 0.00, 0.00,  2
31,"Node 31", 39.00, 2.00, 11.00, 0.00, 0.00,  2
32,"Node 32", 41.00, 1.00, 10.00, 0.00, 0.00,  1
33,"Node 33", 46.00, 0.00, 6.00, 0.00, 0.00,  2
34,"Node 34", 44.00, 0.00, 8.00, 0.00, 0.00,  2
35,"Node 35", 42.00, 0.00, 10.00, 0.00, 0.00,  1
36,"Node 36", 41.00, 0.00, 11.00, 0.00, 0.00,  2
37,"Node 37", 44.00, 0.00, 8.00, 0.00, 0.00,  2
38,"Node 38", 41.00, 1.00, 10.00, 0.00, 0.00,  2
39,"Node 39", 39.00, 0.00, 13.00, 0.00, 0.00,  2
40,"Node 40", 43.00, 0.00, 9.00, 0.00, 0.00,  1
41,"Node 41", 46.00, 0.00, 6.00, 0.00, 0.00,  1
42,"Node 42", 47.00, 0.00, 5.00, 0.00, 0.00,  2
43,"Node 43", 45.00, 2.00, 5.00, 0.00, 0.00,  2
44,"Node 44", 46.00, 1.00, 5.00, 0.00, 0.00,  1
45,"Node 45", 37.00, 0.00, 15.00, 0.00, 0.00,  1
46,"Node 46", 40.00, 0.00, 12.00, 0.00, 0.00,  2
47,"Node 47", 42.00, 0.00, 10.00, 0.00, 0.00,  2
48,"Node 48", 45.00, 1.00, 6.00, 0.00, 0.00,  2
49,"Node 49", 42.00, 0.00, 10.00, 0.00, 0.00,  1
50,"Node 50", 44.00, 3.00, 5.00, 0.00, 0.00,  2
51,"Node 51", 43.00, 0.00, 9.00, 0.00, 0.00,  2
52,"Node 52", 48.00, 0.00, 4.00, 0.00, 0.00,  2
53,"Node 53", 44.00, 0.00, 8.00, 0.00, 0.00,  2
54,"Node 54", 30.00, 6.00, 16.00, 0.00, 0.00,  2
55,"Node 55", 46.00, 0.00, 6.00, 0.00, 0.00,  2
56,"Node 56", 39.00, 4.00, 9.00, 0.00, 0.00,  2
57,"Node 57", 35.00, 2.00, 15.00, 0.00, 0.00,  2
58,"Node 58", 36.00, 9.00, 7.00, 0.00, 0.00,  1
59,"Node 59", 36.00, 6.00, 10.00, 0.00, 0.00,  1
60,"Node 60", 40.00, 0.00, 12.00, 0.00, 0.00,  2
61,"Node 61", 46.00, 0.00, 6.00, 0.00, 0.00,  2
62,"Node 62", 44.00, 0.00, 8.00, 0.00, 0.00,  2
63,"Node 63", 41.00, 0.00, 11.00, 0.00, 0.00,  2
64,"Node 64", 46.00, 0.00, 6.00, 0.00, 0.00,  2
65,"Node 65", 34.00, 1.00, 17.00, 0.00, 0.00,  2
66,"Node 66", 46.00, 0.00, 6.00, 0.00, 0.00,  2
67,"Node 67", 35.00, 11.00, 6.00, 0.00, 0.00,  2
68,"Node 68", 0.00, 0.00, 0.00, 0.00, 0.00,  0
69,"Node 69", 44.00, 1.00, 7.00, 0.00, 0.00,  2
70,"Node 70", 39.00, 2.00, 11.00, 0.00, 0.00,  1
71,"Node 71", 30.00, 12.00, 10.00, 0.00, 0.00,  2
72,"Node 72", 44.00, 0.00, 8.00, 0.00, 0.00,  2
73,"Node 73", 44.00, 0.00, 8.00, 0.00, 0.00,  1
74,"Node 74", 45.00, 1.00, 6.00, 0.00, 0.00,  2
75,"Node 75", 45.00, 0.00, 7.00, 0.00, 0.00,  1
76,"Node 76", 40.00, 0.00, 12.00, 0.00, 0.00,  2
77,"Node 77", 38.00, 1.00, 13.00, 0.00, 0.00,  2
78,"Node 78", 33.00, 3.00, 16.00, 0.00, 0.00,  2
79,"Node 79", 40.00, 1.00, 11.00, 0.00, 0.00,  1
80,"Node 80", 36.00, 8.00, 8.00, 0.00, 0.00,  2
81,"Node 81", 32.00, 0.00, 20.00, 0.00, 0.00,  1
82,"Node 82", 42.00, 0.00, 10.00, 0.00, 0.00,  2
83,"Node 83", 37.00, 4.00, 11.00, 0.00, 0.00,  2
84,"Node 84", 42.00, 2.00, 8.00, 0.00, 0.00,  2
85,"Node 85", 46.00, 0.00, 6.00, 0.00, 0.00,  2
86,"Node 86", 40.00, 0.00, 12.00, 0.00, 0.00,  2
87,"Node 87", 48.00, 0.00, 4.00, 0.00, 0.00,  1
88,"Node 88", 30.00, 7.00, 15.00, 0.00, 0.00,  2
89,"Node 89", 34.00, 0.00, 18.00, 0.00, 0.00,  2
90,"Node 90", 39.00, 0.00, 13.00, 0.00, 0.00,  2
91,"Node 91", 33.00, 1.00, 18.00, 0.00, 0.00,  2
92,"Node 92", 0.00, 0.00, 0.00, 0.00, 0.00,  0
93,"Node 93", 43.00, 2.00, 7.00, 0.00, 0.00,  2
94,"Node 94", 37.00, 0.00, 15.00, 0.00, 0.00,  2
95,"Node 95", 42.00, 0.00, 10.00, 0.00, 0.00,  1
96,"Node 96", 39.00, 2.00, 11.00, 0.00, 0.00,  2
97,"Node 97", 35.00, 6.00, 11.00, 0.00, 0.00,  2
98,"Node 98", 35.00, 7.00, 10.00, 0.00, 0.00,  1
99,"Node 99", 33.00, 8.00, 11.00, 0.00, 0.00,  1
100,"Node 100", 0.00, 0.00, 0.00, 0.00, 0.00,  0
