Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 25.00, 0.00, 27.00, 0.00, 0.00,  1
2,"Node 2", 31.00, 0.00, 21.00, 0.00, 0.00,  1
3,"Node 3", 25.00, 0.00, 27.00, 0.00, 0.00,  1
4,"Node 4", 39.00, 0.00, 13.00, 0.00, 0.00,  2
5,"Node 5", 35.00, 0.00, 17.00, 0.00, 0.00,  1
6,"Node 6", 28.00, 0.00, 24.00, 0.00, 0.00,  1
7,"Node 7", 27.00, 0.00, 25.00, 0.00, 0.00,  1
8,"Node 8", 37.00, 0.00, 15.00, 0.00, 0.00,  2
9,"Node 9", 33.00, 0.00, 19.00, 0.00, 0.00,  2
10,"Node 10", 41.00, 0.00, 11.00, 0.00, 0.00,  2
11,"Node 11", 39.00, 0.00, 13.00, 0.00, 0.00,  1
12,"Node 12", 36.00, 0.00, 16.00, 0.00, 0.00,  1
13,"Node 13", 23.00, 0.00, 29.00, 0.00, 0.00,  1
14,"Node 14", 32.00, 0.00, 20.00, 0.00, 0.00,  2
15,"Node 15", 22.00, 0.00, 30.00, 0.00, 0.00,  2
16,"Node 16", 34.00, 0.00, 18.00, 0.00, 0.00,  1
17,"Node 17", 36.00, 1.00, 15.00, 0.00, 0.00,  2
18,"Node 18", 30.00, 0.00, 22.00, 0.00, 0.00,  1
19,"Node 19", 36.00, 0.00, 16.00, 0.00, 0.00,  2
20,"Node 20", 26.00, 0.00, 26.00, 0.00, 0.00,  1
21,"Node 21", 22.00, 0.00, 30.00, 0.00, 0.00,  1
22,"Node 22", 28.00, 0.00, 24.00, 0.00, 0.00,  2
23,"Node 23", 38.00, 0.00, 14.00, 0.00, 0.00,  1
24,"Node 24", 30.00, 0.00, 22.00, 0.00, 0.00,  1
25,"Node 25", 37.00, 0.00, 15.00, 0.00, 0.00,  2
26,"Node 26", 32.00, 0.00, 20.00, 0.00, 0.00,  2
27,"Node 27", 34.00, 0.00, 18.00, 0.00, 0.00,  1
28,"Node 28", 32.00, 0.00, 20.00, 0.00, 0.00,  1
29,"Node 29", 37.00, 0.00, 15.00, 0.00, 0.00,  2
30,"Node 30", 32.00, 0.00, 20.00, 0.00, 0.00,  2
31,"Node 31", 27.00, 3.00, 22.00, 0.00, 0.00,  1
32,"Node 32", 25.00, 0.00, 27.00, 0.00, 0.00,  1
33,"Node 33", 34.00, 0.00, 18.00, 0.00, 0.00,  2
34,"Node 34", 32.00, 0.00, 20.00, 0.00, 0.00,  1
35,"Node 35", 21.00, 1.00, 30.00, 0.00, 0.00,  2
36,"Node 36", 37.00, 0.00, 15.00, 0.00, 0.00,  2
37,"Node 37", 27.00, 0.00, 25.00, 0.00, 0.00,  1
38,"Node 38", 22.00, 2.00, 28.00, 0.00, 0.00,  1
39,"Node 39", 32.00, 0.00, 20.00, 0.00, 0.00,  2
40,"Node 40", 39.00, 0.00, 13.00, 0.00, 0.00,  1
41,"Node 41", 31.00, 0.00, 21.00, 0.00, 0.00,  1
42,"Node 42", 30.00, 0.00, 22.00, 0.00, 0.00,  2
43,"Node 43", 24.00, 5.00, 23.00, 0.00, 0.00,  1
44,"Node 44", 21.00, 0.00, 31.00, 0.00, 0.00,  2
45,"Node 45", 35.00, 0.00, 17.00, 0.00, 0.00,  2
46,"Node 46", 26.00, 0.00, 26.00, 0.00, 0.00,  2
47,"Node 47", 29.00, 0.00, 23.00, 0.00, 0.00,  1
48,"Node 48", 24.00, 2.00, 26.00, 0.00, 0.00,  1
49,"Node 49", 26.00, 0.00, 26.00, 0.00, 0.00,  1
50,"Node 50", 25.00, 1.00, 26.00, 0.00, 0.00,  2
51,"Node 51", 24.00, 2.00, 26.00, 0.00, 0.00,  2
52,"Node 52", 24.00, 0.00, 28.00, 0.00, 0.00,  1
53,"Node 53", 0.00, 0.00, 0.00, 0.00, 0.00,  0
54,"Node 54", 16.00, 3.00, 33.00, 0.00, 0.00,  2
55,"Node 55", 28.00, 0.00, 24.00, 0.00, 0.00,  1
56,"Node 56", 30.00, 0.00, 22.00, 0.00, 0.00,  2
57,"Node 57", 22.00, 1.00, 29.00, 0.00, 0.00,  2
58,"Node 58", 21.00, 10.00, 21.00, 0.00, 0.00,  1
59,"Node 59", 23.00, 5.00, 24.00, 0.00, 0.00,  2
60,"Node 60", 36.00, 0.00, 16.00, 0.00, 0.00,  2
61,"Node 61", 29.00, 0.00, 23.00, 0.00, 0.00,  1
62,"Node 62", 39.00, 0.00, 13.00, 0.00, 0.00,  1
63,"Node 63", 36.00, 0.00, 16.00, 0.00, 0.00,  2
64,"Node 64", 31.00, 0.00, 21.00, 0.00, 0.00,  1
65,"Node 65", 20.00, 0.00, 32.00, 0.00, 0.00,  1
66,"Node 66", 25.00, 0.00, 27.00, 0.00, 0.00,  1
67,"Node 67", 24.00, 14.00, 14.00, 0.00, 0.00,  1
68,"Node 68", 0.00, 0.00, 0.00, 0.00, 0.00,  0
69,"Node 69", 21.00, 0.00, 31.00, 0.00, 0.00,  2
70,"Node 70", 19.00, 0.00, 33.00, 0.00, 0.00,  2
71,"Node 71", 32.00, 10.00, 10.00, 0.00, 0.00,  1
72,"Node 72", 34.00, 0.00, 18.00, 0.00, 0.00,  1
73,"Node 73", 30.00, 0.00, 22.00, 0.00, 0.00,  2
74,"Node 74", 28.00, 4.00, 20.00, 0.00, 0.00,  2
75,"Node 75", 26.00, 0.00, 26.00, 0.00, 0.00,  2
76,"Node 76", 32.00, 0.00, 20.00, 0.00, 0.00,  2
