Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 196.00, 0.00, 12.00, 0.00, 0.00,  2
2,"Node 2", 205.00, 0.00, 3.00, 0.00, 0.00,  2
3,"Node 3", 178.00, 0.00, 30.00, 0.00, 0.00,  1
4,"Node 4", 174.00, 0.00, 34.00, 0.00, 0.00,  2
5,"Node 5", 200.00, 0.00, 8.00, 0.00, 0.00,  2
6,"Node 6", 189.00, 0.00, 19.00, 0.00, 0.00,  2
7,"Node 7", 168.00, 0.00, 40.00, 0.00, 0.00,  1
8,"Node 8", 198.00, 0.00, 10.00, 0.00, 0.00,  2
9,"Node 9", 182.00, 0.00, 26.00, 0.00, 0.00,  2
10,"Node 10", 189.00, 0.00, 19.00, 0.00, 0.00,  2
11,"Node 11", 184.00, 0.00, 24.00, 0.00, 0.00,  1
12,"Node 12", 203.00, 0.00, 5.00, 0.00, 0.00,  2
13,"Node 13", 186.00, 0.00, 22.00, 0.00, 0.00,  1
14,"Node 14", 194.00, 0.00, 14.00, 0.00, 0.00,  2
15,"Node 15", 183.00, 0.00, 25.00, 0.00, 0.00,  2
16,"Node 16", 193.00, 0.00, 15.00, 0.00, 0.00,  2
17,"Node 17", 171.00, 15.00, 21.00, 1.00, 0.00,  1
18,"Node 18", 185.00, 0.00, 23.00, 0.00, 0.00,  2
19,"Node 19", 164.00, 0.00, 44.00, 0.00, 0.00,  2
20,"Node 20", 186.00, 0.00, 22.00, 0.00, 0.00,  2
21,"Node 21", 189.00, 0.00, 19.00, 0.00, 0.00,  2
22,"Node 22", 203.00, 0.00, 5.00, 0.00, 0.00,  1
23,"Node 23", 193.00, 1.00, 14.00, 0.00, 0.00,  2
24,"Node 24", 188.00, 0.00, 20.00, 0.00, 0.00,  2
25,"Node 25", 183.00, 0.00, 25.00, 0.00, 0.00,  1
26,"Node 26", 177.00, 0.00, 31.00, 0.00, 0.00,  2
27,"Node 27", 193.00, 0.00, 15.00, 0.00, 0.00,  2
28,"Node 28", 0.00, 0.00, 0.00, 0.00, 0.00,  0
29,"Node 29", 193.00, 0.00, 15.00, 0.00, 0.00,  2
30,"Node 30", 193.00, 0.00, 15.00, 0.00, 0.00,  1
31,"Node 31", 174.00, 4.00, 30.00, 0.00, 0.00,  2
32,"Node 32", 164.00, 1.00, 43.00, 0.00, 0.00,  2
33,"Node 33", 189.00, 0.00, 19.00, 0.00, 0.00,  1
34,"Node 34", 193.00, 0.00, 15.00, 0.00, 0.00,  2
35,"Node 35", 178.00, 9.00, 21.00, 0.00, 0.00,  2
36,"Node 36", 168.00, 0.00, 40.00, 0.00, 0.00,  2
37,"Node 37", 186.00, 0.00, 21.00, 1.00, 0.00,  2
38,"Node 38", 169.00, 7.00, 32.00, 0.00, 0.00,  2
39,"Node 39", 184.00, 0.00, 24.00, 0.00, 0.00,  2
40,"Node 40", 174.00, 0.00, 34.00, 0.00, 0.00,  2
41,"Node 41", 188.00, 0.00, 20.00, 0.00, 0.00,  2
42,"Node 42", 185.00, 0.00, 23.00, 0.00, 0.00,  2
43,"Node 43", 171.00, 13.00, 24.00, 0.00, 0.00,  2
