Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 48.00, 0.00, 4.00, 0.00, 0.00,  1
2,"Node 2", 52.00, 0.00, 0.00, 0.00, 0.00,  2
3,"Node 3", 51.00, 0.00, 1.00, 0.00, 0.00,  2
4,"Node 4", 0.00, 0.00, 0.00, 0.00, 0.00,  0
5,"Node 5", 46.00, 2.00, 4.00, 0.00, 0.00,  2
6,"Node 6", 49.00, 2.00, 1.00, 0.00, 0.00,  2
7,"Node 7", 49.00, 2.00, 1.00, 0.00, 0.00,  2
8,"Node 8", 49.00, 2.00, 1.00, 0.00, 0.00,  2
9,"Node 9", 48.00, 1.00, 3.00, 0.00, 0.00,  1
10,"Node 10", 41.00, 4.00, 7.00, 0.00, 0.00,  1
11,"Node 11", 39.00, 11.00, 2.00, 0.00, 0.00,  2
12,"Node 12", 41.00, 8.00, 3.00, 0.00, 0.00,  2
13,"Node 13", 0.00, 0.00, 0.00, 0.00, 0.00,  0
14,"Node 14", 45.00, 4.00, 3.00, 0.00, 0.00,  2
15,"Node 15", 41.00, 9.00, 2.00, 0.00, 0.00,  1
16,"Node 16", 45.00, 6.00, 1.00, 0.00, 0.00,  1
17,"Node 17", 43.00, 7.00, 2.00, 0.00, 0.00,  2
18,"Node 18", 45.00, 4.00, 3.00, 0.00, 0.00,  1
19,"Node 19", 49.00, 3.00, 0.00, 0.00, 0.00,  2
20,"Node 20", 40.00, 10.00, 2.00, 0.00, 0.00,  2
21,"Node 21", 42.00, 8.00, 2.00, 0.00, 0.00,  1
22,"Node 22", 42.00, 9.00, 1.00, 0.00, 0.00,  2
23,"Node 23", 39.00, 9.00, 4.00, 0.00, 0.00,  2
24,"Node 24", 43.00, 7.00, 2.00, 0.00, 0.00,  2
25,"Node 25", 39.00, 8.00, 5.00, 0.00, 0.00,  2
26,"Node 26", 33.00, 19.00, 0.00, 0.00, 0.00,  2
27,"Node 27", 45.00, 7.00, 0.00, 0.00, 0.00,  2
28,"Node 28", 0.00, 0.00, 0.00, 0.00, 0.00,  0
29,"Node 29", 32.00, 18.00, 2.00, 0.00, 0.00,  1
30,"Node 30", 39.00, 12.00, 1.00, 0.00, 0.00,  2
31,"Node 31", 34.00, 15.00, 3.00, 0.00, 0.00,  2
32,"Node 32", 37.00, 15.00, 0.00, 0.00, 0.00,  2
33,"Node 33", 43.00, 8.00, 1.00, 0.00, 0.00,  2
34,"Node 34", 38.00, 13.00, 1.00, 0.00, 0.00,  2
35,"Node 35", 39.00, 8.00, 5.00, 0.00, 0.00,  1
36,"Node 36", 38.00, 9.00, 5.00, 0.00, 0.00,  2
37,"Node 37", 37.00, 11.00, 4.00, 0.00, 0.00,  2
38,"Node 38", 39.00, 8.00, 5.00, 0.00, 0.00,  2
39,"Node 39", 41.00, 10.00, 1.00, 0.00, 0.00,  1
40,"Node 40", 44.00, 4.00, 4.00, 0.00, 0.00,  2
41,"Node 41", 28.00, 23.00, 1.00, 0.00, 0.00,  2
42,"Node 42", 38.00, 11.00, 3.00, 0.00, 0.00,  2
43,"Node 43", 39.00, 8.00, 5.00, 0.00, 0.00,  2
44,"Node 44", 29.00, 22.00, 1.00, 0.00, 0.00,  2
45,"Node 45", 34.00, 15.00, 3.00, 0.00, 0.00,  2
46,"Node 46", 35.00, 14.00, 3.00, 0.00, 0.00,  2
47,"Node 47", 27.00, 24.00, 1.00, 0.00, 0.00,  1
48,"Node 48", 31.00, 17.00, 4.00, 0.00, 0.00,  2
49,"Node 49", 40.00, 12.00, 0.00, 0.00, 0.00,  2
50,"Node 50", 28.00, 22.00, 2.00, 0.00, 0.00,  2
51,"Node 51", 31.00, 17.00, 4.00, 0.00, 0.00,  2
52,"Node 52", 34.00, 18.00, 0.00, 0.00, 0.00,  2
53,"Node 53", 36.00, 14.00, 2.00, 0.00, 0.00,  2
54,"Node 54", 38.00, 11.00, 3.00, 0.00, 0.00,  2
55,"Node 55", 32.00, 17.00, 3.00, 0.00, 0.00,  2
56,"Node 56", 38.00, 13.00, 1.00, 0.00, 0.00,  2
57,"Node 57", 26.00, 26.00, 0.00, 0.00, 0.00,  2
58,"Node 58", 30.00, 22.00, 0.00, 0.00, 0.00,  2
59,"Node 59", 25.00, 26.00, 1.00, 0.00, 0.00,  1
