Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 50.00, 0.00, 2.00, 0.00, 0.00,  2
2,"Node 2", 49.00, 0.00, 3.00, 0.00, 0.00,  1
3,"Node 3", 51.00, 0.00, 1.00, 0.00, 0.00,  2
4,"Node 4", 51.00, 0.00, 1.00, 0.00, 0.00,  2
5,"Node 5", 51.00, 0.00, 1.00, 0.00, 0.00,  2
6,"Node 6", 50.00, 0.00, 2.00, 0.00, 0.00,  2
7,"Node 7", 50.00, 0.00, 2.00, 0.00, 0.00,  2
8,"Node 8", 52.00, 0.00, 0.00, 0.00, 0.00,  2
9,"Node 9", 52.00, 0.00, 0.00, 0.00, 0.00,  2
10,"Node 10", 52.00, 0.00, 0.00, 0.00, 0.00,  1
11,"Node 11", 52.00, 0.00, 0.00, 0.00, 0.00,  2
12,"Node 12", 52.00, 0.00, 0.00, 0.00, 0.00,  2
13,"Node 13", 51.00, 0.00, 1.00, 0.00, 0.00,  2
14,"Node 14", 45.00, 0.00, 7.00, 0.00, 0.00,  1
15,"Node 15", 51.00, 0.00, 1.00, 0.00, 0.00,  2
16,"Node 16", 52.00, 0.00, 0.00, 0.00, 0.00,  1
17,"Node 17", 52.00, 0.00, 0.00, 0.00, 0.00,  2
18,"Node 18", 51.00, 0.00, 1.00, 0.00, 0.00,  2
19,"Node 19", 51.00, 0.00, 1.00, 0.00, 0.00,  1
20,"Node 20", 51.00, 0.00, 1.00, 0.00, 0.00,  2
21,"Node 21", 52.00, 0.00, 0.00, 0.00, 0.00,  2
22,"Node 22", 52.00, 0.00, 0.00, 0.00, 0.00,  2
23,"Node 23", 0.00, 0.00, 0.00, 0.00, 0.00,  0
24,"Node 24", 51.00, 0.00, 1.00, 0.00, 0.00,  2
25,"Node 25", 44.00, 0.00, 8.00, 0.00, 0.00,  1
26,"Node 26", 51.00, 0.00, 1.00, 0.00, 0.00,  2
27,"Node 27", 51.00, 0.00, 1.00, 0.00, 0.00,  2
28,"Node 28", 51.00, 0.00, 1.00, 0.00, 0.00,  1
29,"Node 29", 50.00, 0.00, 2.00, 0.00, 0.00,  1
30,"Node 30", 52.00, 0.00, 0.00, 0.00, 0.00,  2
31,"Node 31", 51.00, 0.00, 1.00, 0.00, 0.00,  2
32,"Node 32", 52.00, 0.00, 0.00, 0.00, 0.00,  2
33,"Node 33", 50.00, 0.00, 2.00, 0.00, 0.00,  2
34,"Node 34", 51.00, 0.00, 1.00, 0.00, 0.00,  2
35,"Node 35", 50.00, 0.00, 2.00, 0.00, 0.00,  2
36,"Node 36", 52.00, 0.00, 0.00, 0.00, 0.00,  2
37,"Node 37", 51.00, 0.00, 1.00, 0.00, 0.00,  1
38,"Node 38", 0.00, 0.00, 0.00, 0.00, 0.00,  0
39,"Node 39", 0.00, 0.00, 0.00, 0.00, 0.00,  0
40,"Node 40", 51.00, 0.00, 1.00, 0.00, 0.00,  2
41,"Node 41", 50.00, 0.00, 2.00, 0.00, 0.00,  2
42,"Node 42", 51.00, 0.00, 1.00, 0.00, 0.00,  1
43,"Node 43", 50.00, 0.00, 2.00, 0.00, 0.00,  1
44,"Node 44", 51.00, 0.00, 1.00, 0.00, 0.00,  2
45,"Node 45", 51.00, 0.00, 1.00, 0.00, 0.00,  2
46,"Node 46", 52.00, 0.00, 0.00, 0.00, 0.00,  2
47,"Node 47", 51.00, 0.00, 1.00, 0.00, 0.00,  2
48,"Node 48", 50.00, 0.00, 2.00, 0.00, 0.00,  2
49,"Node 49", 50.00, 0.00, 2.00, 0.00, 0.00,  2
50,"Node 50", 51.00, 0.00, 1.00, 0.00, 0.00,  2
51,"Node 51", 48.00, 0.00, 4.00, 0.00, 0.00,  2
52,"Node 52", 51.00, 0.00, 1.00, 0.00, 0.00,  1
53,"Node 53", 51.00, 0.00, 1.00, 0.00, 0.00,  2
54,"Node 54", 51.00, 0.00, 1.00, 0.00, 0.00,  2
55,"Node 55", 50.00, 0.00, 2.00, 0.00, 0.00,  2
56,"Node 56", 51.00, 0.00, 1.00, 0.00, 0.00,  2
57,"Node 57", 50.00, 0.00, 2.00, 0.00, 0.00,  2
58,"Node 58", 51.00, 0.00, 1.00, 0.00, 0.00,  1
59,"Node 59", 50.00, 0.00, 2.00, 0.00, 0.00,  1
60,"Node 60", 51.00, 0.00, 1.00, 0.00, 0.00,  1
