Source,Target,Label,Type
1,2,"Edge 1 to 2","Undirected"
1,3,"Edge 1 to 3","Undirected"
1,7,"Edge 1 to 7","Undirected"
1,10,"Edge 1 to 10","Undirected"
1,12,"Edge 1 to 12","Undirected"
1,25,"Edge 1 to 25","Undirected"
1,27,"Edge 1 to 27","Undirected"
1,40,"Edge 1 to 40","Undirected"
1,51,"Edge 1 to 51","Undirected"
1,54,"Edge 1 to 54","Undirected"
1,81,"Edge 1 to 81","Undirected"
2,1,"Edge 2 to 1","Undirected"
2,5,"Edge 2 to 5","Undirected"
2,8,"Edge 2 to 8","Undirected"
2,11,"Edge 2 to 11","Undirected"
2,14,"Edge 2 to 14","Undirected"
2,17,"Edge 2 to 17","Undirected"
2,19,"Edge 2 to 19","Undirected"
2,32,"Edge 2 to 32","Undirected"
2,39,"Edge 2 to 39","Undirected"
2,42,"Edge 2 to 42","Undirected"
2,45,"Edge 2 to 45","Undirected"
2,55,"Edge 2 to 55","Undirected"
2,57,"Edge 2 to 57","Undirected"
2,69,"Edge 2 to 69","Undirected"
2,74,"Edge 2 to 74","Undirected"
2,99,"Edge 2 to 99","Undirected"
3,1,"Edge 3 to 1","Undirected"
3,4,"Edge 3 to 4","Undirected"
3,9,"Edge 3 to 9","Undirected"
3,22,"Edge 3 to 22","Undirected"
3,29,"Edge 3 to 29","Undirected"
3,34,"Edge 3 to 34","Undirected"
3,61,"Edge 3 to 61","Undirected"
3,76,"Edge 3 to 76","Undirected"
3,98,"Edge 3 to 98","Undirected"
3,100,"Edge 3 to 100","Undirected"
4,3,"Edge 4 to 3","Undirected"
4,13,"Edge 4 to 13","Undirected"
4,23,"Edge 4 to 23","Undirected"
4,90,"Edge 4 to 90","Undirected"
4,94,"Edge 4 to 94","Undirected"
4,95,"Edge 4 to 95","Undirected"
5,2,"Edge 5 to 2","Undirected"
5,6,"Edge 5 to 6","Undirected"
5,16,"Edge 5 to 16","Undirected"
5,47,"Edge 5 to 47","Undirected"
5,49,"Edge 5 to 49","Undirected"
5,70,"Edge 5 to 70","Undirected"
5,77,"Edge 5 to 77","Undirected"
5,80,"Edge 5 to 80","Undirected"
5,82,"Edge 5 to 82","Undirected"
6,5,"Edge 6 to 5","Undirected"
6,18,"Edge 6 to 18","Undirected"
6,20,"Edge 6 to 20","Undirected"
6,75,"Edge 6 to 75","Undirected"
6,79,"Edge 6 to 79","Undirected"
7,1,"Edge 7 to 1","Undirected"
8,2,"Edge 8 to 2","Undirected"
8,15,"Edge 8 to 15","Undirected"
9,3,"Edge 9 to 3","Undirected"
9,43,"Edge 9 to 43","Undirected"
9,97,"Edge 9 to 97","Undirected"
10,1,"Edge 10 to 1","Undirected"
11,2,"Edge 11 to 2","Undirected"
12,1,"Edge 12 to 1","Undirected"
12,35,"Edge 12 to 35","Undirected"
12,37,"Edge 12 to 37","Undirected"
13,4,"Edge 13 to 4","Undirected"
14,2,"Edge 14 to 2","Undirected"
14,78,"Edge 14 to 78","Undirected"
15,8,"Edge 15 to 8","Undirected"
15,26,"Edge 15 to 26","Undirected"
15,46,"Edge 15 to 46","Undirected"
15,84,"Edge 15 to 84","Undirected"
16,5,"Edge 16 to 5","Undirected"
16,31,"Edge 16 to 31","Undirected"
17,2,"Edge 17 to 2","Undirected"
18,6,"Edge 18 to 6","Undirected"
18,30,"Edge 18 to 30","Undirected"
19,2,"Edge 19 to 2","Undirected"
19,21,"Edge 19 to 21","Undirected"
20,6,"Edge 20 to 6","Undirected"
20,24,"Edge 20 to 24","Undirected"
21,19,"Edge 21 to 19","Undirected"
21,28,"Edge 21 to 28","Undirected"
22,3,"Edge 22 to 3","Undirected"
22,36,"Edge 22 to 36","Undirected"
22,56,"Edge 22 to 56","Undirected"
23,4,"Edge 23 to 4","Undirected"
23,48,"Edge 23 to 48","Undirected"
23,68,"Edge 23 to 68","Undirected"
23,87,"Edge 23 to 87","Undirected"
23,92,"Edge 23 to 92","Undirected"
23,101,"Edge 23 to 101","Undirected"
24,20,"Edge 24 to 20","Undirected"
25,1,"Edge 25 to 1","Undirected"
25,44,"Edge 25 to 44","Undirected"
25,62,"Edge 25 to 62","Undirected"
25,72,"Edge 25 to 72","Undirected"
26,15,"Edge 26 to 15","Undirected"
27,1,"Edge 27 to 1","Undirected"
27,41,"Edge 27 to 41","Undirected"
28,21,"Edge 28 to 21","Undirected"
29,3,"Edge 29 to 3","Undirected"
30,18,"Edge 30 to 18","Undirected"
30,33,"Edge 30 to 33","Undirected"
30,65,"Edge 30 to 65","Undirected"
30,71,"Edge 30 to 71","Undirected"
31,16,"Edge 31 to 16","Undirected"
31,38,"Edge 31 to 38","Undirected"
32,2,"Edge 32 to 2","Undirected"
32,66,"Edge 32 to 66","Undirected"
33,30,"Edge 33 to 30","Undirected"
33,50,"Edge 33 to 50","Undirected"
34,3,"Edge 34 to 3","Undirected"
35,12,"Edge 35 to 12","Undirected"
36,22,"Edge 36 to 22","Undirected"
36,58,"Edge 36 to 58","Undirected"
36,88,"Edge 36 to 88","Undirected"
37,12,"Edge 37 to 12","Undirected"
38,31,"Edge 38 to 31","Undirected"
38,52,"Edge 38 to 52","Undirected"
39,2,"Edge 39 to 2","Undirected"
40,1,"Edge 40 to 1","Undirected"
41,27,"Edge 41 to 27","Undirected"
41,67,"Edge 41 to 67","Undirected"
42,2,"Edge 42 to 2","Undirected"
43,9,"Edge 43 to 9","Undirected"
44,25,"Edge 44 to 25","Undirected"
44,53,"Edge 44 to 53","Undirected"
45,2,"Edge 45 to 2","Undirected"
46,15,"Edge 46 to 15","Undirected"
47,5,"Edge 47 to 5","Undirected"
47,59,"Edge 47 to 59","Undirected"
47,60,"Edge 47 to 60","Undirected"
48,23,"Edge 48 to 23","Undirected"
49,5,"Edge 49 to 5","Undirected"
49,83,"Edge 49 to 83","Undirected"
50,33,"Edge 50 to 33","Undirected"
50,64,"Edge 50 to 64","Undirected"
50,85,"Edge 50 to 85","Undirected"
51,1,"Edge 51 to 1","Undirected"
52,38,"Edge 52 to 38","Undirected"
53,44,"Edge 53 to 44","Undirected"
53,73,"Edge 53 to 73","Undirected"
54,1,"Edge 54 to 1","Undirected"
54,63,"Edge 54 to 63","Undirected"
54,91,"Edge 54 to 91","Undirected"
55,2,"Edge 55 to 2","Undirected"
56,22,"Edge 56 to 22","Undirected"
57,2,"Edge 57 to 2","Undirected"
58,36,"Edge 58 to 36","Undirected"
59,47,"Edge 59 to 47","Undirected"
60,47,"Edge 60 to 47","Undirected"
61,3,"Edge 61 to 3","Undirected"
62,25,"Edge 62 to 25","Undirected"
