Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
2,"Node 2", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  2
3,"Node 3", 45.00, 0.00, 7.00, 0.00, 0.00,  0,  2
4,"Node 4", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
5,"Node 5", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  2
6,"Node 6", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  2
7,"Node 7", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
8,"Node 8", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
9,"Node 9", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  2
10,"Node 10", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
11,"Node 11", 52.00, 0.00, 0.00, 0.00, 0.00,  0,  2
12,"Node 12", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  2
13,"Node 13", 45.00, 0.00, 7.00, 0.00, 0.00,  0,  2
14,"Node 14", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
15,"Node 15", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
16,"Node 16", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
17,"Node 17", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
18,"Node 18", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  2
19,"Node 19", 52.00, 0.00, 0.00, 0.00, 0.00,  0,  2
20,"Node 20", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  1
21,"Node 21", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  2
22,"Node 22", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
23,"Node 23", 42.00, 0.00, 10.00, 0.00, 0.00,  0,  1
24,"Node 24", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
25,"Node 25", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  2
26,"Node 26", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
27,"Node 27", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
28,"Node 28", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
29,"Node 29", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  1
30,"Node 30", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
31,"Node 31", 52.00, 0.00, 0.00, 0.00, 0.00,  0,  2
32,"Node 32", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
33,"Node 33", 52.00, 0.00, 0.00, 0.00, 0.00,  0,  2
34,"Node 34", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
35,"Node 35", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  2
36,"Node 36", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  2
37,"Node 37", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
38,"Node 38", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
39,"Node 39", 52.00, 0.00, 0.00, 0.00, 0.00,  0,  2
40,"Node 40", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  1
41,"Node 41", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
42,"Node 42", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  2
43,"Node 43", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
44,"Node 44", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  2
45,"Node 45", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
46,"Node 46", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  1
47,"Node 47", 45.00, 0.00, 7.00, 0.00, 0.00,  0,  1
48,"Node 48", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
49,"Node 49", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
50,"Node 50", 45.00, 0.00, 7.00, 0.00, 0.00,  0,  1
51,"Node 51", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
52,"Node 52", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  2
53,"Node 53", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  1
54,"Node 54", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
55,"Node 55", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  1
56,"Node 56", 52.00, 0.00, 0.00, 0.00, 0.00,  0,  1
57,"Node 57", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  1
58,"Node 58", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
59,"Node 59", 52.00, 0.00, 0.00, 0.00, 0.00,  0,  2
60,"Node 60", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
