Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 43.00, 0.00, 9.00, 0.00, 0.00,  0,  2
2,"Node 2", 42.00, 0.00, 10.00, 0.00, 0.00,  0,  1
3,"Node 3", 42.00, 0.00, 10.00, 0.00, 0.00,  0,  1
4,"Node 4", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
5,"Node 5", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  2
6,"Node 6", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  2
7,"Node 7", 37.00, 0.00, 15.00, 0.00, 0.00,  0,  1
8,"Node 8", 38.00, 0.00, 14.00, 0.00, 0.00,  0,  1
9,"Node 9", 45.00, 0.00, 7.00, 0.00, 0.00,  0,  2
10,"Node 10", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
11,"Node 11", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  2
12,"Node 12", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
13,"Node 13", 37.00, 0.00, 15.00, 0.00, 0.00,  0,  2
14,"Node 14", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
15,"Node 15", 40.00, 0.00, 12.00, 0.00, 0.00,  0,  2
16,"Node 16", 37.00, 0.00, 15.00, 0.00, 0.00,  0,  2
17,"Node 17", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  2
18,"Node 18", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  2
19,"Node 19", 43.00, 0.00, 9.00, 0.00, 0.00,  0,  2
20,"Node 20", 36.00, 0.00, 16.00, 0.00, 0.00,  0,  2
21,"Node 21", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
22,"Node 22", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  2
23,"Node 23", 40.00, 0.00, 12.00, 0.00, 0.00,  0,  1
24,"Node 24", 40.00, 0.00, 12.00, 0.00, 0.00,  0,  2
25,"Node 25", 38.00, 0.00, 14.00, 0.00, 0.00,  0,  1
26,"Node 26", 40.00, 0.00, 12.00, 0.00, 0.00,  0,  2
27,"Node 27", 37.00, 0.00, 15.00, 0.00, 0.00,  0,  2
28,"Node 28", 42.00, 0.00, 10.00, 0.00, 0.00,  0,  2
29,"Node 29", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
30,"Node 30", 37.00, 0.00, 15.00, 0.00, 0.00,  0,  1
31,"Node 31", 39.00, 0.00, 13.00, 0.00, 0.00,  0,  2
32,"Node 32", 42.00, 0.00, 10.00, 0.00, 0.00,  0,  2
33,"Node 33", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
