Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 168.00, 0.00, 40.00, 0.00, 0.00,  0,  1
2,"Node 2", 198.00, 0.00, 10.00, 0.00, 0.00,  0,  2
3,"Node 3", 189.00, 0.00, 19.00, 0.00, 0.00,  0,  2
4,"Node 4", 199.00, 0.00, 9.00, 0.00, 0.00,  0,  2
5,"Node 5", 174.00, 0.00, 32.00, 2.00, 0.00,  0,  1
6,"Node 6", 202.00, 0.00, 5.00, 1.00, 0.00,  0,  2
7,"Node 7", 186.00, 0.00, 22.00, 0.00, 0.00,  0,  2
8,"Node 8", 188.00, 0.00, 20.00, 0.00, 0.00,  0,  2
9,"Node 9", 200.00, 0.00, 7.00, 1.00, 0.00,  0,  2
10,"Node 10", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
11,"Node 11", 193.00, 0.00, 15.00, 0.00, 0.00,  0,  2
12,"Node 12", 193.00, 0.00, 15.00, 0.00, 0.00,  0,  2
13,"Node 13", 191.00, 0.00, 17.00, 0.00, 0.00,  0,  1
14,"Node 14", 183.00, 0.00, 24.00, 1.00, 0.00,  0,  1
15,"Node 15", 148.00, 0.00, 59.00, 1.00, 0.00,  0,  2
16,"Node 16", 170.00, 0.00, 38.00, 0.00, 0.00,  0,  1
17,"Node 17", 182.00, 0.00, 26.00, 0.00, 0.00,  0,  2
18,"Node 18", 194.00, 0.00, 12.00, 2.00, 0.00,  0,  2
19,"Node 19", 196.00, 0.00, 11.00, 1.00, 0.00,  0,  2
20,"Node 20", 199.00, 0.00, 9.00, 0.00, 0.00,  0,  1
21,"Node 21", 197.00, 0.00, 11.00, 0.00, 0.00,  0,  2
22,"Node 22", 194.00, 0.00, 11.00, 3.00, 0.00,  0,  2
23,"Node 23", 194.00, 0.00, 14.00, 0.00, 0.00,  0,  1
24,"Node 24", 179.00, 0.00, 29.00, 0.00, 0.00,  0,  2
25,"Node 25", 191.00, 0.00, 16.00, 1.00, 0.00,  0,  2
26,"Node 26", 188.00, 0.00, 20.00, 0.00, 0.00,  0,  2
27,"Node 27", 189.00, 0.00, 19.00, 0.00, 0.00,  0,  1
28,"Node 28", 186.00, 0.00, 22.00, 0.00, 0.00,  0,  1
29,"Node 29", 201.00, 0.00, 6.00, 1.00, 0.00,  0,  2
30,"Node 30", 172.00, 0.00, 36.00, 0.00, 0.00,  0,  2
31,"Node 31", 177.00, 0.00, 30.00, 1.00, 0.00,  0,  2
32,"Node 32", 193.00, 0.00, 13.00, 2.00, 0.00,  0,  2
33,"Node 33", 182.00, 0.00, 26.00, 0.00, 0.00,  0,  1
34,"Node 34", 185.00, 0.00, 22.00, 1.00, 0.00,  0,  2
35,"Node 35", 184.00, 0.00, 24.00, 0.00, 0.00,  0,  2
