Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
2,"Node 2", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
3,"Node 3", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  1
4,"Node 4", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  1
5,"Node 5", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
6,"Node 6", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
7,"Node 7", 43.00, 0.00, 9.00, 0.00, 0.00,  0,  1
8,"Node 8", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
9,"Node 9", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
10,"Node 10", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
11,"Node 11", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  2
12,"Node 12", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
13,"Node 13", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  1
14,"Node 14", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
15,"Node 15", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  1
16,"Node 16", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  2
17,"Node 17", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  1
18,"Node 18", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
19,"Node 19", 42.00, 0.00, 10.00, 0.00, 0.00,  0,  2
20,"Node 20", 45.00, 0.00, 7.00, 0.00, 0.00,  0,  1
21,"Node 21", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  1
22,"Node 22", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
23,"Node 23", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
24,"Node 24", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  2
25,"Node 25", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
26,"Node 26", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
27,"Node 27", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  1
28,"Node 28", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  2
29,"Node 29", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
30,"Node 30", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
31,"Node 31", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
32,"Node 32", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  2
33,"Node 33", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
34,"Node 34", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  2
35,"Node 35", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
36,"Node 36", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
37,"Node 37", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  2
38,"Node 38", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
39,"Node 39", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
40,"Node 40", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  2
41,"Node 41", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
42,"Node 42", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
43,"Node 43", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  2
44,"Node 44", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
45,"Node 45", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
46,"Node 46", 45.00, 0.00, 7.00, 0.00, 0.00,  0,  1
47,"Node 47", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
48,"Node 48", 41.00, 0.00, 11.00, 0.00, 0.00,  0,  1
49,"Node 49", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
50,"Node 50", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
51,"Node 51", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  2
52,"Node 52", 45.00, 0.00, 7.00, 0.00, 0.00,  0,  2
53,"Node 53", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
54,"Node 54", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
55,"Node 55", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  1
56,"Node 56", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  2
57,"Node 57", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
58,"Node 58", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  2
59,"Node 59", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
60,"Node 60", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
61,"Node 61", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
62,"Node 62", 45.00, 0.00, 7.00, 0.00, 0.00,  0,  1
63,"Node 63", 45.00, 0.00, 7.00, 0.00, 0.00,  0,  1
64,"Node 64", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
65,"Node 65", 43.00, 0.00, 9.00, 0.00, 0.00,  0,  2
66,"Node 66", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
67,"Node 67", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  2
