Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 6.00, 0.00, 36.00, 3712.00, 0.00, 0.00,  0,  1
2,"Node 2", 1.00, 0.00, 41.00, 2207.00, 0.00, 0.00,  0,  1
3,"Node 3", 8.00, 0.00, 33.00, 935.00, 0.00, 0.00,  0,  1
4,"Node 4", 4.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
5,"Node 5", 1.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
6,"Node 6", 0.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
7,"Node 7", 5.00, 0.00, 36.00, 132.00, 0.00, 0.00,  0,  1
8,"Node 8", 2.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
9,"Node 9", 8.00, 0.00, 33.00, 0.00, 0.00, 0.00,  0,  1
10,"Node 10", 2.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
11,"Node 11", 3.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
12,"Node 12", 1.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
13,"Node 13", 5.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
14,"Node 14", 8.00, 0.00, 33.00, 15.00, 0.00, 0.00,  0,  1
15,"Node 15", 5.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
16,"Node 16", 3.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
17,"Node 17", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
18,"Node 18", 2.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
19,"Node 19", 0.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
20,"Node 20", 1.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
21,"Node 21", 4.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
22,"Node 22", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 42,  2
23,"Node 23", 1.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
24,"Node 24", 2.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
25,"Node 25", 5.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  1
26,"Node 26", 3.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
27,"Node 27", 2.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
28,"Node 28", 3.00, 0.00, 38.00, 4.00, 0.00, 0.00,  0,  1
29,"Node 29", 4.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
30,"Node 30", 0.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
31,"Node 31", 2.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
32,"Node 32", 7.00, 0.00, 35.00, 0.00, 0.00, 0.00,  0,  1
33,"Node 33", 3.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
34,"Node 34", 0.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
35,"Node 35", 1.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
36,"Node 36", 2.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
37,"Node 37", 1.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
38,"Node 38", 2.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
39,"Node 39", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
40,"Node 40", 4.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
41,"Node 41", 14.00, 0.00, 27.00, 129.00, 0.00, 0.00,  0,  1
42,"Node 42", 5.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
43,"Node 43", 2.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
44,"Node 44", 0.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
45,"Node 45", 2.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
46,"Node 46", 6.00, 0.00, 35.00, 0.00, 0.00, 0.00,  0,  1
47,"Node 47", 12.00, 0.00, 29.00, 331.00, 0.00, 0.00,  0,  1
48,"Node 48", 8.00, 0.00, 33.00, 0.00, 0.00, 0.00,  0,  1
49,"Node 49", 2.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
50,"Node 50", 2.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
51,"Node 51", 1.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
52,"Node 52", 1.00, 0.00, 40.00, 1.00, 0.00, 0.00,  0,  1
53,"Node 53", 6.00, 0.00, 35.00, 469.00, 0.00, 0.00,  0,  1
54,"Node 54", 0.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
55,"Node 55", 2.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
56,"Node 56", 2.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
57,"Node 57", 0.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
58,"Node 58", 1.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
59,"Node 59", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 42,  1
60,"Node 60", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
61,"Node 61", 6.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  1
62,"Node 62", 1.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
63,"Node 63", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
64,"Node 64", 6.00, 0.00, 35.00, 0.00, 0.00, 0.00,  0,  1
65,"Node 65", 3.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
66,"Node 66", 3.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
67,"Node 67", 6.00, 0.00, 35.00, 0.00, 0.00, 0.00,  0,  1
68,"Node 68", 8.00, 0.00, 33.00, 0.00, 0.00, 0.00,  0,  1
69,"Node 69", 5.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
70,"Node 70", 4.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
71,"Node 71", 3.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
72,"Node 72", 4.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
73,"Node 73", 1.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
74,"Node 74", 1.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
75,"Node 75", 6.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  1
76,"Node 76", 1.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
77,"Node 77", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 42,  1
78,"Node 78", 2.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
79,"Node 79", 5.00, 0.00, 36.00, 489.00, 0.00, 0.00,  0,  1
80,"Node 80", 5.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  1
81,"Node 81", 5.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  1
82,"Node 82", 3.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
83,"Node 83", 0.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
84,"Node 84", 0.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
85,"Node 85", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
86,"Node 86", 14.00, 0.00, 28.00, 3.00, 0.00, 0.00,  0,  1
87,"Node 87", 3.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
88,"Node 88", 1.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
89,"Node 89", 2.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
90,"Node 90", 12.00, 0.00, 30.00, 0.00, 0.00, 0.00,  0,  1
91,"Node 91", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 42,  1
92,"Node 92", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 42,  1
93,"Node 93", 2.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
94,"Node 94", 3.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
95,"Node 95", 1.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
96,"Node 96", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 42,  1
97,"Node 97", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 42,  1
98,"Node 98", 0.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
99,"Node 99", 5.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  1
100,"Node 100", 2.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
