Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 2.00, 0.00, 50.00, 0.00, 0.00,  0,  1
2,"Node 2", 7.00, 0.00, 45.00, 0.00, 0.00,  0,  1
3,"Node 3", 4.00, 0.00, 48.00, 0.00, 0.00,  0,  1
4,"Node 4", 4.00, 0.00, 48.00, 0.00, 0.00,  0,  1
5,"Node 5", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
6,"Node 6", 3.00, 0.00, 49.00, 0.00, 0.00,  0,  1
7,"Node 7", 1.00, 0.00, 51.00, 0.00, 0.00,  0,  1
8,"Node 8", 2.00, 0.00, 50.00, 0.00, 0.00,  0,  1
9,"Node 9", 2.00, 0.00, 50.00, 0.00, 0.00,  0,  1
10,"Node 10", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
11,"Node 11", 0.00, 0.00, 52.00, 0.00, 0.00,  0,  1
12,"Node 12", 0.00, 0.00, 52.00, 0.00, 0.00,  0,  1
13,"Node 13", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
14,"Node 14", 2.00, 0.00, 50.00, 0.00, 0.00,  0,  1
15,"Node 15", 2.00, 0.00, 50.00, 0.00, 0.00,  0,  1
16,"Node 16", 1.00, 0.00, 51.00, 0.00, 0.00,  0,  1
17,"Node 17", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
18,"Node 18", 4.00, 0.00, 48.00, 0.00, 0.00,  0,  1
19,"Node 19", 1.00, 0.00, 51.00, 0.00, 0.00,  0,  1
20,"Node 20", 2.00, 0.00, 50.00, 0.00, 0.00,  0,  1
21,"Node 21", 4.00, 0.00, 48.00, 0.00, 0.00,  0,  1
22,"Node 22", 3.00, 0.00, 49.00, 0.00, 0.00,  0,  1
23,"Node 23", 1.00, 0.00, 51.00, 0.00, 0.00,  0,  1
24,"Node 24", 0.00, 0.00, 52.00, 0.00, 0.00,  0,  1
25,"Node 25", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
26,"Node 26", 1.00, 0.00, 51.00, 0.00, 0.00,  0,  1
27,"Node 27", 1.00, 0.00, 51.00, 0.00, 0.00,  0,  1
28,"Node 28", 1.00, 0.00, 51.00, 0.00, 0.00,  0,  1
29,"Node 29", 2.00, 0.00, 50.00, 0.00, 0.00,  0,  1
30,"Node 30", 0.00, 0.00, 52.00, 0.00, 0.00,  0,  1
31,"Node 31", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
32,"Node 32", 4.00, 0.00, 48.00, 0.00, 0.00,  0,  1
33,"Node 33", 1.00, 0.00, 51.00, 0.00, 0.00,  0,  1
34,"Node 34", 1.00, 0.00, 51.00, 0.00, 0.00,  0,  1
35,"Node 35", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
36,"Node 36", 2.00, 0.00, 50.00, 0.00, 0.00,  0,  1
37,"Node 37", 1.00, 0.00, 51.00, 0.00, 0.00,  0,  1
38,"Node 38", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
39,"Node 39", 1.00, 0.00, 51.00, 0.00, 0.00,  0,  1
40,"Node 40", 0.00, 0.00, 52.00, 0.00, 0.00,  0,  1
41,"Node 41", 0.00, 0.00, 52.00, 0.00, 0.00,  0,  1
42,"Node 42", 2.00, 0.00, 50.00, 0.00, 0.00,  0,  1
43,"Node 43", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
44,"Node 44", 3.00, 0.00, 49.00, 0.00, 0.00,  0,  1
45,"Node 45", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
46,"Node 46", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
47,"Node 47", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
48,"Node 48", 0.00, 0.00, 52.00, 0.00, 0.00,  0,  1
49,"Node 49", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
50,"Node 50", 3.00, 0.00, 49.00, 0.00, 0.00,  0,  1
51,"Node 51", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
52,"Node 52", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
53,"Node 53", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
54,"Node 54", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
55,"Node 55", 3.00, 0.00, 49.00, 0.00, 0.00,  0,  1
56,"Node 56", 3.00, 0.00, 49.00, 0.00, 0.00,  0,  1
57,"Node 57", 4.00, 0.00, 48.00, 0.00, 0.00,  0,  1
58,"Node 58", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
59,"Node 59", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
60,"Node 60", 0.00, 0.00, 52.00, 0.00, 0.00,  0,  1
61,"Node 61", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
62,"Node 62", 1.00, 0.00, 51.00, 0.00, 0.00,  0,  1
63,"Node 63", 0.00, 0.00, 52.00, 0.00, 0.00,  0,  1
64,"Node 64", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
65,"Node 65", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  2
66,"Node 66", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
67,"Node 67", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
68,"Node 68", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
69,"Node 69", 0.00, 0.00, 52.00, 0.00, 0.00,  0,  1
70,"Node 70", 1.00, 0.00, 51.00, 0.00, 0.00,  0,  1
71,"Node 71", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
