Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
2,"Node 2", 11.00, 0.00, 41.00, 0.00, 0.00,  0,  1
3,"Node 3", 19.00, 0.00, 33.00, 0.00, 0.00,  0,  1
4,"Node 4", 10.00, 0.00, 42.00, 0.00, 0.00,  0,  1
5,"Node 5", 17.00, 0.00, 35.00, 0.00, 0.00,  0,  1
6,"Node 6", 11.00, 0.00, 41.00, 0.00, 0.00,  0,  1
7,"Node 7", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
8,"Node 8", 9.00, 0.00, 43.00, 0.00, 0.00,  0,  1
9,"Node 9", 9.00, 0.00, 43.00, 0.00, 0.00,  0,  1
10,"Node 10", 12.00, 0.00, 40.00, 0.00, 0.00,  0,  1
11,"Node 11", 32.00, 0.00, 20.00, 0.00, 0.00,  0,  1
12,"Node 12", 16.00, 0.00, 36.00, 0.00, 0.00,  0,  1
13,"Node 13", 18.00, 0.00, 34.00, 0.00, 0.00,  0,  1
14,"Node 14", 7.00, 0.00, 45.00, 0.00, 0.00,  0,  1
15,"Node 15", 4.00, 0.00, 48.00, 0.00, 0.00,  0,  1
16,"Node 16", 5.00, 0.00, 47.00, 0.00, 0.00,  0,  1
17,"Node 17", 22.00, 0.00, 30.00, 0.00, 0.00,  0,  1
18,"Node 18", 17.00, 0.00, 35.00, 0.00, 0.00,  0,  1
19,"Node 19", 9.00, 0.00, 43.00, 0.00, 0.00,  0,  1
20,"Node 20", 6.00, 0.00, 46.00, 0.00, 0.00,  0,  1
21,"Node 21", 19.00, 0.00, 33.00, 0.00, 0.00,  0,  1
22,"Node 22", 11.00, 0.00, 41.00, 0.00, 0.00,  0,  1
23,"Node 23", 15.00, 0.00, 37.00, 0.00, 0.00,  0,  1
24,"Node 24", 4.00, 0.00, 48.00, 0.00, 0.00,  0,  1
25,"Node 25", 15.00, 0.00, 37.00, 0.00, 0.00,  0,  1
26,"Node 26", 12.00, 0.00, 40.00, 0.00, 0.00,  0,  1
27,"Node 27", 12.00, 0.00, 40.00, 0.00, 0.00,  0,  1
28,"Node 28", 12.00, 0.00, 40.00, 0.00, 0.00,  0,  1
29,"Node 29", 12.00, 0.00, 40.00, 0.00, 0.00,  0,  1
30,"Node 30", 12.00, 0.00, 40.00, 0.00, 0.00,  0,  1
31,"Node 31", 15.00, 0.00, 37.00, 0.00, 0.00,  0,  1
32,"Node 32", 11.00, 0.00, 41.00, 0.00, 0.00,  0,  1
33,"Node 33", 11.00, 0.00, 41.00, 0.00, 0.00,  0,  1
34,"Node 34", 11.00, 0.00, 41.00, 0.00, 0.00,  0,  1
35,"Node 35", 9.00, 0.00, 43.00, 0.00, 0.00,  0,  1
36,"Node 36", 6.00, 0.00, 46.00, 0.00, 0.00,  0,  1
37,"Node 37", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
38,"Node 38", 4.00, 0.00, 48.00, 0.00, 0.00,  0,  1
39,"Node 39", 12.00, 0.00, 40.00, 0.00, 0.00,  0,  1
40,"Node 40", 7.00, 0.00, 45.00, 0.00, 0.00,  0,  1
41,"Node 41", 4.00, 0.00, 48.00, 0.00, 0.00,  0,  1
42,"Node 42", 10.00, 0.00, 42.00, 0.00, 0.00,  0,  1
43,"Node 43", 13.00, 0.00, 39.00, 0.00, 0.00,  0,  1
44,"Node 44", 13.00, 0.00, 39.00, 0.00, 0.00,  0,  1
45,"Node 45", 18.00, 0.00, 34.00, 0.00, 0.00,  0,  1
46,"Node 46", 7.00, 0.00, 45.00, 0.00, 0.00,  0,  1
47,"Node 47", 8.00, 0.00, 44.00, 0.00, 0.00,  0,  1
48,"Node 48", 7.00, 0.00, 45.00, 0.00, 0.00,  0,  1
49,"Node 49", 5.00, 0.00, 47.00, 0.00, 0.00,  0,  2
50,"Node 50", 8.00, 0.00, 44.00, 0.00, 0.00,  0,  1
51,"Node 51", 20.00, 0.00, 32.00, 0.00, 0.00,  0,  1
52,"Node 52", 8.00, 0.00, 44.00, 0.00, 0.00,  0,  2
53,"Node 53", 14.00, 0.00, 38.00, 0.00, 0.00,  0,  1
54,"Node 54", 16.00, 0.00, 36.00, 0.00, 0.00,  0,  1
55,"Node 55", 21.00, 0.00, 31.00, 0.00, 0.00,  0,  1
56,"Node 56", 13.00, 0.00, 39.00, 0.00, 0.00,  0,  1
57,"Node 57", 22.00, 0.00, 30.00, 0.00, 0.00,  0,  1
58,"Node 58", 7.00, 0.00, 45.00, 0.00, 0.00,  0,  1
59,"Node 59", 19.00, 0.00, 33.00, 0.00, 0.00,  0,  1
60,"Node 60", 9.00, 0.00, 43.00, 0.00, 0.00,  0,  1
61,"Node 61", 9.00, 0.00, 43.00, 0.00, 0.00,  0,  2
62,"Node 62", 8.00, 0.00, 44.00, 0.00, 0.00,  0,  1
63,"Node 63", 13.00, 0.00, 39.00, 0.00, 0.00,  0,  1
64,"Node 64", 14.00, 0.00, 38.00, 0.00, 0.00,  0,  1
65,"Node 65", 6.00, 0.00, 46.00, 0.00, 0.00,  0,  1
66,"Node 66", 14.00, 0.00, 38.00, 0.00, 0.00,  0,  1
67,"Node 67", 29.00, 0.00, 23.00, 0.00, 0.00,  0,  1
68,"Node 68", 14.00, 0.00, 38.00, 0.00, 0.00,  0,  1
69,"Node 69", 9.00, 0.00, 43.00, 0.00, 0.00,  0,  1
70,"Node 70", 18.00, 0.00, 34.00, 0.00, 0.00,  0,  1
71,"Node 71", 13.00, 0.00, 39.00, 0.00, 0.00,  0,  1
72,"Node 72", 9.00, 0.00, 43.00, 0.00, 0.00,  0,  1
73,"Node 73", 8.00, 0.00, 44.00, 0.00, 0.00,  0,  1
74,"Node 74", 16.00, 0.00, 36.00, 0.00, 0.00,  0,  1
75,"Node 75", 6.00, 0.00, 46.00, 0.00, 0.00,  0,  1
76,"Node 76", 4.00, 0.00, 48.00, 0.00, 0.00,  0,  1
77,"Node 77", 11.00, 0.00, 41.00, 0.00, 0.00,  0,  2
78,"Node 78", 7.00, 0.00, 45.00, 0.00, 0.00,  0,  1
79,"Node 79", 0.00, 0.00, 52.00, 0.00, 0.00,  0,  1
80,"Node 80", 3.00, 0.00, 49.00, 0.00, 0.00,  0,  2
81,"Node 81", 31.00, 0.00, 21.00, 0.00, 0.00,  0,  1
82,"Node 82", 13.00, 0.00, 39.00, 0.00, 0.00,  0,  1
83,"Node 83", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
84,"Node 84", 22.00, 0.00, 30.00, 0.00, 0.00,  0,  1
85,"Node 85", 6.00, 0.00, 46.00, 0.00, 0.00,  0,  1
86,"Node 86", 10.00, 0.00, 42.00, 0.00, 0.00,  0,  1
87,"Node 87", 10.00, 0.00, 42.00, 0.00, 0.00,  0,  1
88,"Node 88", 8.00, 0.00, 44.00, 0.00, 0.00,  0,  1
89,"Node 89", 16.00, 0.00, 36.00, 0.00, 0.00,  0,  1
90,"Node 90", 6.00, 0.00, 46.00, 0.00, 0.00,  0,  1
91,"Node 91", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
92,"Node 92", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
93,"Node 93", 25.00, 0.00, 27.00, 0.00, 0.00,  0,  1
94,"Node 94", 0.00, 0.00, 52.00, 0.00, 0.00,  0,  1
95,"Node 95", 10.00, 0.00, 42.00, 0.00, 0.00,  0,  1
96,"Node 96", 19.00, 0.00, 33.00, 0.00, 0.00,  0,  1
97,"Node 97", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  1
98,"Node 98", 4.00, 0.00, 48.00, 0.00, 0.00,  0,  1
99,"Node 99", 12.00, 0.00, 40.00, 0.00, 0.00,  0,  1
100,"Node 100", 10.00, 0.00, 42.00, 0.00, 0.00,  0,  1
