Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 14.00, 0.00, 38.00, 2491.00, 0.00, 0.00,  0,  1
2,"Node 2", 0.00, 0.00, 0.00, 1546.00, 0.00, 0.00,  0,  0
3,"Node 3", 7.00, 0.00, 45.00, 210.00, 0.00, 0.00,  0,  1
4,"Node 4", 19.00, 0.00, 33.00, 433.00, 0.00, 0.00,  0,  2
5,"Node 5", 10.00, 0.00, 42.00, 739.00, 0.00, 0.00,  0,  1
6,"Node 6", 12.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
7,"Node 7", 21.00, 0.00, 31.00, 0.00, 0.00, 0.00,  0,  1
8,"Node 8", 19.00, 0.00, 33.00, 556.00, 0.00, 0.00,  0,  1
9,"Node 9", 15.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  2
10,"Node 10", 12.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
11,"Node 11", 13.00, 0.00, 39.00, 7.00, 0.00, 0.00,  0,  1
12,"Node 12", 14.00, 0.00, 38.00, 21.00, 0.00, 0.00,  0,  1
13,"Node 13", 6.00, 0.00, 46.00, 0.00, 0.00, 0.00,  0,  2
14,"Node 14", 25.00, 0.00, 27.00, 321.00, 0.00, 0.00,  0,  1
15,"Node 15", 10.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  2
16,"Node 16", 12.00, 0.00, 40.00, 509.00, 0.00, 0.00,  0,  1
17,"Node 17", 13.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
18,"Node 18", 17.00, 0.00, 35.00, 12.00, 0.00, 0.00,  0,  1
19,"Node 19", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
20,"Node 20", 6.00, 0.00, 46.00, 2.00, 0.00, 0.00,  0,  2
21,"Node 21", 14.00, 0.00, 38.00, 4.00, 0.00, 0.00,  0,  1
22,"Node 22", 12.00, 0.00, 40.00, 23.00, 0.00, 0.00,  0,  1
23,"Node 23", 9.00, 0.00, 43.00, 0.00, 0.00, 0.00,  0,  1
24,"Node 24", 10.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
25,"Node 25", 7.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
26,"Node 26", 23.00, 0.00, 29.00, 0.00, 0.00, 0.00,  0,  1
27,"Node 27", 17.00, 0.00, 35.00, 0.00, 0.00, 0.00,  0,  2
28,"Node 28", 18.00, 0.00, 34.00, 2.00, 0.00, 0.00,  0,  1
29,"Node 29", 4.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  1
30,"Node 30", 12.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
31,"Node 31", 9.00, 0.00, 43.00, 0.00, 0.00, 0.00,  0,  1
32,"Node 32", 4.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  1
33,"Node 33", 15.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
34,"Node 34", 17.00, 0.00, 35.00, 1.00, 0.00, 0.00,  0,  1
35,"Node 35", 13.00, 0.00, 39.00, 6.00, 0.00, 0.00,  0,  1
36,"Node 36", 16.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  1
37,"Node 37", 14.00, 0.00, 38.00, 5.00, 0.00, 0.00,  0,  1
38,"Node 38", 12.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
39,"Node 39", 8.00, 0.00, 44.00, 0.00, 0.00, 0.00,  0,  1
