Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 17.00, 0.00, 31.00, 4.00, 0.00,  0,  1
2,"Node 2", 10.00, 0.00, 39.00, 3.00, 0.00,  0,  1
3,"Node 3", 7.00, 0.00, 37.00, 8.00, 0.00,  0,  1
4,"Node 4", 9.00, 0.00, 37.00, 6.00, 0.00,  0,  1
5,"Node 5", 12.00, 0.00, 32.00, 8.00, 0.00,  0,  1
6,"Node 6", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
7,"Node 7", 7.00, 0.00, 39.00, 6.00, 0.00,  0,  1
8,"Node 8", 22.00, 0.00, 30.00, 0.00, 0.00,  0,  2
9,"Node 9", 9.00, 0.00, 36.00, 7.00, 0.00,  0,  1
10,"Node 10", 4.00, 0.00, 44.00, 4.00, 0.00,  0,  1
11,"Node 11", 7.00, 0.00, 38.00, 7.00, 0.00,  0,  1
12,"Node 12", 14.00, 0.00, 35.00, 3.00, 0.00,  0,  1
13,"Node 13", 27.00, 0.00, 19.00, 6.00, 0.00,  0,  1
14,"Node 14", 6.00, 0.00, 38.00, 8.00, 0.00,  0,  1
15,"Node 15", 12.00, 0.00, 30.00, 10.00, 0.00,  0,  1
16,"Node 16", 4.00, 0.00, 39.00, 9.00, 0.00,  0,  1
17,"Node 17", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
18,"Node 18", 12.00, 0.00, 29.00, 11.00, 0.00,  0,  1
19,"Node 19", 3.00, 0.00, 44.00, 5.00, 0.00,  0,  1
20,"Node 20", 2.00, 0.00, 42.00, 8.00, 0.00,  0,  1
21,"Node 21", 4.00, 0.00, 40.00, 8.00, 0.00,  0,  2
22,"Node 22", 4.00, 0.00, 40.00, 8.00, 0.00,  0,  1
23,"Node 23", 15.00, 0.00, 32.00, 5.00, 0.00,  0,  1
24,"Node 24", 16.00, 0.00, 26.00, 10.00, 0.00,  0,  1
25,"Node 25", 10.00, 0.00, 34.00, 8.00, 0.00,  0,  1
26,"Node 26", 4.00, 0.00, 41.00, 7.00, 0.00,  0,  1
27,"Node 27", 9.00, 0.00, 37.00, 6.00, 0.00,  0,  1
28,"Node 28", 5.00, 0.00, 32.00, 15.00, 0.00,  0,  1
29,"Node 29", 5.00, 0.00, 39.00, 8.00, 0.00,  0,  1
30,"Node 30", 10.00, 0.00, 40.00, 2.00, 0.00,  0,  1
31,"Node 31", 10.00, 0.00, 29.00, 13.00, 0.00,  0,  1
32,"Node 32", 4.00, 0.00, 40.00, 8.00, 0.00,  0,  1
33,"Node 33", 7.00, 0.00, 40.00, 5.00, 0.00,  0,  1
34,"Node 34", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
35,"Node 35", 15.00, 0.00, 21.00, 16.00, 0.00,  0,  2
36,"Node 36", 7.00, 0.00, 43.00, 2.00, 0.00,  0,  1
37,"Node 37", 5.00, 0.00, 41.00, 6.00, 0.00,  0,  1
38,"Node 38", 17.00, 0.00, 22.00, 13.00, 0.00,  0,  1
39,"Node 39", 11.00, 0.00, 34.00, 7.00, 0.00,  0,  1
40,"Node 40", 4.00, 0.00, 43.00, 5.00, 0.00,  0,  1
41,"Node 41", 5.00, 0.00, 41.00, 6.00, 0.00,  0,  1
42,"Node 42", 12.00, 0.00, 35.00, 5.00, 0.00,  0,  1
43,"Node 43", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
44,"Node 44", 6.00, 0.00, 37.00, 9.00, 0.00,  0,  1
45,"Node 45", 20.00, 0.00, 28.00, 4.00, 0.00,  0,  1
46,"Node 46", 8.00, 0.00, 37.00, 7.00, 0.00,  0,  1
47,"Node 47", 1.00, 0.00, 41.00, 10.00, 0.00,  0,  1
48,"Node 48", 9.00, 0.00, 34.00, 9.00, 0.00,  0,  1
49,"Node 49", 19.00, 0.00, 30.00, 3.00, 0.00,  0,  1
50,"Node 50", 16.00, 0.00, 29.00, 7.00, 0.00,  0,  1
51,"Node 51", 17.00, 0.00, 26.00, 9.00, 0.00,  0,  1
52,"Node 52", 12.00, 0.00, 37.00, 3.00, 0.00,  0,  1
53,"Node 53", 9.00, 0.00, 32.00, 11.00, 0.00,  0,  1
54,"Node 54", 10.00, 0.00, 31.00, 11.00, 0.00,  0,  1
55,"Node 55", 16.00, 0.00, 24.00, 12.00, 0.00,  0,  1
56,"Node 56", 3.00, 0.00, 39.00, 10.00, 0.00,  0,  1
57,"Node 57", 12.00, 0.00, 29.00, 11.00, 0.00,  0,  1
58,"Node 58", 5.00, 0.00, 24.00, 23.00, 0.00,  0,  1
59,"Node 59", 6.00, 0.00, 33.00, 13.00, 0.00,  0,  2
60,"Node 60", 4.00, 0.00, 41.00, 7.00, 0.00,  0,  1
61,"Node 61", 12.00, 0.00, 31.00, 9.00, 0.00,  0,  1
62,"Node 62", 2.00, 0.00, 50.00, 0.00, 0.00,  0,  1
63,"Node 63", 10.00, 0.00, 37.00, 5.00, 0.00,  0,  1
64,"Node 64", 20.00, 0.00, 25.00, 7.00, 0.00,  0,  1
65,"Node 65", 14.00, 0.00, 30.00, 8.00, 0.00,  0,  1
66,"Node 66", 7.00, 0.00, 37.00, 8.00, 0.00,  0,  1
67,"Node 67", 9.00, 0.00, 29.00, 14.00, 0.00,  0,  1
68,"Node 68", 11.00, 0.00, 32.00, 9.00, 0.00,  0,  1
69,"Node 69", 12.00, 0.00, 33.00, 7.00, 0.00,  0,  1
70,"Node 70", 16.00, 0.00, 29.00, 7.00, 0.00,  0,  1
71,"Node 71", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
72,"Node 72", 13.00, 0.00, 33.00, 6.00, 0.00,  0,  1
73,"Node 73", 3.00, 0.00, 47.00, 2.00, 0.00,  0,  1
74,"Node 74", 20.00, 0.00, 24.00, 8.00, 0.00,  0,  1
75,"Node 75", 6.00, 0.00, 39.00, 7.00, 0.00,  0,  1
76,"Node 76", 5.00, 0.00, 42.00, 5.00, 0.00,  0,  1
77,"Node 77", 5.00, 0.00, 41.00, 6.00, 0.00,  0,  1
78,"Node 78", 10.00, 0.00, 38.00, 4.00, 0.00,  0,  1
79,"Node 79", 5.00, 0.00, 35.00, 12.00, 0.00,  0,  1
80,"Node 80", 5.00, 0.00, 35.00, 12.00, 0.00,  0,  1
81,"Node 81", 7.00, 0.00, 42.00, 3.00, 0.00,  0,  1
82,"Node 82", 1.00, 0.00, 51.00, 0.00, 0.00,  0,  1
83,"Node 83", 19.00, 0.00, 26.00, 7.00, 0.00,  0,  1
84,"Node 84", 16.00, 0.00, 36.00, 0.00, 0.00,  0,  1
