Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 12.00, 0.00, 37.00, 2517.00, 0.00, 0.00,  0,  1
2,"Node 2", 19.00, 0.00, 31.00, 106.00, 0.00, 0.00,  0,  1
3,"Node 3", 10.00, 0.00, 42.00, 1309.00, 0.00, 0.00,  0,  1
4,"Node 4", 0.00, 0.00, 0.00, 740.00, 0.00, 0.00,  0,  0
5,"Node 5", 20.00, 0.00, 32.00, 40.00, 0.00, 0.00,  0,  2
6,"Node 6", 20.00, 0.00, 30.00, 516.00, 0.00, 0.00,  0,  1
7,"Node 7", 11.00, 0.00, 39.00, 503.00, 0.00, 0.00,  0,  1
8,"Node 8", 8.00, 0.00, 40.00, 294.00, 0.00, 0.00,  0,  1
9,"Node 9", 18.00, 0.00, 31.00, 0.00, 0.00, 0.00,  0,  1
10,"Node 10", 4.00, 0.00, 46.00, 0.00, 0.00, 0.00,  0,  1
11,"Node 11", 12.00, 0.00, 37.00, 114.00, 0.00, 0.00,  0,  1
12,"Node 12", 9.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
13,"Node 13", 3.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  1
14,"Node 14", 4.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
15,"Node 15", 4.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
16,"Node 16", 11.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
17,"Node 17", 23.00, 0.00, 22.00, 1.00, 0.00, 0.00,  0,  2
18,"Node 18", 7.00, 0.00, 44.00, 8.00, 0.00, 0.00,  0,  1
19,"Node 19", 4.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
20,"Node 20", 17.00, 0.00, 31.00, 0.00, 0.00, 0.00,  0,  1
21,"Node 21", 20.00, 0.00, 29.00, 169.00, 0.00, 0.00,  0,  1
22,"Node 22", 9.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
23,"Node 23", 12.00, 0.00, 35.00, 158.00, 0.00, 0.00,  0,  1
24,"Node 24", 5.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
25,"Node 25", 16.00, 0.00, 34.00, 0.00, 0.00, 0.00,  0,  1
26,"Node 26", 15.00, 0.00, 35.00, 0.00, 0.00, 0.00,  0,  1
27,"Node 27", 5.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
28,"Node 28", 2.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  1
29,"Node 29", 7.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
30,"Node 30", 5.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
31,"Node 31", 0.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
32,"Node 32", 4.00, 0.00, 43.00, 0.00, 0.00, 0.00,  0,  1
33,"Node 33", 15.00, 0.00, 34.00, 138.00, 0.00, 0.00,  0,  1
34,"Node 34", 8.00, 0.00, 44.00, 0.00, 0.00, 0.00,  0,  1
35,"Node 35", 10.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
36,"Node 36", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
37,"Node 37", 3.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  2
38,"Node 38", 8.00, 0.00, 43.00, 0.00, 0.00, 0.00,  0,  1
39,"Node 39", 1.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  1
40,"Node 40", 7.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
41,"Node 41", 8.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
42,"Node 42", 22.00, 0.00, 25.00, 0.00, 0.00, 0.00,  0,  1
43,"Node 43", 11.00, 0.00, 38.00, 29.00, 0.00, 0.00,  0,  1
44,"Node 44", 12.00, 0.00, 34.00, 0.00, 0.00, 0.00,  0,  1
45,"Node 45", 26.00, 0.00, 22.00, 37.00, 0.00, 0.00,  0,  1
46,"Node 46", 4.00, 0.00, 46.00, 0.00, 0.00, 0.00,  0,  1
47,"Node 47", 4.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
48,"Node 48", 9.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
49,"Node 49", 11.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
50,"Node 50", 27.00, 0.00, 23.00, 3.00, 0.00, 0.00,  0,  1
51,"Node 51", 8.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
52,"Node 52", 20.00, 0.00, 31.00, 23.00, 0.00, 0.00,  0,  1
53,"Node 53", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
54,"Node 54", 3.00, 0.00, 44.00, 0.00, 0.00, 0.00,  0,  1
55,"Node 55", 4.00, 0.00, 43.00, 0.00, 0.00, 0.00,  0,  2
56,"Node 56", 5.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
57,"Node 57", 17.00, 0.00, 32.00, 0.00, 0.00, 0.00,  0,  1
58,"Node 58", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 52,  2
59,"Node 59", 45.00, 0.00, 1.00, 0.00, 0.00, 0.00,  0,  1
60,"Node 60", 6.00, 0.00, 43.00, 0.00, 0.00, 0.00,  0,  1
61,"Node 61", 7.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
62,"Node 62", 4.00, 0.00, 46.00, 2.00, 0.00, 0.00,  0,  1
63,"Node 63", 4.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
64,"Node 64", 12.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
65,"Node 65", 16.00, 0.00, 33.00, 5.00, 0.00, 0.00,  0,  1
66,"Node 66", 9.00, 0.00, 41.00, 2.00, 0.00, 0.00,  0,  1
67,"Node 67", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
68,"Node 68", 8.00, 0.00, 42.00, 73.00, 0.00, 0.00,  0,  1
69,"Node 69", 15.00, 0.00, 34.00, 0.00, 0.00, 0.00,  0,  1
70,"Node 70", 9.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
71,"Node 71", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
72,"Node 72", 10.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
73,"Node 73", 14.00, 0.00, 38.00, 3.00, 0.00, 0.00,  0,  1
74,"Node 74", 10.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
75,"Node 75", 9.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
76,"Node 76", 6.00, 0.00, 43.00, 0.00, 0.00, 0.00,  0,  1
77,"Node 77", 7.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
78,"Node 78", 14.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
79,"Node 79", 3.00, 0.00, 44.00, 0.00, 0.00, 0.00,  0,  1
80,"Node 80", 10.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
81,"Node 81", 11.00, 0.00, 38.00, 3.00, 0.00, 0.00,  0,  1
82,"Node 82", 0.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
83,"Node 83", 26.00, 0.00, 21.00, 6.00, 0.00, 0.00,  0,  1
84,"Node 84", 10.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
85,"Node 85", 1.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  1
86,"Node 86", 19.00, 0.00, 30.00, 0.00, 0.00, 0.00,  0,  1
87,"Node 87", 6.00, 0.00, 44.00, 0.00, 0.00, 0.00,  0,  1
88,"Node 88", 19.00, 0.00, 30.00, 17.00, 0.00, 0.00,  0,  1
89,"Node 89", 9.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
90,"Node 90", 5.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
91,"Node 91", 13.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
92,"Node 92", 9.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
93,"Node 93", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
94,"Node 94", 28.00, 0.00, 21.00, 0.00, 0.00, 0.00,  0,  1
95,"Node 95", 9.00, 0.00, 40.00, 1.00, 0.00, 0.00,  0,  1
96,"Node 96", 21.00, 0.00, 30.00, 0.00, 0.00, 0.00,  0,  1
97,"Node 97", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
98,"Node 98", 3.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
99,"Node 99", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
100,"Node 100", 9.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
