Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 12.00, 0.00, 40.00, 0.00, 0.00,  0,  1
2,"Node 2", 25.00, 0.00, 27.00, 0.00, 0.00,  0,  2
3,"Node 3", 14.00, 0.00, 38.00, 0.00, 0.00,  0,  1
4,"Node 4", 10.00, 0.00, 42.00, 0.00, 0.00,  0,  1
5,"Node 5", 18.00, 0.00, 34.00, 0.00, 0.00,  0,  1
6,"Node 6", 23.00, 0.00, 29.00, 0.00, 0.00,  0,  1
7,"Node 7", 15.00, 0.00, 37.00, 0.00, 0.00,  0,  1
8,"Node 8", 14.00, 0.00, 38.00, 0.00, 0.00,  0,  1
9,"Node 9", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
10,"Node 10", 13.00, 0.00, 39.00, 0.00, 0.00,  0,  2
11,"Node 11", 22.00, 0.00, 30.00, 0.00, 0.00,  0,  1
12,"Node 12", 14.00, 0.00, 38.00, 0.00, 0.00,  0,  1
13,"Node 13", 15.00, 0.00, 37.00, 0.00, 0.00,  0,  1
14,"Node 14", 14.00, 0.00, 38.00, 0.00, 0.00,  0,  1
15,"Node 15", 13.00, 0.00, 39.00, 0.00, 0.00,  0,  1
16,"Node 16", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
17,"Node 17", 28.00, 0.00, 24.00, 0.00, 0.00,  0,  1
18,"Node 18", 20.00, 0.00, 32.00, 0.00, 0.00,  0,  1
19,"Node 19", 17.00, 0.00, 35.00, 0.00, 0.00,  0,  1
20,"Node 20", 26.00, 0.00, 26.00, 0.00, 0.00,  0,  1
21,"Node 21", 17.00, 0.00, 35.00, 0.00, 0.00,  0,  1
22,"Node 22", 13.00, 0.00, 39.00, 0.00, 0.00,  0,  1
23,"Node 23", 19.00, 0.00, 33.00, 0.00, 0.00,  0,  2
24,"Node 24", 12.00, 0.00, 40.00, 0.00, 0.00,  0,  1
25,"Node 25", 25.00, 0.00, 27.00, 0.00, 0.00,  0,  1
26,"Node 26", 18.00, 0.00, 34.00, 0.00, 0.00,  0,  2
27,"Node 27", 21.00, 0.00, 31.00, 0.00, 0.00,  0,  1
28,"Node 28", 17.00, 0.00, 35.00, 0.00, 0.00,  0,  1
29,"Node 29", 6.00, 0.00, 46.00, 0.00, 0.00,  0,  1
30,"Node 30", 8.00, 0.00, 44.00, 0.00, 0.00,  0,  1
31,"Node 31", 17.00, 0.00, 35.00, 0.00, 0.00,  0,  2
32,"Node 32", 11.00, 0.00, 41.00, 0.00, 0.00,  0,  1
33,"Node 33", 21.00, 0.00, 31.00, 0.00, 0.00,  0,  2
34,"Node 34", 12.00, 0.00, 40.00, 0.00, 0.00,  0,  1
35,"Node 35", 10.00, 0.00, 42.00, 0.00, 0.00,  0,  1
36,"Node 36", 5.00, 0.00, 47.00, 0.00, 0.00,  0,  1
37,"Node 37", 5.00, 0.00, 47.00, 0.00, 0.00,  0,  1
38,"Node 38", 21.00, 0.00, 31.00, 0.00, 0.00,  0,  1
39,"Node 39", 8.00, 0.00, 44.00, 0.00, 0.00,  0,  1
40,"Node 40", 9.00, 0.00, 43.00, 0.00, 0.00,  0,  1
41,"Node 41", 5.00, 0.00, 47.00, 0.00, 0.00,  0,  1
42,"Node 42", 10.00, 0.00, 42.00, 0.00, 0.00,  0,  1
43,"Node 43", 28.00, 0.00, 24.00, 0.00, 0.00,  0,  1
44,"Node 44", 17.00, 0.00, 35.00, 0.00, 0.00,  0,  1
45,"Node 45", 16.00, 0.00, 36.00, 0.00, 0.00,  0,  1
46,"Node 46", 8.00, 0.00, 44.00, 0.00, 0.00,  0,  1
47,"Node 47", 18.00, 0.00, 34.00, 0.00, 0.00,  0,  1
48,"Node 48", 13.00, 0.00, 39.00, 0.00, 0.00,  0,  2
49,"Node 49", 14.00, 0.00, 38.00, 0.00, 0.00,  0,  1
50,"Node 50", 24.00, 0.00, 28.00, 0.00, 0.00,  0,  1
51,"Node 51", 20.00, 0.00, 32.00, 0.00, 0.00,  0,  1
52,"Node 52", 31.00, 0.00, 21.00, 0.00, 0.00,  0,  1
53,"Node 53", 25.00, 0.00, 27.00, 0.00, 0.00,  0,  1
54,"Node 54", 16.00, 0.00, 36.00, 0.00, 0.00,  0,  2
55,"Node 55", 17.00, 0.00, 35.00, 0.00, 0.00,  0,  1
56,"Node 56", 13.00, 0.00, 39.00, 0.00, 0.00,  0,  1
57,"Node 57", 9.00, 0.00, 43.00, 0.00, 0.00,  0,  2
58,"Node 58", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  1
59,"Node 59", 28.00, 0.00, 24.00, 0.00, 0.00,  0,  1
60,"Node 60", 7.00, 0.00, 45.00, 0.00, 0.00,  0,  1
61,"Node 61", 19.00, 0.00, 33.00, 0.00, 0.00,  0,  1
62,"Node 62", 8.00, 0.00, 44.00, 0.00, 0.00,  0,  1
63,"Node 63", 10.00, 0.00, 42.00, 0.00, 0.00,  0,  1
64,"Node 64", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
65,"Node 65", 12.00, 0.00, 40.00, 0.00, 0.00,  0,  1
66,"Node 66", 13.00, 0.00, 39.00, 0.00, 0.00,  0,  1
67,"Node 67", 29.00, 0.00, 23.00, 0.00, 0.00,  0,  2
68,"Node 68", 11.00, 0.00, 41.00, 0.00, 0.00,  0,  1
69,"Node 69", 14.00, 0.00, 38.00, 0.00, 0.00,  0,  1
70,"Node 70", 16.00, 0.00, 36.00, 0.00, 0.00,  0,  1
71,"Node 71", 25.00, 0.00, 27.00, 0.00, 0.00,  0,  1
72,"Node 72", 8.00, 0.00, 44.00, 0.00, 0.00,  0,  1
73,"Node 73", 25.00, 0.00, 27.00, 0.00, 0.00,  0,  1
74,"Node 74", 24.00, 0.00, 28.00, 0.00, 0.00,  0,  1
75,"Node 75", 31.00, 0.00, 21.00, 0.00, 0.00,  0,  1
76,"Node 76", 9.00, 0.00, 43.00, 0.00, 0.00,  0,  1
77,"Node 77", 23.00, 0.00, 29.00, 0.00, 0.00,  0,  1
78,"Node 78", 33.00, 0.00, 19.00, 0.00, 0.00,  0,  1
79,"Node 79", 11.00, 0.00, 41.00, 0.00, 0.00,  0,  2
80,"Node 80", 24.00, 0.00, 28.00, 0.00, 0.00,  0,  2
81,"Node 81", 11.00, 0.00, 41.00, 0.00, 0.00,  0,  2
82,"Node 82", 26.00, 0.00, 26.00, 0.00, 0.00,  0,  1
83,"Node 83", 22.00, 0.00, 30.00, 0.00, 0.00,  0,  1
84,"Node 84", 16.00, 0.00, 36.00, 0.00, 0.00,  0,  1
85,"Node 85", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
86,"Node 86", 16.00, 0.00, 36.00, 0.00, 0.00,  0,  1
87,"Node 87", 12.00, 0.00, 40.00, 0.00, 0.00,  0,  1
88,"Node 88", 19.00, 0.00, 33.00, 0.00, 0.00,  0,  2
89,"Node 89", 14.00, 0.00, 38.00, 0.00, 0.00,  0,  1
90,"Node 90", 10.00, 0.00, 42.00, 0.00, 0.00,  0,  1
91,"Node 91", 33.00, 0.00, 19.00, 0.00, 0.00,  0,  1
92,"Node 92", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
93,"Node 93", 18.00, 0.00, 34.00, 0.00, 0.00,  0,  1
94,"Node 94", 5.00, 0.00, 47.00, 0.00, 0.00,  0,  1
95,"Node 95", 5.00, 0.00, 47.00, 0.00, 0.00,  0,  1
96,"Node 96", 27.00, 0.00, 25.00, 0.00, 0.00,  0,  1
97,"Node 97", 26.00, 0.00, 26.00, 0.00, 0.00,  0,  1
98,"Node 98", 14.00, 0.00, 38.00, 0.00, 0.00,  0,  1
99,"Node 99", 30.00, 0.00, 22.00, 0.00, 0.00,  0,  1
100,"Node 100", 6.00, 0.00, 46.00, 0.00, 0.00,  0,  1
