Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 15.00, 0.00, 37.00, 0.00, 0.00,  0,  1
2,"Node 2", 23.00, 0.00, 29.00, 0.00, 0.00,  0,  1
3,"Node 3", 19.00, 0.00, 33.00, 0.00, 0.00,  0,  1
4,"Node 4", 15.00, 0.00, 37.00, 0.00, 0.00,  0,  1
5,"Node 5", 21.00, 0.00, 31.00, 0.00, 0.00,  0,  2
6,"Node 6", 19.00, 0.00, 33.00, 0.00, 0.00,  0,  1
7,"Node 7", 15.00, 0.00, 37.00, 0.00, 0.00,  0,  1
8,"Node 8", 18.00, 0.00, 34.00, 0.00, 0.00,  0,  1
9,"Node 9", 17.00, 0.00, 35.00, 0.00, 0.00,  0,  1
10,"Node 10", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
11,"Node 11", 18.00, 0.00, 34.00, 0.00, 0.00,  0,  1
12,"Node 12", 22.00, 0.00, 30.00, 0.00, 0.00,  0,  2
13,"Node 13", 20.00, 0.00, 32.00, 0.00, 0.00,  0,  1
14,"Node 14", 19.00, 0.00, 33.00, 0.00, 0.00,  0,  2
15,"Node 15", 9.00, 0.00, 43.00, 0.00, 0.00,  0,  1
16,"Node 16", 10.00, 0.00, 42.00, 0.00, 0.00,  0,  1
17,"Node 17", 17.00, 0.00, 35.00, 0.00, 0.00,  0,  2
18,"Node 18", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
19,"Node 19", 17.00, 0.00, 35.00, 0.00, 0.00,  0,  1
20,"Node 20", 15.00, 0.00, 37.00, 0.00, 0.00,  0,  1
21,"Node 21", 20.00, 0.00, 32.00, 0.00, 0.00,  0,  1
22,"Node 22", 25.00, 0.00, 27.00, 0.00, 0.00,  0,  2
23,"Node 23", 18.00, 0.00, 34.00, 0.00, 0.00,  0,  1
24,"Node 24", 10.00, 0.00, 42.00, 0.00, 0.00,  0,  1
25,"Node 25", 27.00, 0.00, 25.00, 0.00, 0.00,  0,  2
26,"Node 26", 11.00, 0.00, 41.00, 0.00, 0.00,  0,  2
27,"Node 27", 11.00, 0.00, 41.00, 0.00, 0.00,  0,  1
28,"Node 28", 14.00, 0.00, 38.00, 0.00, 0.00,  0,  1
29,"Node 29", 23.00, 0.00, 29.00, 0.00, 0.00,  0,  1
30,"Node 30", 10.00, 0.00, 42.00, 0.00, 0.00,  0,  1
31,"Node 31", 20.00, 0.00, 32.00, 0.00, 0.00,  0,  1
32,"Node 32", 17.00, 0.00, 35.00, 0.00, 0.00,  0,  1
33,"Node 33", 17.00, 0.00, 35.00, 0.00, 0.00,  0,  1
34,"Node 34", 16.00, 0.00, 36.00, 0.00, 0.00,  0,  1
35,"Node 35", 32.00, 0.00, 20.00, 0.00, 0.00,  0,  2
36,"Node 36", 12.00, 0.00, 40.00, 0.00, 0.00,  0,  1
37,"Node 37", 6.00, 0.00, 46.00, 0.00, 0.00,  0,  2
38,"Node 38", 11.00, 0.00, 41.00, 0.00, 0.00,  0,  1
39,"Node 39", 19.00, 0.00, 33.00, 0.00, 0.00,  0,  1
40,"Node 40", 14.00, 0.00, 38.00, 0.00, 0.00,  0,  1
41,"Node 41", 14.00, 0.00, 38.00, 0.00, 0.00,  0,  2
42,"Node 42", 11.00, 0.00, 41.00, 0.00, 0.00,  0,  1
43,"Node 43", 16.00, 0.00, 36.00, 0.00, 0.00,  0,  1
44,"Node 44", 14.00, 0.00, 38.00, 0.00, 0.00,  0,  1
45,"Node 45", 16.00, 0.00, 36.00, 0.00, 0.00,  0,  1
46,"Node 46", 14.00, 0.00, 38.00, 0.00, 0.00,  0,  1
47,"Node 47", 16.00, 0.00, 36.00, 0.00, 0.00,  0,  1
48,"Node 48", 21.00, 0.00, 31.00, 0.00, 0.00,  0,  1
49,"Node 49", 15.00, 0.00, 37.00, 0.00, 0.00,  0,  1
50,"Node 50", 12.00, 0.00, 40.00, 0.00, 0.00,  0,  1
51,"Node 51", 20.00, 0.00, 32.00, 0.00, 0.00,  0,  2
52,"Node 52", 19.00, 0.00, 33.00, 0.00, 0.00,  0,  1
53,"Node 53", 31.00, 0.00, 21.00, 0.00, 0.00,  0,  1
54,"Node 54", 18.00, 0.00, 34.00, 0.00, 0.00,  0,  1
55,"Node 55", 16.00, 0.00, 36.00, 0.00, 0.00,  0,  1
56,"Node 56", 14.00, 0.00, 38.00, 0.00, 0.00,  0,  2
57,"Node 57", 21.00, 0.00, 31.00, 0.00, 0.00,  0,  1
58,"Node 58", 26.00, 0.00, 26.00, 0.00, 0.00,  0,  1
59,"Node 59", 34.00, 0.00, 18.00, 0.00, 0.00,  0,  1
60,"Node 60", 13.00, 0.00, 39.00, 0.00, 0.00,  0,  1
61,"Node 61", 13.00, 0.00, 39.00, 0.00, 0.00,  0,  1
62,"Node 62", 25.00, 0.00, 27.00, 0.00, 0.00,  0,  2
63,"Node 63", 13.00, 0.00, 39.00, 0.00, 0.00,  0,  2
64,"Node 64", 34.00, 0.00, 18.00, 0.00, 0.00,  0,  2
