Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 14.00, 0.00, 38.00, 2210.00, 0.00, 0.00,  0,  1
2,"Node 2", 28.00, 0.00, 24.00, 163.00, 0.00, 0.00,  0,  1
3,"Node 3", 0.00, 0.00, 0.00, 1134.00, 0.00, 0.00,  0,  0
4,"Node 4", 25.00, 0.00, 27.00, 559.00, 0.00, 0.00,  0,  1
5,"Node 5", 24.00, 0.00, 28.00, 6.00, 0.00, 0.00,  0,  2
6,"Node 6", 27.00, 0.00, 25.00, 164.00, 0.00, 0.00,  0,  1
7,"Node 7", 13.00, 0.00, 39.00, 701.00, 0.00, 0.00,  0,  1
8,"Node 8", 18.00, 0.00, 34.00, 296.00, 0.00, 0.00,  0,  1
9,"Node 9", 23.00, 0.00, 29.00, 4.00, 0.00, 0.00,  0,  1
10,"Node 10", 19.00, 0.00, 33.00, 7.00, 0.00, 0.00,  0,  1
11,"Node 11", 20.00, 0.00, 32.00, 0.00, 0.00, 0.00,  0,  2
12,"Node 12", 21.00, 0.00, 31.00, 5.00, 0.00, 0.00,  0,  1
13,"Node 13", 9.00, 0.00, 43.00, 0.00, 0.00, 0.00,  0,  1
14,"Node 14", 14.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
15,"Node 15", 7.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
16,"Node 16", 18.00, 0.00, 34.00, 1.00, 0.00, 0.00,  0,  2
17,"Node 17", 32.00, 0.00, 20.00, 19.00, 0.00, 0.00,  0,  1
18,"Node 18", 20.00, 0.00, 32.00, 296.00, 0.00, 0.00,  0,  1
19,"Node 19", 11.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
20,"Node 20", 22.00, 0.00, 30.00, 0.00, 0.00, 0.00,  0,  2
21,"Node 21", 31.00, 0.00, 21.00, 0.00, 0.00, 0.00,  0,  1
22,"Node 22", 32.00, 0.00, 20.00, 16.00, 0.00, 0.00,  0,  1
23,"Node 23", 19.00, 0.00, 33.00, 1.00, 0.00, 0.00,  0,  1
24,"Node 24", 14.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
25,"Node 25", 19.00, 0.00, 33.00, 7.00, 0.00, 0.00,  0,  1
26,"Node 26", 24.00, 0.00, 28.00, 0.00, 0.00, 0.00,  0,  1
27,"Node 27", 10.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
28,"Node 28", 12.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  2
29,"Node 29", 15.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
30,"Node 30", 14.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
31,"Node 31", 16.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  1
32,"Node 32", 21.00, 0.00, 31.00, 0.00, 0.00, 0.00,  0,  2
33,"Node 33", 26.00, 0.00, 26.00, 0.00, 0.00, 0.00,  0,  1
34,"Node 34", 16.00, 0.00, 36.00, 1.00, 0.00, 0.00,  0,  2
35,"Node 35", 10.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
36,"Node 36", 9.00, 0.00, 43.00, 0.00, 0.00, 0.00,  0,  1
37,"Node 37", 17.00, 0.00, 35.00, 0.00, 0.00, 0.00,  0,  2
38,"Node 38", 19.00, 0.00, 33.00, 2.00, 0.00, 0.00,  0,  1
39,"Node 39", 12.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
40,"Node 40", 13.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
41,"Node 41", 14.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
42,"Node 42", 15.00, 0.00, 37.00, 1.00, 0.00, 0.00,  0,  2
43,"Node 43", 22.00, 0.00, 30.00, 0.00, 0.00, 0.00,  0,  1
44,"Node 44", 13.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
45,"Node 45", 35.00, 0.00, 17.00, 0.00, 0.00, 0.00,  0,  1
46,"Node 46", 15.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
47,"Node 47", 15.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
48,"Node 48", 16.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  1
49,"Node 49", 17.00, 0.00, 35.00, 0.00, 0.00, 0.00,  0,  1
50,"Node 50", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
51,"Node 51", 16.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  1
52,"Node 52", 32.00, 0.00, 20.00, 0.00, 0.00, 0.00,  0,  1
