Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 42.00, 0.00, 10.00, 937.00, 0.00, 0.00,  0,  2
2,"Node 2", 26.00, 0.00, 26.00, 456.00, 0.00, 0.00,  0,  1
3,"Node 3", 40.00, 0.00, 12.00, 396.00, 0.00, 0.00,  0,  2
4,"Node 4", 41.00, 0.00, 11.00, 309.00, 0.00, 0.00,  0,  2
5,"Node 5", 42.00, 0.00, 10.00, 3.00, 0.00, 0.00,  0,  2
6,"Node 6", 34.00, 0.00, 18.00, 139.00, 0.00, 0.00,  0,  1
7,"Node 7", 31.00, 0.00, 21.00, 569.00, 0.00, 0.00,  0,  1
8,"Node 8", 44.00, 0.00, 8.00, 102.00, 0.00, 0.00,  0,  2
9,"Node 9", 0.00, 0.00, 0.00, 1.00, 0.00, 0.00,  0,  0
10,"Node 10", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
11,"Node 11", 40.00, 0.00, 12.00, 1.00, 0.00, 0.00,  0,  1
12,"Node 12", 39.00, 0.00, 13.00, 2.00, 0.00, 0.00,  0,  2
13,"Node 13", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
14,"Node 14", 44.00, 0.00, 8.00, 3.00, 0.00, 0.00,  0,  2
15,"Node 15", 36.00, 0.00, 16.00, 0.00, 0.00, 0.00,  0,  2
16,"Node 16", 38.00, 0.00, 14.00, 2.00, 0.00, 0.00,  0,  1
17,"Node 17", 43.00, 0.00, 9.00, 0.00, 0.00, 0.00,  0,  2
18,"Node 18", 42.00, 0.00, 10.00, 19.00, 0.00, 0.00,  0,  2
19,"Node 19", 36.00, 0.00, 16.00, 0.00, 0.00, 0.00,  0,  1
20,"Node 20", 23.00, 0.00, 29.00, 0.00, 0.00, 0.00,  0,  1
21,"Node 21", 39.00, 0.00, 13.00, 60.00, 0.00, 0.00,  0,  1
22,"Node 22", 36.00, 0.00, 16.00, 0.00, 0.00, 0.00,  0,  1
23,"Node 23", 31.00, 0.00, 21.00, 3.00, 0.00, 0.00,  0,  2
24,"Node 24", 35.00, 0.00, 17.00, 0.00, 0.00, 0.00,  0,  2
25,"Node 25", 31.00, 0.00, 21.00, 69.00, 0.00, 0.00,  0,  1
26,"Node 26", 25.00, 0.00, 27.00, 0.00, 0.00, 0.00,  0,  1
27,"Node 27", 36.00, 0.00, 16.00, 0.00, 0.00, 0.00,  0,  1
28,"Node 28", 34.00, 0.00, 18.00, 7.00, 0.00, 0.00,  0,  1
29,"Node 29", 28.00, 0.00, 24.00, 0.00, 0.00, 0.00,  0,  2
30,"Node 30", 38.00, 0.00, 14.00, 1.00, 0.00, 0.00,  0,  2
31,"Node 31", 39.00, 0.00, 13.00, 0.00, 0.00, 0.00,  0,  2
32,"Node 32", 25.00, 0.00, 27.00, 1.00, 0.00, 0.00,  0,  1
33,"Node 33", 34.00, 0.00, 18.00, 0.00, 0.00, 0.00,  0,  2
34,"Node 34", 44.00, 0.00, 8.00, 2.00, 0.00, 0.00,  0,  2
35,"Node 35", 39.00, 0.00, 13.00, 0.00, 0.00, 0.00,  0,  2
36,"Node 36", 34.00, 0.00, 18.00, 0.00, 0.00, 0.00,  0,  1
37,"Node 37", 38.00, 0.00, 14.00, 0.00, 0.00, 0.00,  0,  2
38,"Node 38", 39.00, 0.00, 13.00, 0.00, 0.00, 0.00,  0,  1
39,"Node 39", 39.00, 0.00, 13.00, 0.00, 0.00, 0.00,  0,  1
40,"Node 40", 30.00, 0.00, 22.00, 0.00, 0.00, 0.00,  0,  1
41,"Node 41", 32.00, 0.00, 20.00, 0.00, 0.00, 0.00,  0,  1
42,"Node 42", 41.00, 0.00, 11.00, 0.00, 0.00, 0.00,  0,  2
43,"Node 43", 36.00, 0.00, 16.00, 0.00, 0.00, 0.00,  0,  1
44,"Node 44", 32.00, 0.00, 20.00, 0.00, 0.00, 0.00,  0,  1
45,"Node 45", 39.00, 0.00, 13.00, 0.00, 0.00, 0.00,  0,  2
46,"Node 46", 41.00, 0.00, 11.00, 0.00, 0.00, 0.00,  0,  2
47,"Node 47", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
48,"Node 48", 31.00, 0.00, 21.00, 0.00, 0.00, 0.00,  0,  1
49,"Node 49", 38.00, 0.00, 14.00, 1.00, 0.00, 0.00,  0,  1
50,"Node 50", 29.00, 0.00, 23.00, 5.00, 0.00, 0.00,  0,  1
51,"Node 51", 37.00, 0.00, 15.00, 0.00, 0.00, 0.00,  0,  1
52,"Node 52", 34.00, 0.00, 18.00, 0.00, 0.00, 0.00,  0,  1
53,"Node 53", 31.00, 0.00, 21.00, 1.00, 0.00, 0.00,  0,  1
54,"Node 54", 32.00, 0.00, 20.00, 0.00, 0.00, 0.00,  0,  2
55,"Node 55", 29.00, 0.00, 23.00, 3.00, 0.00, 0.00,  0,  1
56,"Node 56", 24.00, 0.00, 28.00, 0.00, 0.00, 0.00,  0,  2
57,"Node 57", 32.00, 0.00, 20.00, 0.00, 0.00, 0.00,  0,  2
58,"Node 58", 44.00, 0.00, 8.00, 0.00, 0.00, 0.00,  0,  2
59,"Node 59", 44.00, 0.00, 8.00, 0.00, 0.00, 0.00,  0,  1
60,"Node 60", 31.00, 0.00, 21.00, 0.00, 0.00, 0.00,  0,  1
61,"Node 61", 45.00, 0.00, 7.00, 0.00, 0.00, 0.00,  0,  2
62,"Node 62", 34.00, 0.00, 18.00, 1.00, 0.00, 0.00,  0,  2
