Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
2,"Node 2", 28.00, 0.00, 24.00, 0.00, 0.00,  0,  1
3,"Node 3", 35.00, 0.00, 17.00, 0.00, 0.00,  0,  2
4,"Node 4", 40.00, 0.00, 12.00, 0.00, 0.00,  0,  2
5,"Node 5", 39.00, 0.00, 13.00, 0.00, 0.00,  0,  2
6,"Node 6", 34.00, 0.00, 18.00, 0.00, 0.00,  0,  1
7,"Node 7", 32.00, 0.00, 20.00, 0.00, 0.00,  0,  1
8,"Node 8", 42.00, 0.00, 10.00, 0.00, 0.00,  0,  2
9,"Node 9", 25.00, 0.00, 27.00, 0.00, 0.00,  0,  1
10,"Node 10", 41.00, 0.00, 11.00, 0.00, 0.00,  0,  2
11,"Node 11", 40.00, 0.00, 12.00, 0.00, 0.00,  0,  2
12,"Node 12", 31.00, 0.00, 21.00, 0.00, 0.00,  0,  1
13,"Node 13", 27.00, 0.00, 25.00, 0.00, 0.00,  0,  1
14,"Node 14", 34.00, 0.00, 18.00, 0.00, 0.00,  0,  1
15,"Node 15", 22.00, 0.00, 30.00, 0.00, 0.00,  0,  1
16,"Node 16", 26.00, 0.00, 26.00, 0.00, 0.00,  0,  2
17,"Node 17", 38.00, 0.00, 14.00, 0.00, 0.00,  0,  2
18,"Node 18", 19.00, 0.00, 33.00, 0.00, 0.00,  0,  1
19,"Node 19", 33.00, 0.00, 19.00, 0.00, 0.00,  0,  2
20,"Node 20", 28.00, 0.00, 24.00, 0.00, 0.00,  0,  2
21,"Node 21", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  2
22,"Node 22", 30.00, 0.00, 22.00, 0.00, 0.00,  0,  2
23,"Node 23", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
24,"Node 24", 31.00, 0.00, 21.00, 0.00, 0.00,  0,  2
25,"Node 25", 21.00, 0.00, 31.00, 0.00, 0.00,  0,  1
26,"Node 26", 28.00, 0.00, 24.00, 0.00, 0.00,  0,  1
