Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 47.00, 0.00, 5.00, 440.00, 0.00, 0.00,  0,  2
2,"Node 2", 45.00, 0.00, 7.00, 7.00, 0.00, 0.00,  0,  2
3,"Node 3", 24.00, 0.00, 28.00, 888.00, 0.00, 0.00,  0,  1
4,"Node 4", 25.00, 0.00, 27.00, 626.00, 0.00, 0.00,  0,  1
5,"Node 5", 41.00, 0.00, 11.00, 23.00, 0.00, 0.00,  0,  2
6,"Node 6", 0.00, 0.00, 0.00, 30.00, 0.00, 0.00,  0,  0
7,"Node 7", 35.00, 0.00, 17.00, 369.00, 0.00, 0.00,  0,  2
8,"Node 8", 47.00, 0.00, 5.00, 50.00, 0.00, 0.00,  0,  2
9,"Node 9", 38.00, 0.00, 14.00, 1.00, 0.00, 0.00,  0,  2
10,"Node 10", 43.00, 0.00, 9.00, 0.00, 0.00, 0.00,  0,  2
11,"Node 11", 40.00, 0.00, 12.00, 1.00, 0.00, 0.00,  0,  2
12,"Node 12", 43.00, 0.00, 9.00, 3.00, 0.00, 0.00,  0,  2
13,"Node 13", 31.00, 0.00, 21.00, 0.00, 0.00, 0.00,  0,  2
14,"Node 14", 39.00, 0.00, 13.00, 7.00, 0.00, 0.00,  0,  2
15,"Node 15", 36.00, 0.00, 16.00, 0.00, 0.00, 0.00,  0,  2
16,"Node 16", 39.00, 0.00, 13.00, 0.00, 0.00, 0.00,  0,  2
17,"Node 17", 47.00, 0.00, 5.00, 1.00, 0.00, 0.00,  0,  2
18,"Node 18", 49.00, 0.00, 3.00, 22.00, 0.00, 0.00,  0,  2
19,"Node 19", 38.00, 0.00, 14.00, 0.00, 0.00, 0.00,  0,  2
20,"Node 20", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
21,"Node 21", 36.00, 0.00, 16.00, 3.00, 0.00, 0.00,  0,  2
22,"Node 22", 43.00, 0.00, 9.00, 4.00, 0.00, 0.00,  0,  2
23,"Node 23", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
24,"Node 24", 41.00, 0.00, 11.00, 0.00, 0.00, 0.00,  0,  2
25,"Node 25", 44.00, 0.00, 8.00, 3.00, 0.00, 0.00,  0,  2
26,"Node 26", 31.00, 0.00, 21.00, 0.00, 0.00, 0.00,  0,  2
27,"Node 27", 45.00, 0.00, 7.00, 0.00, 0.00, 0.00,  0,  2
28,"Node 28", 40.00, 0.00, 12.00, 0.00, 0.00, 0.00,  0,  2
