Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 41.00, 0.00, 11.00, 0.00, 0.00,  0,  2
2,"Node 2", 45.00, 0.00, 7.00, 0.00, 0.00,  0,  2
3,"Node 3", 29.00, 0.00, 23.00, 0.00, 0.00,  0,  1
4,"Node 4", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  2
5,"Node 5", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
6,"Node 6", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
7,"Node 7", 42.00, 0.00, 10.00, 0.00, 0.00,  0,  2
8,"Node 8", 41.00, 0.00, 11.00, 0.00, 0.00,  0,  2
9,"Node 9", 42.00, 0.00, 10.00, 0.00, 0.00,  0,  2
10,"Node 10", 45.00, 0.00, 7.00, 0.00, 0.00,  0,  2
11,"Node 11", 42.00, 0.00, 10.00, 0.00, 0.00,  0,  2
12,"Node 12", 41.00, 0.00, 11.00, 0.00, 0.00,  0,  2
13,"Node 13", 33.00, 0.00, 19.00, 0.00, 0.00,  0,  2
14,"Node 14", 38.00, 0.00, 14.00, 0.00, 0.00,  0,  2
15,"Node 15", 37.00, 0.00, 15.00, 0.00, 0.00,  0,  1
16,"Node 16", 32.00, 0.00, 20.00, 0.00, 0.00,  0,  2
17,"Node 17", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
18,"Node 18", 45.00, 0.00, 7.00, 0.00, 0.00,  0,  2
19,"Node 19", 42.00, 0.00, 10.00, 0.00, 0.00,  0,  1
20,"Node 20", 42.00, 0.00, 10.00, 0.00, 0.00,  0,  2
21,"Node 21", 45.00, 0.00, 7.00, 0.00, 0.00,  0,  2
22,"Node 22", 42.00, 0.00, 10.00, 0.00, 0.00,  0,  2
23,"Node 23", 41.00, 0.00, 11.00, 0.00, 0.00,  0,  2
24,"Node 24", 41.00, 0.00, 11.00, 0.00, 0.00,  0,  2
25,"Node 25", 32.00, 0.00, 20.00, 0.00, 0.00,  0,  1
26,"Node 26", 40.00, 0.00, 12.00, 0.00, 0.00,  0,  2
27,"Node 27", 34.00, 0.00, 18.00, 0.00, 0.00,  0,  1
28,"Node 28", 33.00, 0.00, 19.00, 0.00, 0.00,  0,  2
29,"Node 29", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  1
30,"Node 30", 40.00, 0.00, 12.00, 0.00, 0.00,  0,  1
31,"Node 31", 37.00, 0.00, 15.00, 0.00, 0.00,  0,  1
32,"Node 32", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
33,"Node 33", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
34,"Node 34", 41.00, 0.00, 11.00, 0.00, 0.00,  0,  2
35,"Node 35", 39.00, 0.00, 13.00, 0.00, 0.00,  0,  1
36,"Node 36", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
37,"Node 37", 36.00, 0.00, 16.00, 0.00, 0.00,  0,  2
38,"Node 38", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
39,"Node 39", 39.00, 0.00, 13.00, 0.00, 0.00,  0,  2
40,"Node 40", 42.00, 0.00, 10.00, 0.00, 0.00,  0,  2
41,"Node 41", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
42,"Node 42", 35.00, 0.00, 17.00, 0.00, 0.00,  0,  2
43,"Node 43", 40.00, 0.00, 12.00, 0.00, 0.00,  0,  1
44,"Node 44", 39.00, 0.00, 13.00, 0.00, 0.00,  0,  2
45,"Node 45", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  1
46,"Node 46", 31.00, 0.00, 21.00, 0.00, 0.00,  0,  2
47,"Node 47", 32.00, 0.00, 20.00, 0.00, 0.00,  0,  2
48,"Node 48", 42.00, 0.00, 10.00, 0.00, 0.00,  0,  2
49,"Node 49", 37.00, 0.00, 15.00, 0.00, 0.00,  0,  2
50,"Node 50", 40.00, 0.00, 12.00, 0.00, 0.00,  0,  2
51,"Node 51", 43.00, 0.00, 9.00, 0.00, 0.00,  0,  2
52,"Node 52", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  2
53,"Node 53", 36.00, 0.00, 16.00, 0.00, 0.00,  0,  1
54,"Node 54", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
55,"Node 55", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
56,"Node 56", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
57,"Node 57", 41.00, 0.00, 11.00, 0.00, 0.00,  0,  1
58,"Node 58", 52.00, 0.00, 0.00, 0.00, 0.00,  0,  2
59,"Node 59", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
60,"Node 60", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  2
61,"Node 61", 36.00, 0.00, 16.00, 0.00, 0.00,  0,  2
62,"Node 62", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
63,"Node 63", 43.00, 0.00, 9.00, 0.00, 0.00,  0,  2
64,"Node 64", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
65,"Node 65", 43.00, 0.00, 9.00, 0.00, 0.00,  0,  1
66,"Node 66", 39.00, 0.00, 13.00, 0.00, 0.00,  0,  2
67,"Node 67", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
68,"Node 68", 35.00, 0.00, 17.00, 0.00, 0.00,  0,  2
69,"Node 69", 37.00, 0.00, 15.00, 0.00, 0.00,  0,  2
70,"Node 70", 41.00, 0.00, 11.00, 0.00, 0.00,  0,  1
71,"Node 71", 43.00, 0.00, 9.00, 0.00, 0.00,  0,  2
72,"Node 72", 38.00, 0.00, 14.00, 0.00, 0.00,  0,  1
73,"Node 73", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
74,"Node 74", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
75,"Node 75", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  1
76,"Node 76", 31.00, 0.00, 21.00, 0.00, 0.00,  0,  1
77,"Node 77", 38.00, 0.00, 14.00, 0.00, 0.00,  0,  2
78,"Node 78", 40.00, 0.00, 12.00, 0.00, 0.00,  0,  1
79,"Node 79", 40.00, 0.00, 12.00, 0.00, 0.00,  0,  2
80,"Node 80", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  2
81,"Node 81", 45.00, 0.00, 7.00, 0.00, 0.00,  0,  2
82,"Node 82", 33.00, 0.00, 19.00, 0.00, 0.00,  0,  2
83,"Node 83", 36.00, 0.00, 16.00, 0.00, 0.00,  0,  1
84,"Node 84", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
85,"Node 85", 40.00, 0.00, 12.00, 0.00, 0.00,  0,  2
86,"Node 86", 33.00, 0.00, 19.00, 0.00, 0.00,  0,  2
87,"Node 87", 37.00, 0.00, 15.00, 0.00, 0.00,  0,  1
88,"Node 88", 38.00, 0.00, 14.00, 0.00, 0.00,  0,  2
89,"Node 89", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
90,"Node 90", 27.00, 0.00, 25.00, 0.00, 0.00,  0,  2
91,"Node 91", 42.00, 0.00, 10.00, 0.00, 0.00,  0,  2
