Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 49.00, 0.00, 3.00, 320.00, 0.00, 0.00,  0,  2
2,"Node 2", 50.00, 0.00, 2.00, 8.00, 0.00, 0.00,  0,  2
3,"Node 3", 50.00, 0.00, 2.00, 60.00, 0.00, 0.00,  0,  2
4,"Node 4", 49.00, 0.00, 3.00, 43.00, 0.00, 0.00,  0,  2
5,"Node 5", 49.00, 0.00, 3.00, 9.00, 0.00, 0.00,  0,  2
6,"Node 6", 49.00, 0.00, 3.00, 15.00, 0.00, 0.00,  0,  2
7,"Node 7", 49.00, 0.00, 3.00, 74.00, 0.00, 0.00,  0,  2
8,"Node 8", 50.00, 0.00, 2.00, 49.00, 0.00, 0.00,  0,  2
9,"Node 9", 49.00, 0.00, 3.00, 0.00, 0.00, 0.00,  0,  2
10,"Node 10", 49.00, 0.00, 3.00, 0.00, 0.00, 0.00,  0,  2
11,"Node 11", 51.00, 0.00, 1.00, 3.00, 0.00, 0.00,  0,  2
12,"Node 12", 48.00, 0.00, 4.00, 0.00, 0.00, 0.00,  0,  2
13,"Node 13", 50.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  2
14,"Node 14", 50.00, 0.00, 2.00, 9.00, 0.00, 0.00,  0,  2
15,"Node 15", 48.00, 0.00, 4.00, 0.00, 0.00, 0.00,  0,  2
16,"Node 16", 46.00, 0.00, 6.00, 0.00, 0.00, 0.00,  0,  2
17,"Node 17", 50.00, 0.00, 2.00, 2.00, 0.00, 0.00,  0,  2
18,"Node 18", 49.00, 0.00, 3.00, 19.00, 0.00, 0.00,  0,  2
19,"Node 19", 49.00, 0.00, 3.00, 0.00, 0.00, 0.00,  0,  2
20,"Node 20", 49.00, 0.00, 3.00, 1.00, 0.00, 0.00,  0,  2
21,"Node 21", 49.00, 0.00, 3.00, 4.00, 0.00, 0.00,  0,  2
22,"Node 22", 47.00, 0.00, 5.00, 0.00, 0.00, 0.00,  0,  2
23,"Node 23", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
24,"Node 24", 46.00, 0.00, 6.00, 0.00, 0.00, 0.00,  0,  2
25,"Node 25", 50.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  2
26,"Node 26", 50.00, 0.00, 2.00, 1.00, 0.00, 0.00,  0,  2
27,"Node 27", 44.00, 0.00, 8.00, 0.00, 0.00, 0.00,  0,  2
28,"Node 28", 45.00, 0.00, 7.00, 0.00, 0.00, 0.00,  0,  2
29,"Node 29", 51.00, 0.00, 1.00, 0.00, 0.00, 0.00,  0,  2
30,"Node 30", 46.00, 0.00, 6.00, 0.00, 0.00, 0.00,  0,  2
31,"Node 31", 48.00, 0.00, 4.00, 0.00, 0.00, 0.00,  0,  2
32,"Node 32", 46.00, 0.00, 6.00, 2.00, 0.00, 0.00,  0,  2
33,"Node 33", 50.00, 0.00, 2.00, 5.00, 0.00, 0.00,  0,  2
34,"Node 34", 48.00, 0.00, 4.00, 3.00, 0.00, 0.00,  0,  2
35,"Node 35", 49.00, 0.00, 3.00, 0.00, 0.00, 0.00,  0,  2
36,"Node 36", 50.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  2
37,"Node 37", 47.00, 0.00, 5.00, 0.00, 0.00, 0.00,  0,  2
38,"Node 38", 50.00, 0.00, 2.00, 1.00, 0.00, 0.00,  0,  2
39,"Node 39", 47.00, 0.00, 5.00, 0.00, 0.00, 0.00,  0,  2
40,"Node 40", 49.00, 0.00, 3.00, 0.00, 0.00, 0.00,  0,  2
41,"Node 41", 43.00, 0.00, 9.00, 0.00, 0.00, 0.00,  0,  2
42,"Node 42", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
43,"Node 43", 46.00, 0.00, 6.00, 0.00, 0.00, 0.00,  0,  2
44,"Node 44", 50.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  2
45,"Node 45", 47.00, 0.00, 5.00, 0.00, 0.00, 0.00,  0,  2
46,"Node 46", 48.00, 0.00, 4.00, 0.00, 0.00, 0.00,  0,  2
47,"Node 47", 49.00, 0.00, 3.00, 0.00, 0.00, 0.00,  0,  2
48,"Node 48", 50.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  2
49,"Node 49", 48.00, 0.00, 4.00, 0.00, 0.00, 0.00,  0,  2
50,"Node 50", 51.00, 0.00, 1.00, 1.00, 0.00, 0.00,  0,  2
51,"Node 51", 48.00, 0.00, 4.00, 2.00, 0.00, 0.00,  0,  2
52,"Node 52", 51.00, 0.00, 1.00, 2.00, 0.00, 0.00,  0,  2
