Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
2,"Node 2", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
3,"Node 3", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  2
4,"Node 4", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
5,"Node 5", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
6,"Node 6", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
7,"Node 7", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
8,"Node 8", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
9,"Node 9", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
10,"Node 10", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
11,"Node 11", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
12,"Node 12", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
13,"Node 13", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
14,"Node 14", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
15,"Node 15", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
16,"Node 16", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
17,"Node 17", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
18,"Node 18", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
19,"Node 19", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
20,"Node 20", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
21,"Node 21", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
22,"Node 22", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  2
23,"Node 23", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
24,"Node 24", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
25,"Node 25", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
26,"Node 26", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
27,"Node 27", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
28,"Node 28", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
29,"Node 29", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  2
30,"Node 30", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
31,"Node 31", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
32,"Node 32", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
33,"Node 33", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  2
34,"Node 34", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  2
35,"Node 35", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
36,"Node 36", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  2
37,"Node 37", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
38,"Node 38", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  2
39,"Node 39", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  2
