Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 33.00, 0.00, 19.00, 1623.00, 0.00, 0.00,  0,  1
2,"Node 2", 29.00, 0.00, 23.00, 3445.00, 0.00, 0.00,  0,  1
3,"Node 3", 32.00, 0.00, 20.00, 2824.00, 0.00, 0.00,  0,  1
4,"Node 4", 35.00, 0.00, 17.00, 3306.00, 0.00, 0.00,  0,  1
5,"Node 5", 0.00, 0.00, 0.00, 1861.00, 0.00, 0.00,  0,  0
6,"Node 6", 0.00, 0.00, 0.00, 2134.00, 0.00, 0.00,  0,  0
7,"Node 7", 33.00, 0.00, 19.00, 351.00, 0.00, 0.00,  0,  1
8,"Node 8", 39.00, 0.00, 13.00, 491.00, 0.00, 0.00,  0,  2
9,"Node 9", 0.00, 0.00, 0.00, 1771.00, 0.00, 0.00,  0,  0
10,"Node 10", 37.00, 0.00, 15.00, 9.00, 0.00, 0.00,  0,  1
11,"Node 11", 25.00, 0.00, 27.00, 1247.00, 0.00, 0.00,  0,  1
12,"Node 12", 43.00, 0.00, 9.00, 3.00, 0.00, 0.00,  0,  1
13,"Node 13", 35.00, 0.00, 17.00, 442.00, 0.00, 0.00,  0,  1
14,"Node 14", 28.00, 0.00, 24.00, 1473.00, 0.00, 0.00,  0,  1
15,"Node 15", 34.00, 0.00, 18.00, 1429.00, 0.00, 0.00,  0,  1
16,"Node 16", 31.00, 0.00, 21.00, 46.00, 0.00, 0.00,  0,  1
17,"Node 17", 29.00, 0.00, 23.00, 375.00, 0.00, 0.00,  0,  1
18,"Node 18", 30.00, 0.00, 22.00, 332.00, 0.00, 0.00,  0,  1
19,"Node 19", 39.00, 0.00, 13.00, 27.00, 0.00, 0.00,  0,  1
20,"Node 20", 34.00, 0.00, 18.00, 593.00, 0.00, 0.00,  0,  1
21,"Node 21", 36.00, 0.00, 16.00, 18.00, 0.00, 0.00,  0,  1
22,"Node 22", 32.00, 0.00, 20.00, 599.00, 0.00, 0.00,  0,  1
23,"Node 23", 27.00, 0.00, 25.00, 0.00, 0.00, 0.00,  0,  2
24,"Node 24", 37.00, 0.00, 15.00, 390.00, 0.00, 0.00,  0,  1
25,"Node 25", 38.00, 0.00, 14.00, 0.00, 0.00, 0.00,  0,  2
26,"Node 26", 28.00, 0.00, 24.00, 4.00, 0.00, 0.00,  0,  1
27,"Node 27", 24.00, 0.00, 28.00, 64.00, 0.00, 0.00,  0,  1
28,"Node 28", 24.00, 0.00, 28.00, 0.00, 0.00, 0.00,  0,  1
29,"Node 29", 42.00, 0.00, 10.00, 114.00, 0.00, 0.00,  0,  1
30,"Node 30", 38.00, 0.00, 14.00, 207.00, 0.00, 0.00,  0,  1
31,"Node 31", 0.00, 0.00, 0.00, 67.00, 0.00, 0.00,  0,  0
32,"Node 32", 34.00, 0.00, 18.00, 0.00, 0.00, 0.00,  0,  2
33,"Node 33", 42.00, 0.00, 10.00, 20.00, 0.00, 0.00,  0,  1
34,"Node 34", 26.00, 0.00, 26.00, 0.00, 0.00, 0.00,  0,  2
35,"Node 35", 31.00, 0.00, 21.00, 1.00, 0.00, 0.00,  0,  1
36,"Node 36", 37.00, 0.00, 15.00, 62.00, 0.00, 0.00,  0,  1
37,"Node 37", 26.00, 0.00, 26.00, 0.00, 0.00, 0.00,  0,  1
38,"Node 38", 26.00, 0.00, 26.00, 0.00, 0.00, 0.00,  0,  1
39,"Node 39", 31.00, 0.00, 21.00, 428.00, 0.00, 0.00,  0,  1
40,"Node 40", 35.00, 0.00, 17.00, 124.00, 0.00, 0.00,  0,  1
41,"Node 41", 35.00, 0.00, 17.00, 1.00, 0.00, 0.00,  0,  1
42,"Node 42", 35.00, 0.00, 17.00, 15.00, 0.00, 0.00,  0,  1
43,"Node 43", 38.00, 0.00, 14.00, 18.00, 0.00, 0.00,  0,  1
44,"Node 44", 31.00, 0.00, 21.00, 6.00, 0.00, 0.00,  0,  1
45,"Node 45", 36.00, 0.00, 16.00, 0.00, 0.00, 0.00,  0,  1
46,"Node 46", 37.00, 0.00, 15.00, 0.00, 0.00, 0.00,  0,  2
47,"Node 47", 34.00, 0.00, 18.00, 0.00, 0.00, 0.00,  0,  2
48,"Node 48", 25.00, 0.00, 27.00, 0.00, 0.00, 0.00,  0,  2
49,"Node 49", 34.00, 0.00, 18.00, 0.00, 0.00, 0.00,  0,  2
50,"Node 50", 27.00, 0.00, 25.00, 2.00, 0.00, 0.00,  0,  1
51,"Node 51", 25.00, 0.00, 27.00, 26.00, 0.00, 0.00,  0,  1
52,"Node 52", 35.00, 0.00, 17.00, 22.00, 0.00, 0.00,  0,  1
53,"Node 53", 23.00, 0.00, 29.00, 0.00, 0.00, 0.00,  0,  1
54,"Node 54", 34.00, 0.00, 18.00, 100.00, 0.00, 0.00,  0,  1
55,"Node 55", 25.00, 0.00, 27.00, 1.00, 0.00, 0.00,  0,  1
56,"Node 56", 29.00, 0.00, 23.00, 5.00, 0.00, 0.00,  0,  1
57,"Node 57", 34.00, 0.00, 18.00, 10.00, 0.00, 0.00,  0,  2
58,"Node 58", 37.00, 0.00, 15.00, 233.00, 0.00, 0.00,  0,  1
59,"Node 59", 27.00, 0.00, 25.00, 1.00, 0.00, 0.00,  0,  1
60,"Node 60", 36.00, 0.00, 16.00, 0.00, 0.00, 0.00,  0,  1
61,"Node 61", 33.00, 0.00, 19.00, 7.00, 0.00, 0.00,  0,  1
62,"Node 62", 30.00, 0.00, 22.00, 58.00, 0.00, 0.00,  0,  1
63,"Node 63", 28.00, 0.00, 24.00, 158.00, 0.00, 0.00,  0,  1
64,"Node 64", 31.00, 0.00, 21.00, 16.00, 0.00, 0.00,  0,  1
65,"Node 65", 22.00, 0.00, 30.00, 0.00, 0.00, 0.00,  0,  1
66,"Node 66", 26.00, 0.00, 26.00, 0.00, 0.00, 0.00,  0,  2
67,"Node 67", 26.00, 0.00, 26.00, 3.00, 0.00, 0.00,  0,  1
68,"Node 68", 30.00, 0.00, 22.00, 12.00, 0.00, 0.00,  0,  1
69,"Node 69", 33.00, 0.00, 19.00, 0.00, 0.00, 0.00,  0,  1
70,"Node 70", 30.00, 0.00, 22.00, 0.00, 0.00, 0.00,  0,  1
71,"Node 71", 23.00, 0.00, 29.00, 2.00, 0.00, 0.00,  0,  1
72,"Node 72", 37.00, 0.00, 15.00, 0.00, 0.00, 0.00,  0,  1
73,"Node 73", 34.00, 0.00, 18.00, 8.00, 0.00, 0.00,  0,  1
74,"Node 74", 33.00, 0.00, 19.00, 0.00, 0.00, 0.00,  0,  1
75,"Node 75", 38.00, 0.00, 14.00, 88.00, 0.00, 0.00,  0,  1
76,"Node 76", 38.00, 0.00, 14.00, 21.00, 0.00, 0.00,  0,  1
77,"Node 77", 33.00, 0.00, 19.00, 0.00, 0.00, 0.00,  0,  1
78,"Node 78", 30.00, 0.00, 22.00, 0.00, 0.00, 0.00,  0,  1
79,"Node 79", 33.00, 0.00, 19.00, 7.00, 0.00, 0.00,  0,  1
80,"Node 80", 34.00, 0.00, 18.00, 0.00, 0.00, 0.00,  0,  1
81,"Node 81", 27.00, 0.00, 25.00, 0.00, 0.00, 0.00,  0,  2
82,"Node 82", 27.00, 0.00, 25.00, 0.00, 0.00, 0.00,  0,  2
83,"Node 83", 30.00, 0.00, 22.00, 4.00, 0.00, 0.00,  0,  1
84,"Node 84", 34.00, 0.00, 18.00, 0.00, 0.00, 0.00,  0,  1
85,"Node 85", 32.00, 0.00, 20.00, 0.00, 0.00, 0.00,  0,  1
86,"Node 86", 36.00, 0.00, 16.00, 0.00, 0.00, 0.00,  0,  1
87,"Node 87", 28.00, 0.00, 24.00, 0.00, 0.00, 0.00,  0,  1
88,"Node 88", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
89,"Node 89", 31.00, 0.00, 21.00, 2.00, 0.00, 0.00,  0,  1
90,"Node 90", 31.00, 0.00, 21.00, 0.00, 0.00, 0.00,  0,  1
91,"Node 91", 42.00, 0.00, 10.00, 10.00, 0.00, 0.00,  0,  1
92,"Node 92", 27.00, 0.00, 25.00, 0.00, 0.00, 0.00,  0,  1
93,"Node 93", 27.00, 0.00, 25.00, 0.00, 0.00, 0.00,  0,  1
94,"Node 94", 22.00, 0.00, 30.00, 5.00, 0.00, 0.00,  0,  1
95,"Node 95", 30.00, 0.00, 22.00, 0.00, 0.00, 0.00,  0,  1
