Source,Target,Label,Type
1,2,"Edge 1 to 2","Undirected"
1,3,"Edge 1 to 3","Undirected"
1,4,"Edge 1 to 4","Undirected"
1,5,"Edge 1 to 5","Undirected"
1,6,"Edge 1 to 6","Undirected"
1,7,"Edge 1 to 7","Undirected"
1,8,"Edge 1 to 8","Undirected"
1,9,"Edge 1 to 9","Undirected"
1,10,"Edge 1 to 10","Undirected"
1,11,"Edge 1 to 11","Undirected"
1,12,"Edge 1 to 12","Undirected"
1,13,"Edge 1 to 13","Undirected"
1,14,"Edge 1 to 14","Undirected"
1,16,"Edge 1 to 16","Undirected"
1,27,"Edge 1 to 27","Undirected"
1,28,"Edge 1 to 28","Undirected"
1,45,"Edge 1 to 45","Undirected"
1,46,"Edge 1 to 46","Undirected"
1,50,"Edge 1 to 50","Undirected"
1,51,"Edge 1 to 51","Undirected"
1,59,"Edge 1 to 59","Undirected"
1,64,"Edge 1 to 64","Undirected"
1,73,"Edge 1 to 73","Undirected"
1,77,"Edge 1 to 77","Undirected"
1,78,"Edge 1 to 78","Undirected"
1,85,"Edge 1 to 85","Undirected"
1,90,"Edge 1 to 90","Undirected"
1,98,"Edge 1 to 98","Undirected"
1,100,"Edge 1 to 100","Undirected"
2,1,"Edge 2 to 1","Undirected"
2,3,"Edge 2 to 3","Undirected"
2,4,"Edge 2 to 4","Undirected"
2,5,"Edge 2 to 5","Undirected"
2,6,"Edge 2 to 6","Undirected"
2,7,"Edge 2 to 7","Undirected"
2,8,"Edge 2 to 8","Undirected"
2,9,"Edge 2 to 9","Undirected"
2,10,"Edge 2 to 10","Undirected"
2,12,"Edge 2 to 12","Undirected"
2,25,"Edge 2 to 25","Undirected"
2,28,"Edge 2 to 28","Undirected"
2,29,"Edge 2 to 29","Undirected"
2,35,"Edge 2 to 35","Undirected"
2,37,"Edge 2 to 37","Undirected"
2,38,"Edge 2 to 38","Undirected"
2,40,"Edge 2 to 40","Undirected"
2,42,"Edge 2 to 42","Undirected"
2,48,"Edge 2 to 48","Undirected"
2,49,"Edge 2 to 49","Undirected"
2,52,"Edge 2 to 52","Undirected"
2,55,"Edge 2 to 55","Undirected"
2,56,"Edge 2 to 56","Undirected"
2,61,"Edge 2 to 61","Undirected"
2,64,"Edge 2 to 64","Undirected"
2,65,"Edge 2 to 65","Undirected"
2,66,"Edge 2 to 66","Undirected"
2,67,"Edge 2 to 67","Undirected"
2,69,"Edge 2 to 69","Undirected"
2,70,"Edge 2 to 70","Undirected"
2,73,"Edge 2 to 73","Undirected"
2,77,"Edge 2 to 77","Undirected"
2,81,"Edge 2 to 81","Undirected"
2,83,"Edge 2 to 83","Undirected"
2,90,"Edge 2 to 90","Undirected"
3,1,"Edge 3 to 1","Undirected"
3,2,"Edge 3 to 2","Undirected"
3,4,"Edge 3 to 4","Undirected"
3,5,"Edge 3 to 5","Undirected"
3,6,"Edge 3 to 6","Undirected"
3,7,"Edge 3 to 7","Undirected"
3,8,"Edge 3 to 8","Undirected"
3,9,"Edge 3 to 9","Undirected"
3,10,"Edge 3 to 10","Undirected"
3,11,"Edge 3 to 11","Undirected"
3,12,"Edge 3 to 12","Undirected"
3,13,"Edge 3 to 13","Undirected"
3,14,"Edge 3 to 14","Undirected"
3,16,"Edge 3 to 16","Undirected"
3,17,"Edge 3 to 17","Undirected"
3,19,"Edge 3 to 19","Undirected"
3,20,"Edge 3 to 20","Undirected"
3,24,"Edge 3 to 24","Undirected"
3,25,"Edge 3 to 25","Undirected"
3,26,"Edge 3 to 26","Undirected"
3,30,"Edge 3 to 30","Undirected"
3,32,"Edge 3 to 32","Undirected"
3,33,"Edge 3 to 33","Undirected"
3,37,"Edge 3 to 37","Undirected"
3,38,"Edge 3 to 38","Undirected"
3,39,"Edge 3 to 39","Undirected"
3,40,"Edge 3 to 40","Undirected"
3,51,"Edge 3 to 51","Undirected"
3,53,"Edge 3 to 53","Undirected"
3,54,"Edge 3 to 54","Undirected"
3,58,"Edge 3 to 58","Undirected"
3,62,"Edge 3 to 62","Undirected"
3,64,"Edge 3 to 64","Undirected"
3,66,"Edge 3 to 66","Undirected"
3,86,"Edge 3 to 86","Undirected"
3,87,"Edge 3 to 87","Undirected"
3,89,"Edge 3 to 89","Undirected"
3,93,"Edge 3 to 93","Undirected"
3,100,"Edge 3 to 100","Undirected"
4,1,"Edge 4 to 1","Undirected"
4,2,"Edge 4 to 2","Undirected"
4,3,"Edge 4 to 3","Undirected"
4,5,"Edge 4 to 5","Undirected"
4,6,"Edge 4 to 6","Undirected"
4,7,"Edge 4 to 7","Undirected"
4,8,"Edge 4 to 8","Undirected"
4,9,"Edge 4 to 9","Undirected"
4,10,"Edge 4 to 10","Undirected"
4,12,"Edge 4 to 12","Undirected"
4,14,"Edge 4 to 14","Undirected"
4,15,"Edge 4 to 15","Undirected"
4,16,"Edge 4 to 16","Undirected"
4,17,"Edge 4 to 17","Undirected"
4,18,"Edge 4 to 18","Undirected"
4,19,"Edge 4 to 19","Undirected"
4,20,"Edge 4 to 20","Undirected"
4,21,"Edge 4 to 21","Undirected"
4,24,"Edge 4 to 24","Undirected"
4,25,"Edge 4 to 25","Undirected"
4,28,"Edge 4 to 28","Undirected"
4,29,"Edge 4 to 29","Undirected"
4,30,"Edge 4 to 30","Undirected"
4,31,"Edge 4 to 31","Undirected"
4,35,"Edge 4 to 35","Undirected"
4,36,"Edge 4 to 36","Undirected"
4,39,"Edge 4 to 39","Undirected"
4,40,"Edge 4 to 40","Undirected"
4,43,"Edge 4 to 43","Undirected"
4,54,"Edge 4 to 54","Undirected"
4,60,"Edge 4 to 60","Undirected"
4,66,"Edge 4 to 66","Undirected"
4,67,"Edge 4 to 67","Undirected"
4,69,"Edge 4 to 69","Undirected"
4,70,"Edge 4 to 70","Undirected"
4,72,"Edge 4 to 72","Undirected"
4,74,"Edge 4 to 74","Undirected"
4,78,"Edge 4 to 78","Undirected"
4,85,"Edge 4 to 85","Undirected"
4,87,"Edge 4 to 87","Undirected"
4,95,"Edge 4 to 95","Undirected"
4,96,"Edge 4 to 96","Undirected"
4,97,"Edge 4 to 97","Undirected"
5,1,"Edge 5 to 1","Undirected"
5,2,"Edge 5 to 2","Undirected"
5,3,"Edge 5 to 3","Undirected"
5,4,"Edge 5 to 4","Undirected"
5,6,"Edge 5 to 6","Undirected"
5,7,"Edge 5 to 7","Undirected"
5,8,"Edge 5 to 8","Undirected"
5,9,"Edge 5 to 9","Undirected"
5,10,"Edge 5 to 10","Undirected"
5,11,"Edge 5 to 11","Undirected"
5,15,"Edge 5 to 15","Undirected"
