Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 0.00, 0.00, 0.00, 2070.00, 0.00, 0.00,  0,  0
2,"Node 2", 21.00, 0.00, 31.00, 5428.00, 0.00, 0.00,  0,  1
3,"Node 3", 24.00, 0.00, 28.00, 3624.00, 0.00, 0.00,  0,  1
4,"Node 4", 25.00, 0.00, 27.00, 4094.00, 0.00, 0.00,  0,  1
5,"Node 5", 22.00, 0.00, 30.00, 124.00, 0.00, 0.00,  0,  1
6,"Node 6", 17.00, 0.00, 35.00, 4120.00, 0.00, 0.00,  0,  1
7,"Node 7", 24.00, 0.00, 28.00, 5.00, 0.00, 0.00,  0,  1
8,"Node 8", 22.00, 0.00, 30.00, 1650.00, 0.00, 0.00,  0,  1
9,"Node 9", 32.00, 0.00, 20.00, 23.00, 0.00, 0.00,  0,  1
10,"Node 10", 12.00, 0.00, 40.00, 22.00, 0.00, 0.00,  0,  1
11,"Node 11", 21.00, 0.00, 31.00, 2157.00, 0.00, 0.00,  0,  1
12,"Node 12", 20.00, 0.00, 32.00, 1.00, 0.00, 0.00,  0,  1
13,"Node 13", 23.00, 0.00, 29.00, 2245.00, 0.00, 0.00,  0,  1
14,"Node 14", 18.00, 0.00, 34.00, 1513.00, 0.00, 0.00,  0,  1
15,"Node 15", 15.00, 0.00, 37.00, 1127.00, 0.00, 0.00,  0,  1
16,"Node 16", 20.00, 0.00, 32.00, 13.00, 0.00, 0.00,  0,  1
17,"Node 17", 22.00, 0.00, 30.00, 1242.00, 0.00, 0.00,  0,  1
18,"Node 18", 22.00, 0.00, 30.00, 629.00, 0.00, 0.00,  0,  1
19,"Node 19", 18.00, 0.00, 34.00, 5.00, 0.00, 0.00,  0,  1
20,"Node 20", 18.00, 0.00, 34.00, 24.00, 0.00, 0.00,  0,  1
21,"Node 21", 21.00, 0.00, 31.00, 0.00, 0.00, 0.00,  0,  1
22,"Node 22", 23.00, 0.00, 29.00, 705.00, 0.00, 0.00,  0,  1
23,"Node 23", 7.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
24,"Node 24", 21.00, 0.00, 31.00, 1458.00, 0.00, 0.00,  0,  1
25,"Node 25", 23.00, 0.00, 29.00, 0.00, 0.00, 0.00,  0,  1
26,"Node 26", 22.00, 0.00, 30.00, 0.00, 0.00, 0.00,  0,  1
27,"Node 27", 13.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  2
28,"Node 28", 13.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
29,"Node 29", 19.00, 0.00, 33.00, 3.00, 0.00, 0.00,  0,  1
30,"Node 30", 23.00, 0.00, 29.00, 699.00, 0.00, 0.00,  0,  1
31,"Node 31", 21.00, 0.00, 31.00, 0.00, 0.00, 0.00,  0,  1
32,"Node 32", 18.00, 0.00, 34.00, 30.00, 0.00, 0.00,  0,  1
33,"Node 33", 0.00, 0.00, 0.00, 564.00, 0.00, 0.00,  0,  0
34,"Node 34", 12.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
35,"Node 35", 11.00, 0.00, 41.00, 2.00, 0.00, 0.00,  0,  1
36,"Node 36", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
37,"Node 37", 18.00, 0.00, 34.00, 0.00, 0.00, 0.00,  0,  1
38,"Node 38", 17.00, 0.00, 35.00, 0.00, 0.00, 0.00,  0,  1
39,"Node 39", 20.00, 0.00, 32.00, 291.00, 0.00, 0.00,  0,  1
40,"Node 40", 24.00, 0.00, 28.00, 8.00, 0.00, 0.00,  0,  1
41,"Node 41", 16.00, 0.00, 36.00, 12.00, 0.00, 0.00,  0,  1
42,"Node 42", 18.00, 0.00, 34.00, 0.00, 0.00, 0.00,  0,  2
43,"Node 43", 19.00, 0.00, 33.00, 0.00, 0.00, 0.00,  0,  1
44,"Node 44", 21.00, 0.00, 31.00, 0.00, 0.00, 0.00,  0,  1
45,"Node 45", 19.00, 0.00, 33.00, 0.00, 0.00, 0.00,  0,  1
46,"Node 46", 22.00, 0.00, 30.00, 261.00, 0.00, 0.00,  0,  1
47,"Node 47", 21.00, 0.00, 31.00, 25.00, 0.00, 0.00,  0,  1
48,"Node 48", 12.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
49,"Node 49", 19.00, 0.00, 33.00, 0.00, 0.00, 0.00,  0,  1
50,"Node 50", 20.00, 0.00, 32.00, 0.00, 0.00, 0.00,  0,  1
51,"Node 51", 21.00, 0.00, 31.00, 0.00, 0.00, 0.00,  0,  1
52,"Node 52", 25.00, 0.00, 27.00, 9.00, 0.00, 0.00,  0,  1
53,"Node 53", 16.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  1
54,"Node 54", 21.00, 0.00, 31.00, 0.00, 0.00, 0.00,  0,  1
55,"Node 55", 18.00, 0.00, 34.00, 0.00, 0.00, 0.00,  0,  2
56,"Node 56", 15.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
57,"Node 57", 13.00, 0.00, 39.00, 307.00, 0.00, 0.00,  0,  1
58,"Node 58", 23.00, 0.00, 29.00, 5.00, 0.00, 0.00,  0,  2
59,"Node 59", 16.00, 0.00, 36.00, 138.00, 0.00, 0.00,  0,  1
60,"Node 60", 14.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
61,"Node 61", 15.00, 0.00, 37.00, 2.00, 0.00, 0.00,  0,  1
62,"Node 62", 13.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
63,"Node 63", 16.00, 0.00, 36.00, 305.00, 0.00, 0.00,  0,  1
64,"Node 64", 25.00, 0.00, 27.00, 5.00, 0.00, 0.00,  0,  1
65,"Node 65", 21.00, 0.00, 31.00, 79.00, 0.00, 0.00,  0,  1
66,"Node 66", 16.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  1
67,"Node 67", 17.00, 0.00, 35.00, 3.00, 0.00, 0.00,  0,  1
68,"Node 68", 22.00, 0.00, 30.00, 0.00, 0.00, 0.00,  0,  1
69,"Node 69", 17.00, 0.00, 35.00, 0.00, 0.00, 0.00,  0,  1
70,"Node 70", 21.00, 0.00, 31.00, 63.00, 0.00, 0.00,  0,  1
71,"Node 71", 27.00, 0.00, 25.00, 0.00, 0.00, 0.00,  0,  1
72,"Node 72", 16.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  1
73,"Node 73", 17.00, 0.00, 35.00, 0.00, 0.00, 0.00,  0,  1
74,"Node 74", 24.00, 0.00, 28.00, 98.00, 0.00, 0.00,  0,  1
75,"Node 75", 28.00, 0.00, 24.00, 4.00, 0.00, 0.00,  0,  1
76,"Node 76", 27.00, 0.00, 25.00, 226.00, 0.00, 0.00,  0,  1
77,"Node 77", 32.00, 0.00, 20.00, 73.00, 0.00, 0.00,  0,  1
78,"Node 78", 13.00, 0.00, 39.00, 88.00, 0.00, 0.00,  0,  1
79,"Node 79", 17.00, 0.00, 35.00, 2.00, 0.00, 0.00,  0,  1
80,"Node 80", 16.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  1
81,"Node 81", 16.00, 0.00, 36.00, 99.00, 0.00, 0.00,  0,  1
82,"Node 82", 21.00, 0.00, 31.00, 0.00, 0.00, 0.00,  0,  1
83,"Node 83", 24.00, 0.00, 28.00, 1.00, 0.00, 0.00,  0,  1
84,"Node 84", 17.00, 0.00, 35.00, 6.00, 0.00, 0.00,  0,  1
85,"Node 85", 16.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  1
86,"Node 86", 13.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
87,"Node 87", 20.00, 0.00, 32.00, 2.00, 0.00, 0.00,  0,  1
88,"Node 88", 26.00, 0.00, 26.00, 236.00, 0.00, 0.00,  0,  1
89,"Node 89", 17.00, 0.00, 35.00, 0.00, 0.00, 0.00,  0,  1
90,"Node 90", 17.00, 0.00, 35.00, 0.00, 0.00, 0.00,  0,  1
91,"Node 91", 18.00, 0.00, 34.00, 0.00, 0.00, 0.00,  0,  1
92,"Node 92", 13.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
93,"Node 93", 10.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
94,"Node 94", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
