Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 48.00, 0.00, 4.00, 1025.00, 0.00, 0.00,  0,  1
2,"Node 2", 49.00, 0.00, 3.00, 414.00, 0.00, 0.00,  0,  2
3,"Node 3", 35.00, 0.00, 17.00, 1828.00, 0.00, 0.00,  0,  1
4,"Node 4", 48.00, 0.00, 4.00, 964.00, 0.00, 0.00,  0,  2
5,"Node 5", 47.00, 0.00, 5.00, 494.00, 0.00, 0.00,  0,  2
6,"Node 6", 50.00, 0.00, 2.00, 612.00, 0.00, 0.00,  0,  1
7,"Node 7", 50.00, 0.00, 2.00, 126.00, 0.00, 0.00,  0,  2
8,"Node 8", 41.00, 0.00, 11.00, 645.00, 0.00, 0.00,  0,  1
9,"Node 9", 38.00, 0.00, 14.00, 2044.00, 0.00, 0.00,  0,  1
10,"Node 10", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
11,"Node 11", 49.00, 0.00, 3.00, 45.00, 0.00, 0.00,  0,  1
12,"Node 12", 41.00, 0.00, 11.00, 799.00, 0.00, 0.00,  0,  1
13,"Node 13", 33.00, 0.00, 19.00, 522.00, 0.00, 0.00,  0,  1
14,"Node 14", 51.00, 0.00, 1.00, 51.00, 0.00, 0.00,  0,  2
15,"Node 15", 48.00, 0.00, 4.00, 52.00, 0.00, 0.00,  0,  1
16,"Node 16", 46.00, 0.00, 6.00, 26.00, 0.00, 0.00,  0,  1
17,"Node 17", 42.00, 0.00, 10.00, 334.00, 0.00, 0.00,  0,  1
18,"Node 18", 0.00, 0.00, 0.00, 78.00, 0.00, 0.00,  0,  0
19,"Node 19", 49.00, 0.00, 3.00, 0.00, 0.00, 0.00,  0,  2
20,"Node 20", 46.00, 0.00, 6.00, 276.00, 0.00, 0.00,  0,  1
21,"Node 21", 50.00, 0.00, 2.00, 3.00, 0.00, 0.00,  0,  1
22,"Node 22", 45.00, 0.00, 7.00, 209.00, 0.00, 0.00,  0,  1
23,"Node 23", 48.00, 0.00, 4.00, 4.00, 0.00, 0.00,  0,  1
24,"Node 24", 43.00, 0.00, 9.00, 43.00, 0.00, 0.00,  0,  1
25,"Node 25", 43.00, 0.00, 9.00, 2.00, 0.00, 0.00,  0,  2
26,"Node 26", 47.00, 0.00, 5.00, 16.00, 0.00, 0.00,  0,  1
27,"Node 27", 46.00, 0.00, 6.00, 47.00, 0.00, 0.00,  0,  1
28,"Node 28", 46.00, 0.00, 6.00, 164.00, 0.00, 0.00,  0,  1
29,"Node 29", 46.00, 0.00, 6.00, 2.00, 0.00, 0.00,  0,  2
30,"Node 30", 37.00, 0.00, 15.00, 480.00, 0.00, 0.00,  0,  1
31,"Node 31", 47.00, 0.00, 5.00, 0.00, 0.00, 0.00,  0,  2
32,"Node 32", 44.00, 0.00, 8.00, 0.00, 0.00, 0.00,  0,  2
33,"Node 33", 48.00, 0.00, 4.00, 26.00, 0.00, 0.00,  0,  1
34,"Node 34", 39.00, 0.00, 13.00, 4.00, 0.00, 0.00,  0,  1
35,"Node 35", 40.00, 0.00, 12.00, 408.00, 0.00, 0.00,  0,  1
36,"Node 36", 46.00, 0.00, 6.00, 4.00, 0.00, 0.00,  0,  1
37,"Node 37", 41.00, 0.00, 11.00, 358.00, 0.00, 0.00,  0,  1
38,"Node 38", 43.00, 0.00, 9.00, 343.00, 0.00, 0.00,  0,  1
39,"Node 39", 49.00, 0.00, 3.00, 55.00, 0.00, 0.00,  0,  1
40,"Node 40", 48.00, 0.00, 4.00, 12.00, 0.00, 0.00,  0,  1
41,"Node 41", 50.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  2
42,"Node 42", 47.00, 0.00, 5.00, 14.00, 0.00, 0.00,  0,  1
43,"Node 43", 44.00, 0.00, 8.00, 141.00, 0.00, 0.00,  0,  1
44,"Node 44", 43.00, 0.00, 9.00, 0.00, 0.00, 0.00,  0,  1
45,"Node 45", 47.00, 0.00, 5.00, 38.00, 0.00, 0.00,  0,  1
46,"Node 46", 43.00, 0.00, 9.00, 23.00, 0.00, 0.00,  0,  1
47,"Node 47", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
48,"Node 48", 46.00, 0.00, 6.00, 14.00, 0.00, 0.00,  0,  2
49,"Node 49", 48.00, 0.00, 4.00, 0.00, 0.00, 0.00,  0,  2
50,"Node 50", 45.00, 0.00, 7.00, 193.00, 0.00, 0.00,  0,  1
51,"Node 51", 35.00, 0.00, 17.00, 0.00, 0.00, 0.00,  0,  1
52,"Node 52", 37.00, 0.00, 15.00, 146.00, 0.00, 0.00,  0,  1
53,"Node 53", 46.00, 0.00, 6.00, 0.00, 0.00, 0.00,  0,  1
54,"Node 54", 49.00, 0.00, 3.00, 0.00, 0.00, 0.00,  0,  1
55,"Node 55", 44.00, 0.00, 8.00, 4.00, 0.00, 0.00,  0,  1
56,"Node 56", 46.00, 0.00, 6.00, 0.00, 0.00, 0.00,  0,  1
