Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 36.00, 0.00, 16.00, 2495.00, 0.00, 0.00,  0,  1
2,"Node 2", 41.00, 0.00, 11.00, 2337.00, 0.00, 0.00,  0,  1
3,"Node 3", 40.00, 0.00, 12.00, 2350.00, 0.00, 0.00,  0,  1
4,"Node 4", 44.00, 0.00, 8.00, 2962.00, 0.00, 0.00,  0,  1
5,"Node 5", 46.00, 0.00, 6.00, 3792.00, 0.00, 0.00,  0,  2
6,"Node 6", 41.00, 0.00, 11.00, 4465.00, 0.00, 0.00,  0,  1
7,"Node 7", 40.00, 0.00, 12.00, 2280.00, 0.00, 0.00,  0,  1
8,"Node 8", 39.00, 0.00, 13.00, 4542.00, 0.00, 0.00,  0,  1
9,"Node 9", 36.00, 0.00, 16.00, 2302.00, 0.00, 0.00,  0,  1
10,"Node 10", 45.00, 0.00, 7.00, 2533.00, 0.00, 0.00,  0,  1
11,"Node 11", 44.00, 0.00, 8.00, 512.00, 0.00, 0.00,  0,  1
12,"Node 12", 0.00, 0.00, 0.00, 1145.00, 0.00, 0.00,  0,  0
13,"Node 13", 38.00, 0.00, 14.00, 1509.00, 0.00, 0.00,  0,  1
14,"Node 14", 42.00, 0.00, 10.00, 1023.00, 0.00, 0.00,  0,  1
15,"Node 15", 40.00, 0.00, 12.00, 0.00, 0.00, 0.00,  0,  2
16,"Node 16", 46.00, 0.00, 6.00, 2495.00, 0.00, 0.00,  0,  1
17,"Node 17", 44.00, 0.00, 8.00, 1501.00, 0.00, 0.00,  0,  1
18,"Node 18", 48.00, 0.00, 4.00, 0.00, 0.00, 0.00,  0,  1
19,"Node 19", 44.00, 0.00, 8.00, 208.00, 0.00, 0.00,  0,  1
20,"Node 20", 46.00, 0.00, 6.00, 92.00, 0.00, 0.00,  0,  1
21,"Node 21", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
22,"Node 22", 37.00, 0.00, 15.00, 400.00, 0.00, 0.00,  0,  1
23,"Node 23", 46.00, 0.00, 6.00, 16.00, 0.00, 0.00,  0,  1
24,"Node 24", 36.00, 0.00, 16.00, 619.00, 0.00, 0.00,  0,  1
25,"Node 25", 38.00, 0.00, 14.00, 238.00, 0.00, 0.00,  0,  1
26,"Node 26", 46.00, 0.00, 6.00, 594.00, 0.00, 0.00,  0,  1
27,"Node 27", 44.00, 0.00, 8.00, 1008.00, 0.00, 0.00,  0,  1
28,"Node 28", 40.00, 0.00, 12.00, 1282.00, 0.00, 0.00,  0,  1
29,"Node 29", 41.00, 0.00, 11.00, 1113.00, 0.00, 0.00,  0,  1
30,"Node 30", 39.00, 0.00, 13.00, 498.00, 0.00, 0.00,  0,  1
31,"Node 31", 46.00, 0.00, 6.00, 47.00, 0.00, 0.00,  0,  1
32,"Node 32", 35.00, 0.00, 17.00, 0.00, 0.00, 0.00,  0,  1
33,"Node 33", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
34,"Node 34", 39.00, 0.00, 13.00, 12.00, 0.00, 0.00,  0,  1
35,"Node 35", 44.00, 0.00, 8.00, 18.00, 0.00, 0.00,  0,  1
36,"Node 36", 46.00, 0.00, 6.00, 0.00, 0.00, 0.00,  0,  2
37,"Node 37", 47.00, 0.00, 5.00, 236.00, 0.00, 0.00,  0,  1
38,"Node 38", 48.00, 0.00, 4.00, 35.00, 0.00, 0.00,  0,  1
39,"Node 39", 42.00, 0.00, 10.00, 62.00, 0.00, 0.00,  0,  1
40,"Node 40", 0.00, 0.00, 0.00, 8.00, 0.00, 0.00,  0,  0
41,"Node 41", 41.00, 0.00, 11.00, 825.00, 0.00, 0.00,  0,  1
42,"Node 42", 45.00, 0.00, 7.00, 652.00, 0.00, 0.00,  0,  1
43,"Node 43", 45.00, 0.00, 7.00, 23.00, 0.00, 0.00,  0,  1
44,"Node 44", 47.00, 0.00, 5.00, 256.00, 0.00, 0.00,  0,  1
45,"Node 45", 39.00, 0.00, 13.00, 0.00, 0.00, 0.00,  0,  1
46,"Node 46", 43.00, 0.00, 9.00, 48.00, 0.00, 0.00,  0,  1
47,"Node 47", 41.00, 0.00, 11.00, 437.00, 0.00, 0.00,  0,  1
