Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 31.00, 0.00, 21.00, 443.00, 0.00, 0.00,  0,  2
2,"Node 2", 10.00, 0.00, 42.00, 2011.00, 0.00, 0.00,  0,  1
3,"Node 3", 26.00, 0.00, 26.00, 2.00, 0.00, 0.00,  0,  2
4,"Node 4", 23.00, 0.00, 29.00, 1243.00, 0.00, 0.00,  0,  1
5,"Node 5", 18.00, 0.00, 34.00, 248.00, 0.00, 0.00,  0,  1
6,"Node 6", 24.00, 0.00, 28.00, 5.00, 0.00, 0.00,  0,  1
7,"Node 7", 16.00, 0.00, 36.00, 10.00, 0.00, 0.00,  0,  1
8,"Node 8", 16.00, 0.00, 36.00, 514.00, 0.00, 0.00,  0,  1
9,"Node 9", 22.00, 0.00, 30.00, 0.00, 0.00, 0.00,  0,  1
10,"Node 10", 21.00, 0.00, 31.00, 0.00, 0.00, 0.00,  0,  1
11,"Node 11", 27.00, 0.00, 25.00, 2.00, 0.00, 0.00,  0,  1
12,"Node 12", 19.00, 0.00, 33.00, 41.00, 0.00, 0.00,  0,  1
13,"Node 13", 17.00, 0.00, 35.00, 1.00, 0.00, 0.00,  0,  1
14,"Node 14", 20.00, 0.00, 32.00, 276.00, 0.00, 0.00,  0,  1
15,"Node 15", 8.00, 0.00, 44.00, 0.00, 0.00, 0.00,  0,  1
16,"Node 16", 10.00, 0.00, 42.00, 620.00, 0.00, 0.00,  0,  1
17,"Node 17", 22.00, 0.00, 30.00, 4.00, 0.00, 0.00,  0,  2
18,"Node 18", 25.00, 0.00, 27.00, 62.00, 0.00, 0.00,  0,  1
19,"Node 19", 2.00, 0.00, 50.00, 0.00, 0.00, 0.00,  0,  2
20,"Node 20", 17.00, 0.00, 35.00, 217.00, 0.00, 0.00,  0,  1
21,"Node 21", 18.00, 0.00, 34.00, 39.00, 0.00, 0.00,  0,  1
22,"Node 22", 20.00, 0.00, 32.00, 0.00, 0.00, 0.00,  0,  1
23,"Node 23", 20.00, 0.00, 32.00, 0.00, 0.00, 0.00,  0,  1
24,"Node 24", 21.00, 0.00, 31.00, 3.00, 0.00, 0.00,  0,  1
25,"Node 25", 27.00, 0.00, 25.00, 5.00, 0.00, 0.00,  0,  1
26,"Node 26", 19.00, 0.00, 33.00, 0.00, 0.00, 0.00,  0,  1
27,"Node 27", 28.00, 0.00, 24.00, 0.00, 0.00, 0.00,  0,  1
28,"Node 28", 22.00, 0.00, 30.00, 3.00, 0.00, 0.00,  0,  1
29,"Node 29", 31.00, 0.00, 21.00, 0.00, 0.00, 0.00,  0,  1
30,"Node 30", 17.00, 0.00, 35.00, 2.00, 0.00, 0.00,  0,  1
31,"Node 31", 10.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
32,"Node 32", 19.00, 0.00, 33.00, 0.00, 0.00, 0.00,  0,  1
33,"Node 33", 22.00, 0.00, 30.00, 0.00, 0.00, 0.00,  0,  1
34,"Node 34", 16.00, 0.00, 36.00, 107.00, 0.00, 0.00,  0,  1
35,"Node 35", 20.00, 0.00, 32.00, 1.00, 0.00, 0.00,  0,  1
36,"Node 36", 14.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
37,"Node 37", 13.00, 0.00, 39.00, 1.00, 0.00, 0.00,  0,  1
38,"Node 38", 14.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  2
39,"Node 39", 8.00, 0.00, 44.00, 0.00, 0.00, 0.00,  0,  1
40,"Node 40", 17.00, 0.00, 35.00, 0.00, 0.00, 0.00,  0,  1
41,"Node 41", 11.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
42,"Node 42", 19.00, 0.00, 33.00, 0.00, 0.00, 0.00,  0,  2
43,"Node 43", 8.00, 0.00, 44.00, 0.00, 0.00, 0.00,  0,  1
44,"Node 44", 32.00, 0.00, 20.00, 0.00, 0.00, 0.00,  0,  2
45,"Node 45", 17.00, 0.00, 35.00, 0.00, 0.00, 0.00,  0,  1
46,"Node 46", 18.00, 0.00, 34.00, 0.00, 0.00, 0.00,  0,  1
47,"Node 47", 25.00, 0.00, 27.00, 50.00, 0.00, 0.00,  0,  1
48,"Node 48", 16.00, 0.00, 36.00, 4.00, 0.00, 0.00,  0,  1
49,"Node 49", 25.00, 0.00, 27.00, 0.00, 0.00, 0.00,  0,  1
50,"Node 50", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
51,"Node 51", 26.00, 0.00, 26.00, 0.00, 0.00, 0.00,  0,  1
52,"Node 52", 16.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  1
53,"Node 53", 9.00, 0.00, 43.00, 0.00, 0.00, 0.00,  0,  1
54,"Node 54", 14.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
55,"Node 55", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
56,"Node 56", 24.00, 0.00, 28.00, 20.00, 0.00, 0.00,  0,  1
57,"Node 57", 16.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  1
58,"Node 58", 23.00, 0.00, 29.00, 0.00, 0.00, 0.00,  0,  1
59,"Node 59", 26.00, 0.00, 26.00, 0.00, 0.00, 0.00,  0,  1
60,"Node 60", 24.00, 0.00, 28.00, 0.00, 0.00, 0.00,  0,  1
61,"Node 61", 27.00, 0.00, 25.00, 0.00, 0.00, 0.00,  0,  2
62,"Node 62", 35.00, 0.00, 17.00, 2.00, 0.00, 0.00,  0,  1
63,"Node 63", 10.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
64,"Node 64", 25.00, 0.00, 27.00, 4.00, 0.00, 0.00,  0,  1
65,"Node 65", 13.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
66,"Node 66", 37.00, 0.00, 15.00, 1.00, 0.00, 0.00,  0,  2
67,"Node 67", 11.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  2
68,"Node 68", 9.00, 0.00, 43.00, 0.00, 0.00, 0.00,  0,  1
69,"Node 69", 22.00, 0.00, 30.00, 2.00, 0.00, 0.00,  0,  1
70,"Node 70", 18.00, 0.00, 34.00, 0.00, 0.00, 0.00,  0,  1
71,"Node 71", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
72,"Node 72", 20.00, 0.00, 32.00, 0.00, 0.00, 0.00,  0,  1
73,"Node 73", 13.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
74,"Node 74", 25.00, 0.00, 27.00, 1.00, 0.00, 0.00,  0,  1
75,"Node 75", 16.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  1
76,"Node 76", 22.00, 0.00, 30.00, 0.00, 0.00, 0.00,  0,  1
