Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 10.00, 0.00, 42.00, 727.00, 0.00, 0.00,  0,  1
2,"Node 2", 10.00, 0.00, 42.00, 2383.00, 0.00, 0.00,  0,  1
3,"Node 3", 13.00, 0.00, 39.00, 236.00, 0.00, 0.00,  0,  1
4,"Node 4", 10.00, 0.00, 42.00, 1320.00, 0.00, 0.00,  0,  1
5,"Node 5", 14.00, 0.00, 38.00, 392.00, 0.00, 0.00,  0,  1
6,"Node 6", 11.00, 0.00, 41.00, 49.00, 0.00, 0.00,  0,  1
7,"Node 7", 13.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
8,"Node 8", 14.00, 0.00, 38.00, 333.00, 0.00, 0.00,  0,  1
9,"Node 9", 15.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
10,"Node 10", 23.00, 0.00, 29.00, 43.00, 0.00, 0.00,  0,  1
11,"Node 11", 15.00, 0.00, 37.00, 34.00, 0.00, 0.00,  0,  1
12,"Node 12", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
13,"Node 13", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
14,"Node 14", 22.00, 0.00, 30.00, 173.00, 0.00, 0.00,  0,  1
15,"Node 15", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
16,"Node 16", 9.00, 0.00, 43.00, 393.00, 0.00, 0.00,  0,  1
17,"Node 17", 10.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  2
18,"Node 18", 15.00, 0.00, 37.00, 69.00, 0.00, 0.00,  0,  1
19,"Node 19", 6.00, 0.00, 46.00, 0.00, 0.00, 0.00,  0,  1
20,"Node 20", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
21,"Node 21", 17.00, 0.00, 35.00, 10.00, 0.00, 0.00,  0,  1
22,"Node 22", 10.00, 0.00, 42.00, 1.00, 0.00, 0.00,  0,  1
23,"Node 23", 10.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
24,"Node 24", 12.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
25,"Node 25", 25.00, 0.00, 27.00, 6.00, 0.00, 0.00,  0,  1
26,"Node 26", 10.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
27,"Node 27", 11.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
28,"Node 28", 10.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
29,"Node 29", 15.00, 0.00, 37.00, 3.00, 0.00, 0.00,  0,  1
30,"Node 30", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
31,"Node 31", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
32,"Node 32", 7.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
33,"Node 33", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
34,"Node 34", 18.00, 0.00, 34.00, 1.00, 0.00, 0.00,  0,  2
35,"Node 35", 11.00, 0.00, 41.00, 1.00, 0.00, 0.00,  0,  1
36,"Node 36", 7.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
37,"Node 37", 8.00, 0.00, 44.00, 0.00, 0.00, 0.00,  0,  1
38,"Node 38", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
39,"Node 39", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
40,"Node 40", 9.00, 0.00, 43.00, 0.00, 0.00, 0.00,  0,  1
41,"Node 41", 15.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
42,"Node 42", 14.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
43,"Node 43", 8.00, 0.00, 44.00, 0.00, 0.00, 0.00,  0,  1
44,"Node 44", 19.00, 0.00, 33.00, 20.00, 0.00, 0.00,  0,  1
45,"Node 45", 10.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  2
46,"Node 46", 15.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
47,"Node 47", 17.00, 0.00, 35.00, 2.00, 0.00, 0.00,  0,  1
48,"Node 48", 9.00, 0.00, 43.00, 0.00, 0.00, 0.00,  0,  1
49,"Node 49", 18.00, 0.00, 34.00, 0.00, 0.00, 0.00,  0,  1
50,"Node 50", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
51,"Node 51", 11.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
52,"Node 52", 15.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
53,"Node 53", 15.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
54,"Node 54", 9.00, 0.00, 43.00, 0.00, 0.00, 0.00,  0,  1
55,"Node 55", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
56,"Node 56", 23.00, 0.00, 29.00, 4.00, 0.00, 0.00,  0,  1
57,"Node 57", 17.00, 0.00, 35.00, 1.00, 0.00, 0.00,  0,  1
58,"Node 58", 23.00, 0.00, 29.00, 0.00, 0.00, 0.00,  0,  1
59,"Node 59", 16.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  1
60,"Node 60", 9.00, 0.00, 43.00, 0.00, 0.00, 0.00,  0,  1
61,"Node 61", 38.00, 0.00, 14.00, 0.00, 0.00, 0.00,  0,  2
62,"Node 62", 27.00, 0.00, 25.00, 0.00, 0.00, 0.00,  0,  1
63,"Node 63", 4.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  1
64,"Node 64", 27.00, 0.00, 25.00, 4.00, 0.00, 0.00,  0,  1
65,"Node 65", 12.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
66,"Node 66", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
67,"Node 67", 10.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  2
68,"Node 68", 6.00, 0.00, 46.00, 0.00, 0.00, 0.00,  0,  1
