Source,Target,Label,Type
1,2,"Edge 1 to 2","Undirected"
1,6,"Edge 1 to 6","Undirected"
1,18,"Edge 1 to 18","Undirected"
1,43,"Edge 1 to 43","Undirected"
1,63,"Edge 1 to 63","Undirected"
1,73,"Edge 1 to 73","Undirected"
1,78,"Edge 1 to 78","Undirected"
1,97,"Edge 1 to 97","Undirected"
1,102,"Edge 1 to 102","Undirected"
1,116,"Edge 1 to 116","Undirected"
1,136,"Edge 1 to 136","Undirected"
1,137,"Edge 1 to 137","Undirected"
1,141,"Edge 1 to 141","Undirected"
1,149,"Edge 1 to 149","Undirected"
1,161,"Edge 1 to 161","Undirected"
1,166,"Edge 1 to 166","Undirected"
1,171,"Edge 1 to 171","Undirected"
1,175,"Edge 1 to 175","Undirected"
1,176,"Edge 1 to 176","Undirected"
1,245,"Edge 1 to 245","Undirected"
1,262,"Edge 1 to 262","Undirected"
1,282,"Edge 1 to 282","Undirected"
1,295,"Edge 1 to 295","Undirected"
1,334,"Edge 1 to 334","Undirected"
1,362,"Edge 1 to 362","Undirected"
1,397,"Edge 1 to 397","Undirected"
1,449,"Edge 1 to 449","Undirected"
1,453,"Edge 1 to 453","Undirected"
1,557,"Edge 1 to 557","Undirected"
1,610,"Edge 1 to 610","Undirected"
1,636,"Edge 1 to 636","Undirected"
1,747,"Edge 1 to 747","Undirected"
1,773,"Edge 1 to 773","Undirected"
1,861,"Edge 1 to 861","Undirected"
1,873,"Edge 1 to 873","Undirected"
2,1,"Edge 2 to 1","Undirected"
2,3,"Edge 2 to 3","Undirected"
2,4,"Edge 2 to 4","Undirected"
2,7,"Edge 2 to 7","Undirected"
2,8,"Edge 2 to 8","Undirected"
2,12,"Edge 2 to 12","Undirected"
2,17,"Edge 2 to 17","Undirected"
2,23,"Edge 2 to 23","Undirected"
2,33,"Edge 2 to 33","Undirected"
2,35,"Edge 2 to 35","Undirected"
2,36,"Edge 2 to 36","Undirected"
2,41,"Edge 2 to 41","Undirected"
2,93,"Edge 2 to 93","Undirected"
2,100,"Edge 2 to 100","Undirected"
2,124,"Edge 2 to 124","Undirected"
2,167,"Edge 2 to 167","Undirected"
2,229,"Edge 2 to 229","Undirected"
2,242,"Edge 2 to 242","Undirected"
2,272,"Edge 2 to 272","Undirected"
2,302,"Edge 2 to 302","Undirected"
2,304,"Edge 2 to 304","Undirected"
2,305,"Edge 2 to 305","Undirected"
2,326,"Edge 2 to 326","Undirected"
2,344,"Edge 2 to 344","Undirected"
2,409,"Edge 2 to 409","Undirected"
