Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 0.00, 0.00, 0.00, 1190.00, 0.00, 0.00,  0,  0
2,"Node 2", 51.00, 0.00, 40.00, 4506.00, 0.00, 117.00,  0,  1
3,"Node 3", 184.00, 0.00, 20.00, 347.00, 0.00, 4.00,  0,  2
4,"Node 4", 51.00, 0.00, 27.00, 4456.00, 0.00, 130.00,  0,  1
5,"Node 5", 175.00, 0.00, 29.00, 1341.00, 0.00, 4.00,  0,  2
6,"Node 6", 185.00, 0.00, 19.00, 558.00, 0.00, 4.00,  0,  2
7,"Node 7", 46.00, 0.00, 158.00, 8360.00, 0.00, 4.00,  0,  1
8,"Node 8", 48.00, 0.00, 98.00, 9603.00, 0.00, 62.00,  0,  1
9,"Node 9", 49.00, 0.00, 131.00, 9788.00, 0.00, 28.00,  0,  1
10,"Node 10", 49.00, 0.00, 102.00, 7673.00, 0.00, 57.00,  0,  1
11,"Node 11", 50.00, 0.00, 42.00, 2628.00, 0.00, 116.00,  0,  1
12,"Node 12", 182.00, 0.00, 22.00, 929.00, 0.00, 4.00,  0,  2
13,"Node 13", 48.00, 0.00, 116.00, 7716.00, 0.00, 44.00,  0,  1
14,"Node 14", 50.00, 0.00, 65.00, 4078.00, 0.00, 93.00,  0,  1
15,"Node 15", 51.00, 0.00, 14.00, 1272.00, 0.00, 143.00,  0,  1
16,"Node 16", 48.00, 0.00, 132.00, 10422.00, 0.00, 28.00,  0,  1
17,"Node 17", 50.00, 0.00, 67.00, 4364.00, 0.00, 91.00,  0,  1
18,"Node 18", 50.00, 0.00, 53.00, 3009.00, 0.00, 105.00,  0,  1
19,"Node 19", 49.00, 0.00, 130.00, 6708.00, 0.00, 29.00,  0,  1
20,"Node 20", 189.00, 0.00, 15.00, 0.00, 0.00, 4.00,  0,  2
21,"Node 21", 50.00, 0.00, 41.00, 2465.00, 0.00, 117.00,  0,  1
22,"Node 22", 0.00, 0.00, 0.00, 572.00, 0.00, 0.00,  0,  0
23,"Node 23", 51.00, 0.00, 9.00, 802.00, 0.00, 148.00,  0,  1
