Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 197.00, 0.00, 7.00, 141.00, 0.00, 4.00,  0,  2
2,"Node 2", 197.00, 0.00, 7.00, 259.00, 0.00, 4.00,  0,  2
3,"Node 3", 31.00, 0.00, 168.00, 10676.00, 0.00, 9.00,  0,  1
4,"Node 4", 192.00, 0.00, 12.00, 75.00, 0.00, 4.00,  0,  2
5,"Node 5", 35.00, 0.00, 156.00, 15389.00, 0.00, 17.00,  0,  1
6,"Node 6", 36.00, 0.00, 168.00, 12913.00, 0.00, 4.00,  0,  1
7,"Node 7", 36.00, 0.00, 149.00, 14848.00, 0.00, 23.00,  0,  1
8,"Node 8", 35.00, 0.00, 169.00, 16895.00, 0.00, 4.00,  0,  1
9,"Node 9", 42.00, 0.00, 159.00, 18399.00, 0.00, 7.00,  0,  1
10,"Node 10", 44.00, 0.00, 155.00, 14071.00, 0.00, 9.00,  0,  1
11,"Node 11", 43.00, 0.00, 148.00, 8145.00, 0.00, 17.00,  0,  1
12,"Node 12", 0.00, 0.00, 0.00, 3990.00, 0.00, 0.00,  0,  0
13,"Node 13", 44.00, 0.00, 145.00, 10079.00, 0.00, 19.00,  0,  1
14,"Node 14", 0.00, 0.00, 0.00, 3466.00, 0.00, 0.00,  0,  0
15,"Node 15", 192.00, 0.00, 12.00, 1.00, 0.00, 4.00,  0,  2
16,"Node 16", 33.00, 0.00, 171.00, 14075.00, 0.00, 4.00,  0,  1
17,"Node 17", 42.00, 0.00, 154.00, 11910.00, 0.00, 12.00,  0,  1
18,"Node 18", 42.00, 0.00, 138.00, 5957.00, 0.00, 28.00,  0,  1
19,"Node 19", 39.00, 0.00, 165.00, 7267.00, 0.00, 4.00,  0,  1
20,"Node 20", 43.00, 0.00, 133.00, 4590.00, 0.00, 32.00,  0,  1
21,"Node 21", 44.00, 0.00, 120.00, 6457.00, 0.00, 44.00,  0,  1
22,"Node 22", 184.00, 0.00, 20.00, 26.00, 0.00, 4.00,  0,  2
23,"Node 23", 42.00, 0.00, 138.00, 7200.00, 0.00, 28.00,  0,  1
24,"Node 24", 50.00, 0.00, 57.00, 2472.00, 0.00, 101.00,  0,  1
25,"Node 25", 49.00, 0.00, 84.00, 2613.00, 0.00, 75.00,  0,  1
26,"Node 26", 39.00, 0.00, 116.00, 5999.00, 0.00, 53.00,  0,  1
27,"Node 27", 45.00, 0.00, 148.00, 9605.00, 0.00, 15.00,  0,  1
28,"Node 28", 42.00, 0.00, 159.00, 12646.00, 0.00, 7.00,  0,  1
29,"Node 29", 41.00, 0.00, 157.00, 10561.00, 0.00, 10.00,  0,  1
30,"Node 30", 42.00, 0.00, 132.00, 5399.00, 0.00, 34.00,  0,  1
31,"Node 31", 42.00, 0.00, 162.00, 7488.00, 0.00, 4.00,  0,  1
32,"Node 32", 47.00, 0.00, 106.00, 3955.00, 0.00, 55.00,  0,  1
33,"Node 33", 40.00, 0.00, 147.00, 7313.00, 0.00, 21.00,  0,  1
34,"Node 34", 50.00, 0.00, 5.00, 40.00, 0.00, 153.00,  0,  1
35,"Node 35", 187.00, 0.00, 17.00, 33.00, 0.00, 4.00,  0,  2
36,"Node 36", 40.00, 0.00, 157.00, 10127.00, 0.00, 11.00,  0,  1
37,"Node 37", 41.00, 0.00, 142.00, 11869.00, 0.00, 25.00,  0,  1
38,"Node 38", 44.00, 0.00, 135.00, 6092.00, 0.00, 29.00,  0,  1
39,"Node 39", 32.00, 0.00, 163.00, 7447.00, 0.00, 13.00,  0,  1
