Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 46.00, 0.00, 130.00, 9595.00, 0.00, 32.00,  0,  1
2,"Node 2", 53.00, 0.00, 48.00, 9027.00, 0.00, 107.00,  0,  1
3,"Node 3", 44.00, 0.00, 140.00, 17533.00, 0.00, 24.00,  0,  1
4,"Node 4", 49.00, 0.00, 123.00, 13524.00, 0.00, 36.00,  0,  1
5,"Node 5", 141.00, 0.00, 64.00, 1608.00, 0.00, 3.00,  0,  2
6,"Node 6", 40.00, 0.00, 161.00, 16643.00, 0.00, 7.00,  0,  1
7,"Node 7", 46.00, 0.00, 141.00, 15447.00, 0.00, 21.00,  0,  1
8,"Node 8", 43.00, 0.00, 138.00, 19080.00, 0.00, 27.00,  0,  1
9,"Node 9", 39.00, 0.00, 144.00, 18537.00, 0.00, 25.00,  0,  1
10,"Node 10", 48.00, 0.00, 128.00, 14624.00, 0.00, 32.00,  0,  1
11,"Node 11", 47.00, 0.00, 122.00, 7391.00, 0.00, 39.00,  0,  1
12,"Node 12", 46.00, 0.00, 121.00, 11169.00, 0.00, 41.00,  0,  1
13,"Node 13", 51.00, 0.00, 88.00, 6026.00, 0.00, 69.00,  0,  1
14,"Node 14", 51.00, 0.00, 93.00, 6514.00, 0.00, 64.00,  0,  1
15,"Node 15", 51.00, 0.00, 99.00, 5204.00, 0.00, 58.00,  0,  1
16,"Node 16", 49.00, 0.00, 125.00, 12352.00, 0.00, 34.00,  0,  1
17,"Node 17", 50.00, 0.00, 99.00, 8717.00, 0.00, 59.00,  0,  1
18,"Node 18", 53.00, 0.00, 39.00, 1557.00, 0.00, 116.00,  0,  1
19,"Node 19", 138.00, 0.00, 67.00, 73.00, 0.00, 3.00,  0,  2
20,"Node 20", 50.00, 0.00, 69.00, 3707.00, 0.00, 89.00,  0,  1
21,"Node 21", 0.00, 0.00, 0.00, 489.00, 0.00, 0.00,  0,  0
22,"Node 22", 51.00, 0.00, 73.00, 5703.00, 0.00, 84.00,  0,  1
23,"Node 23", 48.00, 0.00, 121.00, 4638.00, 0.00, 39.00,  0,  1
24,"Node 24", 45.00, 0.00, 130.00, 6217.00, 0.00, 33.00,  0,  1
25,"Node 25", 49.00, 0.00, 96.00, 4724.00, 0.00, 63.00,  0,  1
26,"Node 26", 50.00, 0.00, 94.00, 6025.00, 0.00, 64.00,  0,  1
27,"Node 27", 49.00, 0.00, 106.00, 5963.00, 0.00, 53.00,  0,  1
28,"Node 28", 50.00, 0.00, 120.00, 7652.00, 0.00, 38.00,  0,  1
29,"Node 29", 128.00, 0.00, 77.00, 424.00, 0.00, 3.00,  0,  2
30,"Node 30", 53.00, 0.00, 44.00, 1583.00, 0.00, 111.00,  0,  1
31,"Node 31", 51.00, 0.00, 76.00, 4340.00, 0.00, 81.00,  0,  1
32,"Node 32", 47.00, 0.00, 104.00, 4585.00, 0.00, 57.00,  0,  1
