Source,Target,Label,Type
1,2,"Edge 1 to 2","Undirected"
1,3,"Edge 1 to 3","Undirected"
1,4,"Edge 1 to 4","Undirected"
1,5,"Edge 1 to 5","Undirected"
1,6,"Edge 1 to 6","Undirected"
1,7,"Edge 1 to 7","Undirected"
1,8,"Edge 1 to 8","Undirected"
1,9,"Edge 1 to 9","Undirected"
1,10,"Edge 1 to 10","Undirected"
1,11,"Edge 1 to 11","Undirected"
1,12,"Edge 1 to 12","Undirected"
1,13,"Edge 1 to 13","Undirected"
1,14,"Edge 1 to 14","Undirected"
1,15,"Edge 1 to 15","Undirected"
1,16,"Edge 1 to 16","Undirected"
1,17,"Edge 1 to 17","Undirected"
1,18,"Edge 1 to 18","Undirected"
1,19,"Edge 1 to 19","Undirected"
1,20,"Edge 1 to 20","Undirected"
1,25,"Edge 1 to 25","Undirected"
1,29,"Edge 1 to 29","Undirected"
1,30,"Edge 1 to 30","Undirected"
1,32,"Edge 1 to 32","Undirected"
1,37,"Edge 1 to 37","Undirected"
1,40,"Edge 1 to 40","Undirected"
1,44,"Edge 1 to 44","Undirected"
1,47,"Edge 1 to 47","Undirected"
1,49,"Edge 1 to 49","Undirected"
1,52,"Edge 1 to 52","Undirected"
1,53,"Edge 1 to 53","Undirected"
1,57,"Edge 1 to 57","Undirected"
1,59,"Edge 1 to 59","Undirected"
1,64,"Edge 1 to 64","Undirected"
1,68,"Edge 1 to 68","Undirected"
1,95,"Edge 1 to 95","Undirected"
1,97,"Edge 1 to 97","Undirected"
1,99,"Edge 1 to 99","Undirected"
2,1,"Edge 2 to 1","Undirected"
2,3,"Edge 2 to 3","Undirected"
2,4,"Edge 2 to 4","Undirected"
2,5,"Edge 2 to 5","Undirected"
2,6,"Edge 2 to 6","Undirected"
2,7,"Edge 2 to 7","Undirected"
2,8,"Edge 2 to 8","Undirected"
2,9,"Edge 2 to 9","Undirected"
2,10,"Edge 2 to 10","Undirected"
2,11,"Edge 2 to 11","Undirected"
2,12,"Edge 2 to 12","Undirected"
2,13,"Edge 2 to 13","Undirected"
2,14,"Edge 2 to 14","Undirected"
2,15,"Edge 2 to 15","Undirected"
2,16,"Edge 2 to 16","Undirected"
2,17,"Edge 2 to 17","Undirected"
2,18,"Edge 2 to 18","Undirected"
2,19,"Edge 2 to 19","Undirected"
2,20,"Edge 2 to 20","Undirected"
2,21,"Edge 2 to 21","Undirected"
2,22,"Edge 2 to 22","Undirected"
2,23,"Edge 2 to 23","Undirected"
2,24,"Edge 2 to 24","Undirected"
2,25,"Edge 2 to 25","Undirected"
2,26,"Edge 2 to 26","Undirected"
2,28,"Edge 2 to 28","Undirected"
2,30,"Edge 2 to 30","Undirected"
2,31,"Edge 2 to 31","Undirected"
2,35,"Edge 2 to 35","Undirected"
2,36,"Edge 2 to 36","Undirected"
2,47,"Edge 2 to 47","Undirected"
2,48,"Edge 2 to 48","Undirected"
2,52,"Edge 2 to 52","Undirected"
2,54,"Edge 2 to 54","Undirected"
2,58,"Edge 2 to 58","Undirected"
2,63,"Edge 2 to 63","Undirected"
2,66,"Edge 2 to 66","Undirected"
2,68,"Edge 2 to 68","Undirected"
2,72,"Edge 2 to 72","Undirected"
2,81,"Edge 2 to 81","Undirected"
2,87,"Edge 2 to 87","Undirected"
2,90,"Edge 2 to 90","Undirected"
2,98,"Edge 2 to 98","Undirected"
2,100,"Edge 2 to 100","Undirected"
3,1,"Edge 3 to 1","Undirected"
3,2,"Edge 3 to 2","Undirected"
3,4,"Edge 3 to 4","Undirected"
3,5,"Edge 3 to 5","Undirected"
3,6,"Edge 3 to 6","Undirected"
3,7,"Edge 3 to 7","Undirected"
3,8,"Edge 3 to 8","Undirected"
3,9,"Edge 3 to 9","Undirected"
3,10,"Edge 3 to 10","Undirected"
3,11,"Edge 3 to 11","Undirected"
3,12,"Edge 3 to 12","Undirected"
3,13,"Edge 3 to 13","Undirected"
3,14,"Edge 3 to 14","Undirected"
3,15,"Edge 3 to 15","Undirected"
3,16,"Edge 3 to 16","Undirected"
3,17,"Edge 3 to 17","Undirected"
3,18,"Edge 3 to 18","Undirected"
3,19,"Edge 3 to 19","Undirected"
3,20,"Edge 3 to 20","Undirected"
3,21,"Edge 3 to 21","Undirected"
3,23,"Edge 3 to 23","Undirected"
3,24,"Edge 3 to 24","Undirected"
3,28,"Edge 3 to 28","Undirected"
3,30,"Edge 3 to 30","Undirected"
3,31,"Edge 3 to 31","Undirected"
3,33,"Edge 3 to 33","Undirected"
3,34,"Edge 3 to 34","Undirected"
3,35,"Edge 3 to 35","Undirected"
3,37,"Edge 3 to 37","Undirected"
3,39,"Edge 3 to 39","Undirected"
3,40,"Edge 3 to 40","Undirected"
3,44,"Edge 3 to 44","Undirected"
3,47,"Edge 3 to 47","Undirected"
3,62,"Edge 3 to 62","Undirected"
3,64,"Edge 3 to 64","Undirected"
3,65,"Edge 3 to 65","Undirected"
3,76,"Edge 3 to 76","Undirected"
3,77,"Edge 3 to 77","Undirected"
3,79,"Edge 3 to 79","Undirected"
3,85,"Edge 3 to 85","Undirected"
3,93,"Edge 3 to 93","Undirected"
3,96,"Edge 3 to 96","Undirected"
3,98,"Edge 3 to 98","Undirected"
3,100,"Edge 3 to 100","Undirected"
4,1,"Edge 4 to 1","Undirected"
4,2,"Edge 4 to 2","Undirected"
4,3,"Edge 4 to 3","Undirected"
4,5,"Edge 4 to 5","Undirected"
4,6,"Edge 4 to 6","Undirected"
4,7,"Edge 4 to 7","Undirected"
4,8,"Edge 4 to 8","Undirected"
4,9,"Edge 4 to 9","Undirected"
4,10,"Edge 4 to 10","Undirected"
4,11,"Edge 4 to 11","Undirected"
4,12,"Edge 4 to 12","Undirected"
4,13,"Edge 4 to 13","Undirected"
4,14,"Edge 4 to 14","Undirected"
4,15,"Edge 4 to 15","Undirected"
4,16,"Edge 4 to 16","Undirected"
4,17,"Edge 4 to 17","Undirected"
4,18,"Edge 4 to 18","Undirected"
4,19,"Edge 4 to 19","Undirected"
4,20,"Edge 4 to 20","Undirected"
4,21,"Edge 4 to 21","Undirected"
4,22,"Edge 4 to 22","Undirected"
4,23,"Edge 4 to 23","Undirected"
4,24,"Edge 4 to 24","Undirected"
4,25,"Edge 4 to 25","Undirected"
4,26,"Edge 4 to 26","Undirected"
4,28,"Edge 4 to 28","Undirected"
4,29,"Edge 4 to 29","Undirected"
4,30,"Edge 4 to 30","Undirected"
4,34,"Edge 4 to 34","Undirected"
4,35,"Edge 4 to 35","Undirected"
4,36,"Edge 4 to 36","Undirected"
4,37,"Edge 4 to 37","Undirected"
